"Title:","mx1.tal.ee - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | tal-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-14 22:05:00"
"End Date:","2020-03-16 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47859"
"Host ID:","121"
"Nth Percentile:","3136526505.28","|95:bits:0:current:2|"
"Nth Percentile:","282986465.71","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-14 23:20:00","1.2618306199e+07","1.2618306199e+07","1.5729951167e+08","1.5729951167e+08"
"2020-03-14 23:25:00","1.5646181227e+07","1.5646181227e+07","8.6462433953e+07","8.6462433953e+07"
"2020-03-14 23:30:00","1.5522026804e+07","1.5522026804e+07","8.3977462872e+07","8.3977462872e+07"
"2020-03-14 23:35:00","1.4280187347e+08","1.4280187347e+08","8.7744095159e+07","8.7744095159e+07"
"2020-03-14 23:40:00","6.4541726168e+07","6.4541726168e+07","1.0850313720e+08","1.0850313720e+08"
"2020-03-14 23:45:00","3.1155830491e+07","3.1155830491e+07","1.8096820229e+08","1.8096820229e+08"
"2020-03-14 23:50:00","1.4994905291e+07","1.4994905291e+07","2.4013384867e+08","2.4013384867e+08"
"2020-03-14 23:55:00","1.0068580105e+08","1.0068580105e+08","8.5255964521e+07","8.5255964521e+07"
"2020-03-15 00:00:00","4.5880878113e+07","4.5880878113e+07","8.3017671632e+07","8.3017671632e+07"
"2020-03-15 00:05:00","2.4066323505e+07","2.4066323505e+07","8.2129916406e+07","8.2129916406e+07"
"2020-03-15 00:10:00","9.8663633043e+07","9.8663633043e+07","7.4935870834e+07","7.4935870834e+07"
"2020-03-15 00:15:00","1.4315514167e+07","1.4315514167e+07","1.0197291127e+08","1.0197291127e+08"
"2020-03-15 00:20:00","1.3574543212e+07","1.3574543212e+07","9.8241865360e+07","9.8241865360e+07"
"2020-03-15 00:25:00","1.3964395601e+07","1.3964395601e+07","9.5252235918e+07","9.5252235918e+07"
"2020-03-15 00:30:00","1.1322631955e+08","1.1322631955e+08","7.8902791670e+07","7.8902791670e+07"
"2020-03-15 00:35:00","2.8044236826e+07","2.8044236826e+07","8.2143813468e+07","8.2143813468e+07"
"2020-03-15 00:40:00","2.8633634001e+07","2.8633634001e+07","8.8825540501e+07","8.8825540501e+07"
"2020-03-15 00:45:00","2.3991006116e+07","2.3991006116e+07","9.3912160119e+07","9.3912160119e+07"
"2020-03-15 00:50:00","2.8842081170e+07","2.8842081170e+07","7.1265224926e+07","7.1265224926e+07"
"2020-03-15 00:55:00","3.0828384682e+07","3.0828384682e+07","7.3378985638e+07","7.3378985638e+07"
"2020-03-15 01:00:00","1.7281476006e+07","1.7281476006e+07","7.0149343692e+07","7.0149343692e+07"
"2020-03-15 01:05:00","1.5434298892e+07","1.5434298892e+07","6.7323355921e+07","6.7323355921e+07"
"2020-03-15 01:10:00","1.9915308805e+07","1.9915308805e+07","6.1194998378e+07","6.1194998378e+07"
"2020-03-15 01:15:00","1.6720355278e+07","1.6720355278e+07","1.0681237859e+08","1.0681237859e+08"
"2020-03-15 01:20:00","1.6788727377e+07","1.6788727377e+07","8.1137405783e+07","8.1137405783e+07"
"2020-03-15 01:25:00","2.1067011190e+07","2.1067011190e+07","8.4253077340e+07","8.4253077340e+07"
"2020-03-15 01:30:00","1.8356303813e+07","1.8356303813e+07","7.8320957068e+07","7.8320957068e+07"
"2020-03-15 01:35:00","1.0153608313e+08","1.0153608313e+08","7.3090383958e+07","7.3090383958e+07"
"2020-03-15 01:40:00","1.0260829875e+08","1.0260829875e+08","6.9996421974e+07","6.9996421974e+07"
"2020-03-15 01:45:00","1.3291549107e+07","1.3291549107e+07","9.8257844499e+07","9.8257844499e+07"
"2020-03-15 01:50:00","9.4257910314e+07","9.4257910314e+07","6.1711760870e+07","6.1711760870e+07"
"2020-03-15 01:55:00","1.5809081562e+07","1.5809081562e+07","7.6428586607e+07","7.6428586607e+07"
"2020-03-15 02:00:00","1.3161330138e+07","1.3161330138e+07","1.2723731272e+08","1.2723731272e+08"
"2020-03-15 02:05:00","1.9588218297e+07","1.9588218297e+07","5.8785512543e+07","5.8785512543e+07"
"2020-03-15 02:10:00","1.9962560520e+07","1.9962560520e+07","1.3273217648e+08","1.3273217648e+08"
"2020-03-15 02:15:00","1.0962738326e+07","1.0962738326e+07","7.9710801063e+07","7.9710801063e+07"
"2020-03-15 02:20:00","9.2927092071e+06","9.2927092071e+06","6.0814154997e+07","6.0814154997e+07"
"2020-03-15 02:25:00","1.5642045166e+07","1.5642045166e+07","5.5855711141e+07","5.5855711141e+07"
"2020-03-15 02:30:00","1.6767611232e+07","1.6767611232e+07","5.0141796873e+07","5.0141796873e+07"
"2020-03-15 02:35:00","1.6634669363e+07","1.6634669363e+07","4.6072956116e+07","4.6072956116e+07"
"2020-03-15 02:40:00","1.4459382651e+07","1.4459382651e+07","5.6519892064e+07","5.6519892064e+07"
"2020-03-15 02:45:00","1.6502286769e+07","1.6502286769e+07","7.0886056555e+07","7.0886056555e+07"
"2020-03-15 02:50:00","2.1892788545e+07","2.1892788545e+07","5.6629296431e+07","5.6629296431e+07"
"2020-03-15 02:55:00","2.9374743353e+07","2.9374743353e+07","1.2750280752e+08","1.2750280752e+08"
"2020-03-15 03:00:00","3.2629933999e+07","3.2629933999e+07","4.9241546504e+07","4.9241546504e+07"
"2020-03-15 03:05:00","4.7426754222e+07","4.7426754222e+07","5.7646454911e+07","5.7646454911e+07"
"2020-03-15 03:10:00","4.8679972412e+07","4.8679972412e+07","1.0272734323e+08","1.0272734323e+08"
"2020-03-15 03:15:00","3.5495543826e+07","3.5495543826e+07","8.6466564705e+07","8.6466564705e+07"
"2020-03-15 03:20:00","2.3327737408e+07","2.3327737408e+07","7.2662563476e+07","7.2662563476e+07"
"2020-03-15 03:25:00","4.3540491863e+07","4.3540491863e+07","5.7490150814e+07","5.7490150814e+07"
"2020-03-15 03:30:00","5.9546331298e+07","5.9546331298e+07","5.1612790272e+07","5.1612790272e+07"
"2020-03-15 03:35:00","5.2705380108e+07","5.2705380108e+07","4.9041673461e+07","4.9041673461e+07"
"2020-03-15 03:40:00","4.3034064971e+07","4.3034064971e+07","4.3849710552e+07","4.3849710552e+07"
"2020-03-15 03:45:00","2.0036000922e+07","2.0036000922e+07","5.9055402107e+07","5.9055402107e+07"
"2020-03-15 03:50:00","2.2223281940e+07","2.2223281940e+07","5.9483050800e+07","5.9483050800e+07"
"2020-03-15 03:55:00","1.7729367203e+07","1.7729367203e+07","5.7078069278e+07","5.7078069278e+07"
"2020-03-15 04:00:00","1.5055355841e+07","1.5055355841e+07","4.0835687207e+07","4.0835687207e+07"
"2020-03-15 04:05:00","1.3068902499e+07","1.3068902499e+07","4.0887712943e+07","4.0887712943e+07"
"2020-03-15 04:10:00","1.0847128352e+07","1.0847128352e+07","4.6121467679e+07","4.6121467679e+07"
"2020-03-15 04:15:00","1.3067392686e+07","1.3067392686e+07","6.0832704659e+07","6.0832704659e+07"
"2020-03-15 04:20:00","1.3938468806e+07","1.3938468806e+07","5.7364242720e+07","5.7364242720e+07"
"2020-03-15 04:25:00","1.3761424644e+07","1.3761424644e+07","1.4004833042e+08","1.4004833042e+08"
"2020-03-15 04:30:00","1.1733670426e+07","1.1733670426e+07","5.3023718308e+07","5.3023718308e+07"
"2020-03-15 04:35:00","2.3645924657e+07","2.3645924657e+07","5.2350773566e+07","5.2350773566e+07"
"2020-03-15 04:40:00","1.6634405629e+07","1.6634405629e+07","4.8733931292e+07","4.8733931292e+07"
"2020-03-15 04:45:00","1.4534800296e+07","1.4534800296e+07","5.5818656167e+07","5.5818656167e+07"
"2020-03-15 04:50:00","1.9769007508e+07","1.9769007508e+07","5.1252779412e+07","5.1252779412e+07"
"2020-03-15 04:55:00","1.7920086126e+07","1.7920086126e+07","4.5921891290e+07","4.5921891290e+07"
"2020-03-15 05:00:00","1.4476863440e+07","1.4476863440e+07","4.5085812938e+07","4.5085812938e+07"
"2020-03-15 05:05:00","1.2941466051e+07","1.2941466051e+07","4.5189254382e+07","4.5189254382e+07"
"2020-03-15 05:10:00","3.5993210366e+07","3.5993210366e+07","4.6276263785e+07","4.6276263785e+07"
"2020-03-15 05:15:00","2.3333357455e+07","2.3333357455e+07","6.1172944932e+07","6.1172944932e+07"
"2020-03-15 05:20:00","1.4462723628e+07","1.4462723628e+07","5.1548300885e+07","5.1548300885e+07"
"2020-03-15 05:25:00","2.1003042345e+07","2.1003042345e+07","4.8524930194e+07","4.8524930194e+07"
"2020-03-15 05:30:00","1.5827029580e+07","1.5827029580e+07","5.2124582639e+07","5.2124582639e+07"
"2020-03-15 05:35:00","1.9835204165e+07","1.9835204165e+07","4.5572304802e+07","4.5572304802e+07"
"2020-03-15 05:40:00","2.3460549620e+07","2.3460549620e+07","5.2647595847e+07","5.2647595847e+07"
"2020-03-15 05:45:00","2.2348133416e+07","2.2348133416e+07","6.1633111894e+07","6.1633111894e+07"
"2020-03-15 05:50:00","3.5616069720e+07","3.5616069720e+07","7.2706841797e+07","7.2706841797e+07"
"2020-03-15 05:55:00","1.8172075011e+07","1.8172075011e+07","5.1771406163e+07","5.1771406163e+07"
"2020-03-15 06:00:00","2.4686318415e+07","2.4686318415e+07","1.3662593088e+08","1.3662593088e+08"
"2020-03-15 06:05:00","4.3384627582e+07","4.3384627582e+07","5.4684401042e+07","5.4684401042e+07"
"2020-03-15 06:10:00","3.2241042447e+07","3.2241042447e+07","5.7079714433e+07","5.7079714433e+07"
"2020-03-15 06:15:00","2.6136414244e+07","2.6136414244e+07","6.8770710375e+07","6.8770710375e+07"
"2020-03-15 06:20:00","2.9318607621e+07","2.9318607621e+07","6.3817291044e+07","6.3817291044e+07"
"2020-03-15 06:25:00","3.5227727156e+07","3.5227727156e+07","6.1671734814e+07","6.1671734814e+07"
"2020-03-15 06:30:00","1.6694060548e+07","1.6694060548e+07","5.5053455487e+07","5.5053455487e+07"
"2020-03-15 06:35:00","1.5988862223e+07","1.5988862223e+07","5.4764728660e+07","5.4764728660e+07"
"2020-03-15 06:40:00","1.2365048145e+07","1.2365048145e+07","5.7846641866e+07","5.7846641866e+07"
"2020-03-15 06:45:00","1.6851793038e+07","1.6851793038e+07","7.1689635841e+07","7.1689635841e+07"
"2020-03-15 06:50:00","1.4265548343e+07","1.4265548343e+07","6.9192743510e+07","6.9192743510e+07"
"2020-03-15 06:55:00","1.6224017027e+07","1.6224017027e+07","6.4411795347e+07","6.4411795347e+07"
"2020-03-15 07:00:00","1.5398168464e+07","1.5398168464e+07","6.7907097335e+07","6.7907097335e+07"
"2020-03-15 07:05:00","2.6023910580e+07","2.6023910580e+07","6.9657524506e+07","6.9657524506e+07"
"2020-03-15 07:10:00","2.5813463284e+07","2.5813463284e+07","7.5596192305e+07","7.5596192305e+07"
"2020-03-15 07:15:00","1.5446649978e+07","1.5446649978e+07","9.6669664593e+07","9.6669664593e+07"
"2020-03-15 07:20:00","1.2902295326e+07","1.2902295326e+07","8.7208187749e+07","8.7208187749e+07"
"2020-03-15 07:25:00","1.2889744553e+07","1.2889744553e+07","7.0066392124e+07","7.0066392124e+07"
"2020-03-15 07:30:00","1.1826397359e+07","1.1826397359e+07","6.7244685089e+07","6.7244685089e+07"
"2020-03-15 07:35:00","1.0835898012e+07","1.0835898012e+07","1.1692321010e+08","1.1692321010e+08"
"2020-03-15 07:40:00","1.0069343059e+08","1.0069343059e+08","9.8733378806e+07","9.8733378806e+07"
"2020-03-15 07:45:00","1.0744687562e+08","1.0744687562e+08","1.0457403919e+08","1.0457403919e+08"
"2020-03-15 07:50:00","1.4890577656e+07","1.4890577656e+07","1.4677186350e+08","1.4677186350e+08"
"2020-03-15 07:55:00","1.7168567126e+07","1.7168567126e+07","6.6468149947e+07","6.6468149947e+07"
"2020-03-15 08:00:00","1.7681529827e+07","1.7681529827e+07","6.9457336622e+07","6.9457336622e+07"
"2020-03-15 08:05:00","2.0007942026e+09","2.0007942026e+09","8.0686664957e+07","8.0686664957e+07"
"2020-03-15 08:10:00","2.6510008301e+09","2.6510008301e+09","8.0312233291e+07","8.0312233291e+07"
"2020-03-15 08:15:00","3.0671253138e+09","3.0671253138e+09","1.1120059334e+08","1.1120059334e+08"
"2020-03-15 08:20:00","2.6459415642e+09","2.6459415642e+09","9.6556603471e+07","9.6556603471e+07"
"2020-03-15 08:25:00","3.1365265053e+09","3.1365265053e+09","1.0242062768e+08","1.0242062768e+08"
"2020-03-15 08:30:00","2.7466636578e+09","2.7466636578e+09","1.0726651205e+08","1.0726651205e+08"
"2020-03-15 08:35:00","3.0634794925e+09","3.0634794925e+09","1.9508787307e+08","1.9508787307e+08"
"2020-03-15 08:40:00","3.1337668966e+09","3.1337668966e+09","1.0291197520e+08","1.0291197520e+08"
"2020-03-15 08:45:00","3.0533981026e+09","3.0533981026e+09","1.1498751801e+08","1.1498751801e+08"
"2020-03-15 08:50:00","3.1532683272e+09","3.1532683272e+09","1.0563273218e+08","1.0563273218e+08"
"2020-03-15 08:55:00","3.0572267164e+09","3.0572267164e+09","1.0981040656e+08","1.0981040656e+08"
"2020-03-15 09:00:00","3.1345014724e+09","3.1345014724e+09","2.1573466379e+08","2.1573466379e+08"
"2020-03-15 09:05:00","3.0707648976e+09","3.0707648976e+09","1.1758642102e+08","1.1758642102e+08"
"2020-03-15 09:10:00","3.2005244063e+09","3.2005244063e+09","1.2987888775e+08","1.2987888775e+08"
"2020-03-15 09:15:00","3.0947016762e+09","3.0947016762e+09","1.2181003538e+08","1.2181003538e+08"
"2020-03-15 09:20:00","1.9067288226e+09","1.9067288226e+09","1.8680201235e+08","1.8680201235e+08"
"2020-03-15 09:25:00","5.5667943459e+07","5.5667943459e+07","1.8523458116e+08","1.8523458116e+08"
"2020-03-15 09:30:00","6.3497637135e+07","6.3497637135e+07","1.3903019131e+08","1.3903019131e+08"
"2020-03-15 09:35:00","8.9400157323e+07","8.9400157323e+07","1.0825023257e+08","1.0825023257e+08"
"2020-03-15 09:40:00","8.9118388620e+07","8.9118388620e+07","8.8098009350e+07","8.8098009350e+07"
"2020-03-15 09:45:00","8.6788990829e+07","8.6788990829e+07","1.1308851778e+08","1.1308851778e+08"
"2020-03-15 09:50:00","3.1424147166e+07","3.1424147166e+07","1.2170114163e+08","1.2170114163e+08"
"2020-03-15 09:55:00","1.0196220969e+08","1.0196220969e+08","1.8097913742e+08","1.8097913742e+08"
"2020-03-15 10:00:00","2.9771814283e+07","2.9771814283e+07","9.9118239403e+07","9.9118239403e+07"
"2020-03-15 10:05:00","3.4706234441e+07","3.4706234441e+07","1.0704796255e+08","1.0704796255e+08"
"2020-03-15 10:10:00","3.5606108243e+07","3.5606108243e+07","1.0196887269e+08","1.0196887269e+08"
"2020-03-15 10:15:00","3.6449677584e+07","3.6449677584e+07","1.0571330849e+08","1.0571330849e+08"
"2020-03-15 10:20:00","1.1605774150e+08","1.1605774150e+08","1.0924384112e+08","1.0924384112e+08"
"2020-03-15 10:25:00","3.6047957455e+07","3.6047957455e+07","8.7110760106e+07","8.7110760106e+07"
"2020-03-15 10:30:00","3.8279815063e+07","3.8279815063e+07","1.7704322974e+08","1.7704322974e+08"
"2020-03-15 10:35:00","3.6028077566e+07","3.6028077566e+07","8.8895680292e+07","8.8895680292e+07"
"2020-03-15 10:40:00","2.7825598204e+07","2.7825598204e+07","1.0099447156e+08","1.0099447156e+08"
"2020-03-15 10:45:00","3.0179221193e+07","3.0179221193e+07","8.2412880670e+07","8.2412880670e+07"
"2020-03-15 10:50:00","3.0418005118e+07","3.0418005118e+07","9.6976823333e+07","9.6976823333e+07"
"2020-03-15 10:55:00","2.8070333420e+07","2.8070333420e+07","1.7603711043e+08","1.7603711043e+08"
"2020-03-15 11:00:00","2.6856211327e+07","2.6856211327e+07","8.5457385211e+07","8.5457385211e+07"
"2020-03-15 11:05:00","2.9393137059e+07","2.9393137059e+07","7.6023198165e+07","7.6023198165e+07"
"2020-03-15 11:10:00","3.0083317380e+07","3.0083317380e+07","7.7385654787e+07","7.7385654787e+07"
"2020-03-15 11:15:00","5.0664230050e+08","5.0664230050e+08","6.7384966699e+07","6.7384966699e+07"
"2020-03-15 11:20:00","7.7018351495e+08","7.7018351495e+08","1.6866239253e+08","1.6866239253e+08"
"2020-03-15 11:25:00","6.7920650648e+08","6.7920650648e+08","6.9376003042e+07","6.9376003042e+07"
"2020-03-15 11:30:00","7.7255110568e+08","7.7255110568e+08","7.8120111553e+07","7.8120111553e+07"
"2020-03-15 11:35:00","7.5648122885e+08","7.5648122885e+08","7.6053225583e+07","7.6053225583e+07"
"2020-03-15 11:40:00","7.7259337942e+08","7.7259337942e+08","6.0625433352e+07","6.0625433352e+07"
"2020-03-15 11:45:00","7.5507561036e+08","7.5507561036e+08","7.9733206869e+07","7.9733206869e+07"
"2020-03-15 11:50:00","7.6411942187e+08","7.6411942187e+08","8.5641436521e+07","8.5641436521e+07"
"2020-03-15 11:55:00","6.4553184436e+08","6.4553184436e+08","5.9371326395e+07","5.9371326395e+07"
"2020-03-15 12:00:00","7.4994741707e+08","7.4994741707e+08","6.8637427009e+07","6.8637427009e+07"
"2020-03-15 12:05:00","8.4198364294e+08","8.4198364294e+08","1.4997795706e+08","1.4997795706e+08"
"2020-03-15 12:10:00","7.5312701444e+08","7.5312701444e+08","6.1301732335e+07","6.1301732335e+07"
"2020-03-15 12:15:00","7.5093652956e+08","7.5093652956e+08","6.9209781979e+07","6.9209781979e+07"
"2020-03-15 12:20:00","7.6461887650e+08","7.6461887650e+08","1.6676411124e+08","1.6676411124e+08"
"2020-03-15 12:25:00","7.5747572460e+08","7.5747572460e+08","1.1933014501e+08","1.1933014501e+08"
"2020-03-15 12:30:00","7.5825731383e+08","7.5825731383e+08","1.3427273976e+08","1.3427273976e+08"
"2020-03-15 12:35:00","8.0444804657e+08","8.0444804657e+08","1.2931954601e+08","1.2931954601e+08"
"2020-03-15 12:40:00","8.4511576805e+08","8.4511576805e+08","1.0169742066e+08","1.0169742066e+08"
"2020-03-15 12:45:00","7.5821432794e+08","7.5821432794e+08","1.5339972002e+08","1.5339972002e+08"
"2020-03-15 12:50:00","6.5789138939e+08","6.5789138939e+08","1.8936714826e+08","1.8936714826e+08"
"2020-03-15 12:55:00","7.5178672371e+08","7.5178672371e+08","1.3411491124e+08","1.3411491124e+08"
"2020-03-15 13:00:00","7.6487356887e+08","7.6487356887e+08","1.8546687217e+08","1.8546687217e+08"
"2020-03-15 13:05:00","7.5161610220e+08","7.5161610220e+08","2.0650070532e+08","2.0650070532e+08"
"2020-03-15 13:10:00","7.7747750719e+08","7.7747750719e+08","1.6462980992e+08","1.6462980992e+08"
"2020-03-15 13:15:00","7.6514232080e+08","7.6514232080e+08","1.4816772448e+08","1.4816772448e+08"
"2020-03-15 13:20:00","6.7459715280e+08","6.7459715280e+08","1.3737373703e+08","1.3737373703e+08"
"2020-03-15 13:25:00","7.7848903373e+08","7.7848903373e+08","7.9495303576e+07","7.9495303576e+07"
"2020-03-15 13:30:00","7.8043354371e+08","7.8043354371e+08","1.1062877465e+08","1.1062877465e+08"
"2020-03-15 13:35:00","7.6323427390e+08","7.6323427390e+08","1.7152152443e+08","1.7152152443e+08"
"2020-03-15 13:40:00","7.9288703292e+08","7.9288703292e+08","2.2550057902e+08","2.2550057902e+08"
"2020-03-15 13:45:00","6.5819938931e+08","6.5819938931e+08","1.3270096850e+08","1.3270096850e+08"
"2020-03-15 13:50:00","7.8585175837e+08","7.8585175837e+08","1.1448075783e+08","1.1448075783e+08"
"2020-03-15 13:55:00","8.5345645667e+08","8.5345645667e+08","1.3387884601e+08","1.3387884601e+08"
"2020-03-15 14:00:00","7.7235597294e+08","7.7235597294e+08","1.2258179143e+08","1.2258179143e+08"
"2020-03-15 14:05:00","7.5500324057e+08","7.5500324057e+08","7.7504897467e+07","7.7504897467e+07"
"2020-03-15 14:10:00","7.5642095911e+08","7.5642095911e+08","1.2689160833e+08","1.2689160833e+08"
"2020-03-15 14:15:00","6.4608212913e+08","6.4608212913e+08","1.3149582886e+08","1.3149582886e+08"
"2020-03-15 14:20:00","7.6731661111e+08","7.6731661111e+08","2.8421953807e+08","2.8421953807e+08"
"2020-03-15 14:25:00","7.4984091016e+08","7.4984091016e+08","1.4652334567e+08","1.4652334567e+08"
"2020-03-15 14:30:00","7.6766611710e+08","7.6766611710e+08","1.5607421200e+08","1.5607421200e+08"
"2020-03-15 14:35:00","7.4867617110e+08","7.4867617110e+08","2.0737555025e+08","2.0737555025e+08"
"2020-03-15 14:40:00","7.7186217152e+08","7.7186217152e+08","1.9752321978e+08","1.9752321978e+08"
"2020-03-15 14:45:00","6.5526890992e+08","6.5526890992e+08","1.9201574156e+08","1.9201574156e+08"
"2020-03-15 14:50:00","7.6749428169e+08","7.6749428169e+08","2.0304621940e+08","2.0304621940e+08"
"2020-03-15 14:55:00","7.8276408211e+08","7.8276408211e+08","1.7999986228e+08","1.7999986228e+08"
"2020-03-15 15:00:00","7.4268624082e+08","7.4268624082e+08","2.1044602179e+08","2.1044602179e+08"
"2020-03-15 15:05:00","7.5583704212e+08","7.5583704212e+08","2.0454402154e+08","2.0454402154e+08"
"2020-03-15 15:10:00","7.7373823314e+08","7.7373823314e+08","1.7518225455e+08","1.7518225455e+08"
"2020-03-15 15:15:00","7.4781440901e+08","7.4781440901e+08","1.5259348750e+08","1.5259348750e+08"
"2020-03-15 15:20:00","7.7181333925e+08","7.7181333925e+08","1.1570389550e+08","1.1570389550e+08"
"2020-03-15 15:25:00","6.3497042774e+08","6.3497042774e+08","7.2773237658e+07","7.2773237658e+07"
"2020-03-15 15:30:00","7.7320790751e+08","7.7320790751e+08","6.6901035307e+07","6.6901035307e+07"
"2020-03-15 15:35:00","7.5352078753e+08","7.5352078753e+08","1.5833239820e+08","1.5833239820e+08"
"2020-03-15 15:40:00","7.6307140777e+08","7.6307140777e+08","1.6954625039e+08","1.6954625039e+08"
"2020-03-15 15:45:00","6.5685597732e+08","6.5685597732e+08","1.7449934348e+08","1.7449934348e+08"
"2020-03-15 15:50:00","7.7183589314e+08","7.7183589314e+08","2.2748267618e+08","2.2748267618e+08"
"2020-03-15 15:55:00","7.5984709565e+08","7.5984709565e+08","2.0216734664e+08","2.0216734664e+08"
"2020-03-15 16:00:00","7.6635127112e+08","7.6635127112e+08","1.8462519052e+08","1.8462519052e+08"
"2020-03-15 16:05:00","7.6993327185e+08","7.6993327185e+08","2.7887613603e+08","2.7887613603e+08"
"2020-03-15 16:10:00","6.8525416632e+08","6.8525416632e+08","2.2006505132e+08","2.2006505132e+08"
"2020-03-15 16:15:00","7.1704348922e+08","7.1704348922e+08","1.4493924396e+08","1.4493924396e+08"
"2020-03-15 16:20:00","7.7721086202e+08","7.7721086202e+08","2.9254441093e+08","2.9254441093e+08"
"2020-03-15 16:25:00","7.5333660023e+08","7.5333660023e+08","2.1378471645e+08","2.1378471645e+08"
"2020-03-15 16:30:00","7.3101123970e+08","7.3101123970e+08","2.1312747790e+08","2.1312747790e+08"
"2020-03-15 16:35:00","7.4481434438e+08","7.4481434438e+08","1.4093235285e+08","1.4093235285e+08"
"2020-03-15 16:40:00","7.6941425805e+08","7.6941425805e+08","1.8082139052e+08","1.8082139052e+08"
"2020-03-15 16:45:00","7.4928405155e+08","7.4928405155e+08","1.8438973541e+08","1.8438973541e+08"
"2020-03-15 16:50:00","7.7235354635e+08","7.7235354635e+08","2.8520831856e+08","2.8520831856e+08"
"2020-03-15 16:55:00","7.5186514075e+08","7.5186514075e+08","2.0174275883e+08","2.0174275883e+08"
"2020-03-15 17:00:00","6.5555966489e+08","6.5555966489e+08","2.8298646571e+08","2.8298646571e+08"
"2020-03-15 17:05:00","7.5837953028e+08","7.5837953028e+08","1.5374289841e+08","1.5374289841e+08"
"2020-03-15 17:10:00","8.6184329244e+08","8.6184329244e+08","1.3603456988e+08","1.3603456988e+08"
"2020-03-15 17:15:00","7.4932887434e+08","7.4932887434e+08","1.2045944248e+08","1.2045944248e+08"
"2020-03-15 17:20:00","7.7379058925e+08","7.7379058925e+08","1.2909624319e+08","1.2909624319e+08"
"2020-03-15 17:25:00","7.5664458232e+08","7.5664458232e+08","1.8481950324e+08","1.8481950324e+08"
"2020-03-15 17:30:00","6.5128142323e+08","6.5128142323e+08","1.7904154277e+08","1.7904154277e+08"
"2020-03-15 17:35:00","7.5548972572e+08","7.5548972572e+08","1.8484584403e+08","1.8484584403e+08"
"2020-03-15 17:40:00","7.7141186488e+08","7.7141186488e+08","1.5680997989e+08","1.5680997989e+08"
"2020-03-15 17:45:00","2.7285488579e+09","2.7285488579e+09","1.3592430567e+08","1.3592430567e+08"
"2020-03-15 17:50:00","3.8799776671e+09","3.8799776671e+09","2.3520489462e+08","2.3520489462e+08"
"2020-03-15 17:55:00","3.8072828232e+09","3.8072828232e+09","1.9638273121e+08","1.9638273121e+08"
"2020-03-15 18:00:00","3.7586300671e+09","3.7586300671e+09","3.1195914767e+08","3.1195914767e+08"
"2020-03-15 18:05:00","3.7930307802e+09","3.7930307802e+09","3.0355930117e+08","3.0355930117e+08"
"2020-03-15 18:10:00","3.8840013399e+09","3.8840013399e+09","2.8325403874e+08","2.8325403874e+08"
"2020-03-15 18:15:00","3.8089734497e+09","3.8089734497e+09","2.7086428897e+08","2.7086428897e+08"
"2020-03-15 18:20:00","3.8836513016e+09","3.8836513016e+09","2.1876524501e+08","2.1876524501e+08"
"2020-03-15 18:25:00","3.8272836667e+09","3.8272836667e+09","2.1699548984e+08","2.1699548984e+08"
