DATE,HUSI,HUSI_peak,SIHU,HUSI_peak
2020-03-14 22:05:00,2.7616211728e+08,2.7616211728e+08,3.1387033649e+08,3.1387033649e+08
2020-03-14 22:10:00,2.7324018913e+08,2.7324018913e+08,2.9243028683e+08,2.9243028683e+08
2020-03-14 22:15:00,2.5360363666e+08,2.5360363666e+08,2.5011928317e+08,2.5011928317e+08
2020-03-14 22:20:00,1.9900035622e+08,1.9900035622e+08,2.4892850437e+08,2.4892850437e+08
2020-03-14 22:25:00,1.6653301232e+08,1.6653301232e+08,3.0600790268e+08,3.0600790268e+08
2020-03-14 22:30:00,1.5402903551e+08,1.5402903551e+08,1.8451438288e+08,1.8451438288e+08
2020-03-14 22:35:00,1.7351081443e+08,1.7351081443e+08,2.0326572843e+08,2.0326572843e+08
2020-03-14 22:40:00,1.7908774515e+08,1.7908774515e+08,1.9229752124e+08,1.9229752124e+08
2020-03-14 22:45:00,1.5208616051e+08,1.5208616051e+08,2.0071378730e+08,2.0071378730e+08
2020-03-14 22:50:00,1.4775447239e+08,1.4775447239e+08,2.4936638023e+08,2.4936638023e+08
2020-03-14 22:55:00,1.4971937089e+08,1.4971937089e+08,3.0258993421e+08,3.0258993421e+08
2020-03-14 23:00:00,1.7492994273e+08,1.7492994273e+08,3.9060065423e+08,3.9060065423e+08
2020-03-14 23:05:00,1.5031364758e+08,1.5031364758e+08,4.7506997976e+08,4.7506997976e+08
2020-03-14 23:10:00,1.5161483543e+08,1.5161483543e+08,3.9942567148e+08,3.9942567148e+08
2020-03-14 23:15:00,1.2480417046e+08,1.2480417046e+08,4.2659979070e+08,4.2659979070e+08
2020-03-14 23:20:00,1.4408485032e+08,1.4408485032e+08,4.3081466556e+08,4.3081466556e+08
2020-03-14 23:25:00,1.6437650305e+08,1.6437650305e+08,2.3485194652e+08,2.3485194652e+08
2020-03-14 23:30:00,1.3719651791e+08,1.3719651791e+08,5.2684141799e+08,5.2684141799e+08
2020-03-14 23:35:00,1.3333568933e+08,1.3333568933e+08,3.0286899654e+08,3.0286899654e+08
2020-03-14 23:40:00,1.3894994840e+08,1.3894994840e+08,2.2183205480e+08,2.2183205480e+08
2020-03-14 23:45:00,1.0581791161e+08,1.0581791161e+08,1.5916528112e+08,1.5916528112e+08
2020-03-14 23:50:00,1.1734096143e+08,1.1734096143e+08,1.5406389721e+08,1.5406389721e+08
2020-03-14 23:55:00,1.2829575554e+08,1.2829575554e+08,1.3262966434e+08,1.3262966434e+08
2020-03-15 00:00:00,1.2280753912e+08,1.2280753912e+08,1.8584213317e+08,1.8584213317e+08
2020-03-15 00:05:00,1.1017292831e+08,1.1017292831e+08,1.7781863426e+08,1.7781863426e+08
2020-03-15 00:10:00,9.7315406566e+07,9.7315406566e+07,1.6152480879e+08,1.6152480879e+08
2020-03-15 00:15:00,1.1847092778e+08,1.1847092778e+08,2.2215460787e+08,2.2215460787e+08
2020-03-15 00:20:00,1.2669058009e+08,1.2669058009e+08,2.0810394958e+08,2.0810394958e+08
2020-03-15 00:25:00,1.6193641321e+08,1.6193641321e+08,1.3611354426e+08,1.3611354426e+08
2020-03-15 00:30:00,1.5427562020e+08,1.5427562020e+08,1.0135962474e+08,1.0135962474e+08
2020-03-15 00:35:00,1.2215499382e+08,1.2215499382e+08,1.1642152484e+08,1.1642152484e+08
2020-03-15 00:40:00,1.2551370992e+08,1.2551370992e+08,1.3039592209e+08,1.3039592209e+08
2020-03-15 00:45:00,1.0665775103e+08,1.0665775103e+08,1.4119314378e+08,1.4119314378e+08
2020-03-15 00:50:00,1.1959834785e+08,1.1959834785e+08,1.6111210552e+08,1.6111210552e+08
2020-03-15 00:55:00,1.0904478255e+08,1.0904478255e+08,7.7200711969e+07,7.7200711969e+07
2020-03-15 01:00:00,1.0951707184e+08,1.0951707184e+08,7.2050264155e+07,7.2050264155e+07
2020-03-15 01:05:00,1.0146081535e+08,1.0146081535e+08,8.9352951649e+07,8.9352951649e+07
2020-03-15 01:10:00,9.8354675189e+07,9.8354675189e+07,1.1609085504e+08,1.1609085504e+08
2020-03-15 01:15:00,1.0200073346e+08,1.0200073346e+08,1.1841424194e+08,1.1841424194e+08
2020-03-15 01:20:00,1.0070270383e+08,1.0070270383e+08,7.6881682110e+07,7.6881682110e+07
2020-03-15 01:25:00,1.2432939634e+08,1.2432939634e+08,8.1141431200e+07,8.1141431200e+07
2020-03-15 01:30:00,9.3527855620e+07,9.3527855620e+07,1.0730034223e+08,1.0730034223e+08
2020-03-15 01:35:00,9.0288706350e+07,9.0288706350e+07,1.4036128517e+08,1.4036128517e+08
2020-03-15 01:40:00,9.6019977533e+07,9.6019977533e+07,5.7686096524e+07,5.7686096524e+07
2020-03-15 01:45:00,1.1767146597e+08,1.1767146597e+08,8.5890194007e+07,8.5890194007e+07
2020-03-15 01:50:00,1.1354706302e+08,1.1354706302e+08,9.1900993111e+07,9.1900993111e+07
2020-03-15 01:55:00,1.1197294498e+08,1.1197294498e+08,6.3687248657e+07,6.3687248657e+07
2020-03-15 02:00:00,1.2817036861e+08,1.2817036861e+08,5.0890209601e+07,5.0890209601e+07
2020-03-15 02:05:00,1.0583184741e+08,1.0583184741e+08,7.6235102465e+07,7.6235102465e+07
2020-03-15 02:10:00,1.0037627003e+08,1.0037627003e+08,9.3048387579e+07,9.3048387579e+07
2020-03-15 02:15:00,1.0844653846e+08,1.0844653846e+08,1.2839246589e+08,1.2839246589e+08
2020-03-15 02:20:00,9.7331607896e+07,9.7331607896e+07,1.5645691958e+08,1.5645691958e+08
2020-03-15 02:25:00,9.1197342614e+07,9.1197342614e+07,7.1212326984e+07,7.1212326984e+07
2020-03-15 02:30:00,1.0018583426e+08,1.0018583426e+08,8.9043621104e+07,8.9043621104e+07
2020-03-15 02:35:00,9.8523135772e+07,9.8523135772e+07,8.1796999853e+07,8.1796999853e+07
2020-03-15 02:40:00,1.3174586863e+08,1.3174586863e+08,1.4238180103e+08,1.4238180103e+08
2020-03-15 02:45:00,1.2425409508e+08,1.2425409508e+08,1.3099142800e+08,1.3099142800e+08
2020-03-15 02:50:00,1.0408079906e+08,1.0408079906e+08,1.5545036216e+08,1.5545036216e+08
2020-03-15 02:55:00,9.6131535892e+07,9.6131535892e+07,1.9380289693e+08,1.9380289693e+08
2020-03-15 03:00:00,1.2547644940e+08,1.2547644940e+08,2.4456275713e+08,2.4456275713e+08
2020-03-15 03:05:00,9.8022265096e+07,9.8022265096e+07,1.4564512524e+08,1.4564512524e+08
2020-03-15 03:10:00,9.4414261135e+07,9.4414261135e+07,1.6830738440e+08,1.6830738440e+08
2020-03-15 03:15:00,9.5805160356e+07,9.5805160356e+07,1.4854888219e+08,1.4854888219e+08
2020-03-15 03:20:00,9.4359306523e+07,9.4359306523e+07,1.7223676381e+08,1.7223676381e+08
2020-03-15 03:25:00,1.0735953825e+08,1.0735953825e+08,7.8094676496e+07,7.8094676496e+07
2020-03-15 03:30:00,1.0359436607e+08,1.0359436607e+08,9.1435203420e+07,9.1435203420e+07
2020-03-15 03:35:00,8.1319597135e+07,8.1319597135e+07,1.3305124976e+08,1.3305124976e+08
2020-03-15 03:40:00,7.9256663785e+07,7.9256663785e+07,3.5249272603e+08,3.5249272603e+08
2020-03-15 03:45:00,8.0322564920e+07,8.0322564920e+07,1.1656095902e+08,1.1656095902e+08
2020-03-15 03:50:00,8.7583428695e+07,8.7583428695e+07,1.0573630168e+08,1.0573630168e+08
2020-03-15 03:55:00,8.7842812483e+07,8.7842812483e+07,1.3889057124e+08,1.3889057124e+08
2020-03-15 04:00:00,9.2041263620e+07,9.2041263620e+07,1.3671359710e+08,1.3671359710e+08
2020-03-15 04:05:00,8.8881960265e+07,8.8881960265e+07,1.2352623298e+08,1.2352623298e+08
2020-03-15 04:10:00,9.4451872519e+07,9.4451872519e+07,1.0283587560e+08,1.0283587560e+08
2020-03-15 04:15:00,1.1563439799e+08,1.1563439799e+08,1.0596590094e+08,1.0596590094e+08
2020-03-15 04:20:00,1.0668462558e+08,1.0668462558e+08,1.1633921673e+08,1.1633921673e+08
2020-03-15 04:25:00,1.7956955192e+08,1.7956955192e+08,6.2848058721e+07,6.2848058721e+07
2020-03-15 04:30:00,1.8266505636e+08,1.8266505636e+08,1.1743977948e+08,1.1743977948e+08
2020-03-15 04:35:00,2.1109139734e+08,2.1109139734e+08,7.9834479947e+07,7.9834479947e+07
2020-03-15 04:40:00,1.5753081538e+08,1.5753081538e+08,8.8259098111e+07,8.8259098111e+07
2020-03-15 04:45:00,1.3364483902e+08,1.3364483902e+08,4.9976855258e+07,4.9976855258e+07
2020-03-15 04:50:00,1.6835302566e+08,1.6835302566e+08,5.2631897500e+07,5.2631897500e+07
2020-03-15 04:55:00,9.7482962031e+07,9.7482962031e+07,4.4539325744e+07,4.4539325744e+07
2020-03-15 05:00:00,9.5666683024e+07,9.5666683024e+07,9.6646240318e+07,9.6646240318e+07
2020-03-15 05:05:00,9.7579235586e+07,9.7579235586e+07,1.0294512590e+08,1.0294512590e+08
2020-03-15 05:10:00,1.0762462992e+08,1.0762462992e+08,1.3186383209e+08,1.3186383209e+08
2020-03-15 05:15:00,1.1659225467e+08,1.1659225467e+08,1.5064455255e+08,1.5064455255e+08
2020-03-15 05:20:00,9.3281066795e+07,9.3281066795e+07,7.4596014521e+07,7.4596014521e+07
2020-03-15 05:25:00,1.1549835792e+08,1.1549835792e+08,9.3519981992e+07,9.3519981992e+07
2020-03-15 05:30:00,9.2237132735e+07,9.2237132735e+07,1.2336444815e+08,1.2336444815e+08
2020-03-15 05:35:00,1.1184778633e+08,1.1184778633e+08,1.0839659714e+08,1.0839659714e+08
2020-03-15 05:40:00,1.1985960795e+08,1.1985960795e+08,8.9943181621e+07,8.9943181621e+07
2020-03-15 05:45:00,1.0935834918e+08,1.0935834918e+08,9.3872925519e+07,9.3872925519e+07
2020-03-15 05:50:00,1.2035484509e+08,1.2035484509e+08,7.5962884722e+07,7.5962884722e+07
2020-03-15 05:55:00,1.0601357218e+08,1.0601357218e+08,1.3357876046e+08,1.3357876046e+08
2020-03-15 06:00:00,1.0240741784e+08,1.0240741784e+08,9.0875290578e+07,9.0875290578e+07
2020-03-15 06:05:00,8.6468283800e+07,8.6468283800e+07,6.8585346555e+07,6.8585346555e+07
2020-03-15 06:10:00,9.9579111504e+07,9.9579111504e+07,7.4917956946e+07,7.4917956946e+07
2020-03-15 06:15:00,9.6629602678e+07,9.6629602678e+07,1.0898570760e+08,1.0898570760e+08
2020-03-15 06:20:00,8.8998107195e+07,8.8998107195e+07,8.6857552277e+07,8.6857552277e+07
2020-03-15 06:25:00,1.1709181129e+08,1.1709181129e+08,9.1444485713e+07,9.1444485713e+07
2020-03-15 06:30:00,8.8133206848e+07,8.8133206848e+07,9.0745286059e+07,9.0745286059e+07
2020-03-15 06:35:00,8.9160341462e+07,8.9160341462e+07,9.7340466567e+07,9.7340466567e+07
2020-03-15 06:40:00,9.4170071686e+07,9.4170071686e+07,7.4800860637e+07,7.4800860637e+07
2020-03-15 06:45:00,1.0405508356e+08,1.0405508356e+08,8.2197794766e+07,8.2197794766e+07
2020-03-15 06:50:00,1.1897455052e+08,1.1897455052e+08,7.7067962020e+07,7.7067962020e+07
2020-03-15 06:55:00,9.4336041716e+07,9.4336041716e+07,6.8548772138e+07,6.8548772138e+07
2020-03-15 07:00:00,1.0026452406e+08,1.0026452406e+08,6.6520954723e+07,6.6520954723e+07
2020-03-15 07:05:00,9.1017537370e+07,9.1017537370e+07,1.1446701931e+08,1.1446701931e+08
2020-03-15 07:10:00,9.5873191283e+07,9.5873191283e+07,9.0942483219e+07,9.0942483219e+07
2020-03-15 07:15:00,9.0480213089e+07,9.0480213089e+07,1.0457801277e+08,1.0457801277e+08
2020-03-15 07:20:00,1.1829275136e+08,1.1829275136e+08,9.3776730694e+07,9.3776730694e+07
2020-03-15 07:25:00,1.4311104327e+08,1.4311104327e+08,5.8468150352e+07,5.8468150352e+07
2020-03-15 07:30:00,1.4213281391e+08,1.4213281391e+08,6.7961464649e+07,6.7961464649e+07
2020-03-15 07:35:00,1.2219426979e+08,1.2219426979e+08,7.2948123413e+07,7.2948123413e+07
2020-03-15 07:40:00,1.0706217834e+08,1.0706217834e+08,5.5665700303e+07,5.5665700303e+07
2020-03-15 07:45:00,1.2121407875e+08,1.2121407875e+08,6.7772536880e+07,6.7772536880e+07
