DATE,LTLN,LTLN_peak,LNLT,LNLT_peak
2020-03-14 22:15:00,8.2900013737e+05,8.2900013737e+05,9.3763602217e+06,9.3763602217e+06
2020-03-14 22:20:00,8.2843356281e+05,8.2843356281e+05,6.6107101464e+06,6.6107101464e+06
2020-03-14 22:25:00,8.2023626338e+05,8.2023626338e+05,2.2914433574e+06,2.2914433574e+06
2020-03-14 22:30:00,7.9352954844e+05,7.9352954844e+05,8.3162434124e+05,8.3162434124e+05
2020-03-14 22:35:00,7.8320332714e+05,7.8320332714e+05,8.1907695963e+05,8.1907695963e+05
2020-03-14 22:40:00,7.8119424069e+05,7.8119424069e+05,8.9004409735e+05,8.9004409735e+05
2020-03-14 22:45:00,7.8282599964e+05,7.8282599964e+05,8.2559382987e+05,8.2559382987e+05
2020-03-14 22:50:00,8.0529803101e+05,8.0529803101e+05,1.0554947584e+06,1.0554947584e+06
2020-03-14 22:55:00,7.9778984108e+05,7.9778984108e+05,2.1065603856e+06,2.1065603856e+06
2020-03-14 23:00:00,1.0708776860e+06,1.0708776860e+06,9.0257128569e+05,9.0257128569e+05
2020-03-14 23:05:00,9.1006357153e+05,9.1006357153e+05,3.8030586086e+06,3.8030586086e+06
2020-03-14 23:10:00,7.7942196516e+05,7.7942196516e+05,8.3811132848e+05,8.3811132848e+05
2020-03-14 23:15:00,7.8198605510e+05,7.8198605510e+05,8.1291133978e+05,8.1291133978e+05
2020-03-14 23:20:00,7.9071969432e+05,7.9071969432e+05,9.9866293302e+05,9.9866293302e+05
2020-03-14 23:25:00,8.0454649184e+05,8.0454649184e+05,2.2196816195e+06,2.2196816195e+06
2020-03-14 23:30:00,7.8161268123e+05,7.8161268123e+05,1.0592266682e+06,1.0592266682e+06
2020-03-14 23:35:00,7.8252815192e+05,7.8252815192e+05,4.1813892493e+07,4.1813892493e+07
2020-03-14 23:40:00,7.8438173172e+05,7.8438173172e+05,4.9718015741e+07,4.9718015741e+07
2020-03-14 23:45:00,7.7859050738e+05,7.7859050738e+05,1.5260777315e+07,1.5260777315e+07
2020-03-14 23:50:00,7.7597310373e+05,7.7597310373e+05,9.7115430824e+05,9.7115430824e+05
2020-03-14 23:55:00,8.1409024324e+05,8.1409024324e+05,2.2948718945e+06,2.2948718945e+06
2020-03-15 00:00:00,7.8580670494e+05,7.8580670494e+05,9.3649896329e+05,9.3649896329e+05
2020-03-15 00:05:00,8.8885675978e+05,8.8885675978e+05,3.8837041876e+06,3.8837041876e+06
2020-03-15 00:10:00,7.9342747569e+05,7.9342747569e+05,9.2788214401e+05,9.2788214401e+05
2020-03-15 00:15:00,7.7756899876e+05,7.7756899876e+05,8.7849544320e+05,8.7849544320e+05
2020-03-15 00:20:00,7.9483712782e+05,7.9483712782e+05,1.2031643262e+06,1.2031643262e+06
2020-03-15 00:25:00,8.3405758462e+05,8.3405758462e+05,3.1388481088e+06,3.1388481088e+06
2020-03-15 00:30:00,1.0447946496e+06,1.0447946496e+06,1.3841053685e+07,1.3841053685e+07
2020-03-15 00:35:00,8.9810135016e+05,8.9810135016e+05,1.3647450826e+07,1.3647450826e+07
2020-03-15 00:40:00,9.2935161556e+05,9.2935161556e+05,1.3832917495e+07,1.3832917495e+07
2020-03-15 00:45:00,9.4649767375e+05,9.4649767375e+05,1.1688130720e+07,1.1688130720e+07
2020-03-15 00:50:00,9.1227947479e+05,9.1227947479e+05,1.2826988000e+07,1.2826988000e+07
2020-03-15 00:55:00,9.1002774900e+05,9.1002774900e+05,1.4139420553e+07,1.4139420553e+07
2020-03-15 01:00:00,7.9552120536e+05,7.9552120536e+05,1.2232359724e+06,1.2232359724e+06
2020-03-15 01:05:00,8.9868510822e+05,8.9868510822e+05,3.9693332215e+06,3.9693332215e+06
2020-03-15 01:10:00,7.8881312658e+05,7.8881312658e+05,8.4535640693e+05,8.4535640693e+05
2020-03-15 01:15:00,7.8065931662e+05,7.8065931662e+05,8.2124024356e+05,8.2124024356e+05
2020-03-15 01:20:00,7.8874784228e+05,7.8874784228e+05,1.0492666225e+06,1.0492666225e+06
2020-03-15 01:25:00,8.5219539683e+05,8.5219539683e+05,2.1057336775e+06,2.1057336775e+06
2020-03-15 01:30:00,7.7269781396e+05,7.7269781396e+05,8.8344938738e+05,8.8344938738e+05
2020-03-15 01:35:00,7.8521359627e+05,7.8521359627e+05,9.6759074604e+05,9.6759074604e+05
2020-03-15 01:40:00,7.7415353316e+05,7.7415353316e+05,8.7410280240e+05,8.7410280240e+05
2020-03-15 01:45:00,7.7637891307e+05,7.7637891307e+05,8.8236271253e+05,8.8236271253e+05
2020-03-15 01:50:00,7.8080457261e+05,7.8080457261e+05,9.3327773182e+05,9.3327773182e+05
2020-03-15 01:55:00,8.0940767718e+05,8.0940767718e+05,2.2023738324e+06,2.2023738324e+06
2020-03-15 02:00:00,7.7494648319e+05,7.7494648319e+05,8.0542046073e+05,8.0542046073e+05
2020-03-15 02:05:00,8.9213090718e+05,8.9213090718e+05,3.8751217064e+06,3.8751217064e+06
2020-03-15 02:10:00,7.8533168717e+05,7.8533168717e+05,8.2763745481e+05,8.2763745481e+05
2020-03-15 02:15:00,7.7233413071e+05,7.7233413071e+05,8.0781656208e+05,8.0781656208e+05
2020-03-15 02:20:00,7.8677489911e+05,7.8677489911e+05,9.7591931129e+05,9.7591931129e+05
2020-03-15 02:25:00,8.2515492071e+05,8.2515492071e+05,2.2362278682e+06,2.2362278682e+06
2020-03-15 02:30:00,7.7490740424e+05,7.7490740424e+05,8.1241910282e+05,8.1241910282e+05
2020-03-15 02:35:00,7.8638843742e+05,7.8638843742e+05,8.8898172865e+05,8.8898172865e+05
2020-03-15 02:40:00,7.7250667550e+05,7.7250667550e+05,7.9973099428e+05,7.9973099428e+05
2020-03-15 02:45:00,7.7881189815e+05,7.7881189815e+05,8.1209422044e+05,8.1209422044e+05
2020-03-15 02:50:00,8.6678102478e+05,8.6678102478e+05,9.8622521176e+06,9.8622521176e+06
2020-03-15 02:55:00,9.1774760314e+05,9.1774760314e+05,1.3799117711e+07,1.3799117711e+07
2020-03-15 03:00:00,1.9870395576e+06,1.9870395576e+06,1.2043827411e+07,1.2043827411e+07
2020-03-15 03:05:00,1.2742584713e+07,1.2742584713e+07,8.6976148826e+06,8.6976148826e+06
2020-03-15 03:10:00,1.0458236191e+07,1.0458236191e+07,5.2285539250e+06,5.2285539250e+06
2020-03-15 03:15:00,1.0466688573e+07,1.0466688573e+07,5.0825204690e+06,5.0825204690e+06
2020-03-15 03:20:00,1.0099297885e+07,1.0099297885e+07,5.3369811842e+06,5.3369811842e+06
2020-03-15 03:25:00,1.0387494678e+07,1.0387494678e+07,2.3899662333e+07,2.3899662333e+07
2020-03-15 03:30:00,1.0051614585e+07,1.0051614585e+07,4.0221094064e+07,4.0221094064e+07
2020-03-15 03:35:00,9.7918906589e+06,9.7918906589e+06,3.8553485298e+07,3.8553485298e+07
2020-03-15 03:40:00,6.5336088820e+06,6.5336088820e+06,2.9083369358e+07,2.9083369358e+07
2020-03-15 03:45:00,8.5579729470e+05,8.5579729470e+05,5.8178547322e+06,5.8178547322e+06
2020-03-15 03:50:00,8.3341316071e+05,8.3341316071e+05,6.2363263822e+06,6.2363263822e+06
2020-03-15 03:55:00,7.9302682080e+05,7.9302682080e+05,1.7660238500e+06,1.7660238500e+06
2020-03-15 04:00:00,7.7211730844e+05,7.7211730844e+05,8.8988425529e+05,8.8988425529e+05
2020-03-15 04:05:00,9.3245452836e+05,9.3245452836e+05,3.8877451634e+06,3.8877451634e+06
2020-03-15 04:10:00,8.1624168197e+05,8.1624168197e+05,8.3136735609e+05,8.3136735609e+05
2020-03-15 04:15:00,7.8829371874e+05,7.8829371874e+05,8.2077035831e+05,8.2077035831e+05
2020-03-15 04:20:00,7.9412133540e+05,7.9412133540e+05,1.1831355111e+06,1.1831355111e+06
2020-03-15 04:25:00,8.2983923812e+05,8.2983923812e+05,2.0422758563e+06,2.0422758563e+06
2020-03-15 04:30:00,8.0744990128e+05,8.0744990128e+05,8.2744953049e+05,8.2744953049e+05
2020-03-15 04:35:00,7.8917806848e+05,7.8917806848e+05,9.7666245353e+05,9.7666245353e+05
2020-03-15 04:40:00,7.7508490917e+05,7.7508490917e+05,8.0011303110e+05,8.0011303110e+05
2020-03-15 04:45:00,7.5415380968e+05,7.5415380968e+05,7.8947814700e+05,7.8947814700e+05
2020-03-15 04:50:00,7.7778591422e+05,7.7778591422e+05,1.0033685751e+06,1.0033685751e+06
2020-03-15 04:55:00,8.1162444338e+05,8.1162444338e+05,2.1262495749e+06,2.1262495749e+06
2020-03-15 05:00:00,7.6403337502e+05,7.6403337502e+05,8.0512884120e+05,8.0512884120e+05
2020-03-15 05:05:00,1.0118538167e+06,1.0118538167e+06,3.9051760795e+06,3.9051760795e+06
2020-03-15 05:10:00,8.2360567582e+05,8.2360567582e+05,8.2975469137e+05,8.2975469137e+05
2020-03-15 05:15:00,8.3280956036e+05,8.3280956036e+05,8.9525130956e+05,8.9525130956e+05
2020-03-15 05:20:00,7.8914295929e+05,7.8914295929e+05,1.2402496038e+06,1.2402496038e+06
2020-03-15 05:25:00,7.9578117644e+05,7.9578117644e+05,2.0073278700e+06,2.0073278700e+06
2020-03-15 05:30:00,7.8027031712e+05,7.8027031712e+05,8.8896562686e+05,8.8896562686e+05
2020-03-15 05:35:00,7.7490745701e+05,7.7490745701e+05,9.6558761136e+05,9.6558761136e+05
2020-03-15 05:40:00,7.2807354721e+05,7.2807354721e+05,7.6324465001e+05,7.6324465001e+05
2020-03-15 05:45:00,7.5144784133e+05,7.5144784133e+05,7.8340117959e+05,7.8340117959e+05
2020-03-15 05:50:00,7.5971730124e+05,7.5971730124e+05,9.3036671716e+05,9.3036671716e+05
2020-03-15 05:55:00,7.9192381937e+05,7.9192381937e+05,2.2287318694e+06,2.2287318694e+06
2020-03-15 06:00:00,7.9556390424e+05,7.9556390424e+05,7.0306393978e+06,7.0306393978e+06
2020-03-15 06:05:00,1.0975454829e+06,1.0975454829e+06,2.2894616039e+07,2.2894616039e+07
2020-03-15 06:10:00,8.7723375335e+05,8.7723375335e+05,1.4545830971e+07,1.4545830971e+07
2020-03-15 06:15:00,8.6256077493e+05,8.6256077493e+05,1.2043626651e+07,1.2043626651e+07
2020-03-15 06:20:00,8.6860903053e+05,8.6860903053e+05,1.2549084930e+07,1.2549084930e+07
2020-03-15 06:25:00,8.6037026758e+05,8.6037026758e+05,1.3082305800e+07,1.3082305800e+07
2020-03-15 06:30:00,7.9219288245e+05,7.9219288245e+05,3.0051847354e+06,3.0051847354e+06
2020-03-15 06:35:00,7.7188678015e+05,7.7188678015e+05,7.9668075471e+05,7.9668075471e+05
2020-03-15 06:40:00,7.5466214867e+05,7.5466214867e+05,8.6252607918e+05,8.6252607918e+05
2020-03-15 06:45:00,7.4800367222e+05,7.4800367222e+05,7.7500021424e+05,7.7500021424e+05
2020-03-15 06:50:00,7.6156707093e+05,7.6156707093e+05,1.0295831935e+06,1.0295831935e+06
2020-03-15 06:55:00,7.7652797595e+05,7.7652797595e+05,2.0481684108e+06,2.0481684108e+06
2020-03-15 07:00:00,7.7199751391e+05,7.7199751391e+05,8.7929199902e+05,8.7929199902e+05
2020-03-15 07:05:00,8.5578730562e+05,8.5578730562e+05,3.7810471263e+06,3.7810471263e+06
2020-03-15 07:10:00,7.4917399588e+05,7.4917399588e+05,8.6593911413e+05,8.6593911413e+05
2020-03-15 07:15:00,7.4900496287e+05,7.4900496287e+05,7.8174504900e+05,7.8174504900e+05
2020-03-15 07:20:00,7.5760029731e+05,7.5760029731e+05,9.5913616913e+05,9.5913616913e+05
2020-03-15 07:25:00,7.8369059177e+05,7.8369059177e+05,2.2758918920e+06,2.2758918920e+06
2020-03-15 07:30:00,7.4972255172e+05,7.4972255172e+05,8.5157982797e+05,8.5157982797e+05
2020-03-15 07:35:00,7.5203387873e+05,7.5203387873e+05,7.7832368132e+05,7.7832368132e+05
2020-03-15 07:40:00,7.5901351182e+05,7.5901351182e+05,8.6840077333e+05,8.6840077333e+05
2020-03-15 07:45:00,7.4599998685e+05,7.4599998685e+05,8.6071688796e+05,8.6071688796e+05
2020-03-15 07:50:00,7.7397846081e+05,7.7397846081e+05,1.1834250842e+06,1.1834250842e+06
2020-03-15 07:55:00,7.7675352723e+05,7.7675352723e+05,1.9018784102e+06,1.9018784102e+06
2020-03-15 08:00:00,7.5402858782e+05,7.5402858782e+05,7.9415813449e+05,7.9415813449e+05
2020-03-15 08:05:00,8.6656435181e+05,8.6656435181e+05,3.7865510260e+06,3.7865510260e+06
2020-03-15 08:10:00,7.6512711557e+05,7.6512711557e+05,8.0963848009e+05,8.0963848009e+05
2020-03-15 08:15:00,7.6260449818e+05,7.6260449818e+05,8.6796680978e+05,8.6796680978e+05
2020-03-15 08:20:00,7.6189211613e+05,7.6189211613e+05,1.1323926555e+06,1.1323926555e+06
2020-03-15 08:25:00,7.8772815314e+05,7.8772815314e+05,2.0245446997e+06,2.0245446997e+06
2020-03-15 08:30:00,8.9652920353e+05,8.9652920353e+05,7.9206284514e+05,7.9206284514e+05
2020-03-15 08:35:00,7.6102440836e+05,7.6102440836e+05,7.9751346427e+05,7.9751346427e+05
2020-03-15 08:40:00,7.5054701502e+05,7.5054701502e+05,7.8314857707e+05,7.8314857707e+05
2020-03-15 08:45:00,7.4726227563e+05,7.4726227563e+05,7.7887112820e+05,7.7887112820e+05
2020-03-15 08:50:00,7.6620395882e+05,7.6620395882e+05,1.1325411968e+06,1.1325411968e+06
2020-03-15 08:55:00,7.8034154252e+05,7.8034154252e+05,2.2033478457e+06,2.2033478457e+06
2020-03-15 09:00:00,7.5023339770e+05,7.5023339770e+05,8.8589620360e+05,8.8589620360e+05
2020-03-15 09:05:00,8.7153252600e+05,8.7153252600e+05,3.8907503245e+06,3.8907503245e+06
2020-03-15 09:10:00,7.7241568122e+05,7.7241568122e+05,8.9291326589e+05,8.9291326589e+05
2020-03-15 09:15:00,7.7860613666e+05,7.7860613666e+05,8.8874835623e+05,8.8874835623e+05
2020-03-15 09:20:00,7.8462936189e+05,7.8462936189e+05,1.1297568313e+06,1.1297568313e+06
2020-03-15 09:25:00,8.0449732551e+05,8.0449732551e+05,2.4191844152e+06,2.4191844152e+06
2020-03-15 09:30:00,3.6479397943e+06,3.6479397943e+06,9.6223937982e+05,9.6223937982e+05
2020-03-15 09:35:00,1.3334332562e+07,1.3334332562e+07,9.7127750720e+05,9.7127750720e+05
2020-03-15 09:40:00,1.3331464394e+07,1.3331464394e+07,9.7313001342e+05,9.7313001342e+05
2020-03-15 09:45:00,1.1250860175e+07,1.1250860175e+07,9.5906452862e+05,9.5906452862e+05
2020-03-15 09:50:00,1.0740604842e+07,1.0740604842e+07,1.3899977942e+06,1.3899977942e+06
