DATE,HUAT,HUAT_peak,ATHU,ATHU_peak
2020-03-14 22:05:00,9.7686786526e+09,9.7686786526e+09,6.2814714149e+09,6.2814714149e+09
2020-03-14 22:10:00,9.3395163183e+09,9.3395163183e+09,2.3583044276e+09,2.3583044276e+09
2020-03-14 22:15:00,9.1177008297e+09,9.1177008297e+09,1.9230384902e+09,1.9230384902e+09
2020-03-14 22:20:00,8.9651780505e+09,8.9651780505e+09,2.1919960139e+09,2.1919960139e+09
2020-03-14 22:25:00,8.3938300760e+09,8.3938300760e+09,2.2350463361e+09,2.2350463361e+09
2020-03-14 22:30:00,8.3315456744e+09,8.3315456744e+09,1.8662705607e+09,1.8662705607e+09
2020-03-14 22:35:00,8.2616517762e+09,8.2616517762e+09,1.8202702952e+09,1.8202702952e+09
2020-03-14 22:40:00,8.3238079903e+09,8.3238079903e+09,2.0621703311e+09,2.0621703311e+09
2020-03-14 22:45:00,8.5722987002e+09,8.5722987002e+09,1.7562727187e+09,1.7562727187e+09
2020-03-14 22:50:00,8.5130933395e+09,8.5130933395e+09,1.6417090945e+09,1.6417090945e+09
2020-03-14 22:55:00,8.6918199540e+09,8.6918199540e+09,2.7629526944e+09,2.7629526944e+09
2020-03-14 23:00:00,8.6766373599e+09,8.6766373599e+09,1.4750755447e+09,1.4750755447e+09
2020-03-14 23:05:00,8.9506874651e+09,8.9506874651e+09,1.5614550280e+09,1.5614550280e+09
2020-03-14 23:10:00,9.1301847142e+09,9.1301847142e+09,1.6014834714e+09,1.6014834714e+09
2020-03-14 23:15:00,8.7405918194e+09,8.7405918194e+09,1.6310353554e+09,1.6310353554e+09
2020-03-14 23:20:00,8.9275564636e+09,8.9275564636e+09,1.5780918062e+09,1.5780918062e+09
2020-03-14 23:25:00,8.4838919392e+09,8.4838919392e+09,1.4858273172e+09,1.4858273172e+09
2020-03-14 23:30:00,8.5078488662e+09,8.5078488662e+09,1.4661400146e+09,1.4661400146e+09
2020-03-14 23:35:00,8.0013903884e+09,8.0013903884e+09,1.4683942248e+09,1.4683942248e+09
2020-03-14 23:40:00,7.5783656361e+09,7.5783656361e+09,1.3874355542e+09,1.3874355542e+09
2020-03-14 23:45:00,7.7144862341e+09,7.7144862341e+09,1.3262237784e+09,1.3262237784e+09
2020-03-14 23:50:00,8.0950561347e+09,8.0950561347e+09,1.2984116511e+09,1.2984116511e+09
2020-03-14 23:55:00,7.3186315997e+09,7.3186315997e+09,1.2951399778e+09,1.2951399778e+09
2020-03-15 00:00:00,8.4133351645e+09,8.4133351645e+09,1.1876713164e+09,1.1876713164e+09
2020-03-15 00:05:00,6.6990994750e+09,6.6990994750e+09,1.2534266581e+09,1.2534266581e+09
2020-03-15 00:10:00,7.0401952009e+09,7.0401952009e+09,1.2890926020e+09,1.2890926020e+09
2020-03-15 00:15:00,7.3192904376e+09,7.3192904376e+09,1.3966847522e+09,1.3966847522e+09
2020-03-15 00:20:00,6.5175782022e+09,6.5175782022e+09,1.4825804310e+09,1.4825804310e+09
