DATE,GRGC,GRGC_peak,GCGR,GCGR_peak
2020-03-21 22:05:00,3.3999330821e+09,3.3999330821e+09,2.6380861092e+09,2.6380861092e+09
2020-03-21 22:10:00,3.6687835295e+09,3.6687835295e+09,2.3110273759e+09,2.3110273759e+09
2020-03-21 22:15:00,2.9870087935e+09,2.9870087935e+09,2.6175815851e+09,2.6175815851e+09
2020-03-21 22:20:00,3.9182633079e+09,3.9182633079e+09,2.9294849052e+09,2.9294849052e+09
2020-03-21 22:25:00,4.1737842191e+09,4.1737842191e+09,2.7557953163e+09,2.7557953163e+09
2020-03-21 22:30:00,3.2547999087e+09,3.2547999087e+09,2.4497790018e+09,2.4497790018e+09
2020-03-21 22:35:00,3.3330519498e+09,3.3330519498e+09,2.1312495698e+09,2.1312495698e+09
2020-03-21 22:40:00,3.2486598102e+09,3.2486598102e+09,2.0261858980e+09,2.0261858980e+09
2020-03-21 22:45:00,3.2769946618e+09,3.2769946618e+09,1.6798600422e+09,1.6798600422e+09
2020-03-21 22:50:00,3.4858467587e+09,3.4858467587e+09,2.4498128883e+09,2.4498128883e+09
2020-03-21 22:55:00,3.3990106879e+09,3.3990106879e+09,2.6344310882e+09,2.6344310882e+09
2020-03-21 23:00:00,3.3163355117e+09,3.3163355117e+09,2.4890691026e+09,2.4890691026e+09
2020-03-21 23:05:00,4.2947743757e+09,4.2947743757e+09,2.2177041294e+09,2.2177041294e+09
2020-03-21 23:10:00,3.7677497322e+09,3.7677497322e+09,2.3883282682e+09,2.3883282682e+09
2020-03-21 23:15:00,3.3038975037e+09,3.3038975037e+09,2.2381826250e+09,2.2381826250e+09
2020-03-21 23:20:00,3.6629528859e+09,3.6629528859e+09,2.5648218275e+09,2.5648218275e+09
2020-03-21 23:25:00,3.7022322893e+09,3.7022322893e+09,2.1457647665e+09,2.1457647665e+09
2020-03-21 23:30:00,2.4204713511e+09,2.4204713511e+09,1.7142831284e+09,1.7142831284e+09
2020-03-21 23:35:00,3.4296819866e+09,3.4296819866e+09,1.9880995392e+09,1.9880995392e+09
2020-03-21 23:40:00,3.8662940919e+09,3.8662940919e+09,2.7103159265e+09,2.7103159265e+09
2020-03-21 23:45:00,3.2862900690e+09,3.2862900690e+09,1.9790054042e+09,1.9790054042e+09
2020-03-21 23:50:00,3.8848453292e+09,3.8848453292e+09,2.1966511364e+09,2.1966511364e+09
2020-03-21 23:55:00,3.8630688863e+09,3.8630688863e+09,3.0012998339e+09,3.0012998339e+09
2020-03-22 00:00:00,2.2420493861e+09,2.2420493861e+09,2.7535426262e+09,2.7535426262e+09
2020-03-22 00:05:00,2.4425566866e+09,2.4425566866e+09,1.6092295688e+09,1.6092295688e+09
2020-03-22 00:10:00,2.5643541135e+09,2.5643541135e+09,1.7746806472e+09,1.7746806472e+09
2020-03-22 00:15:00,2.6977943095e+09,2.6977943095e+09,1.9306543411e+09,1.9306543411e+09
2020-03-22 00:20:00,3.2071603323e+09,3.2071603323e+09,1.2460173190e+09,1.2460173190e+09
2020-03-22 00:25:00,3.3434340921e+09,3.3434340921e+09,1.4458450877e+09,1.4458450877e+09
2020-03-22 00:30:00,2.7841780073e+09,2.7841780073e+09,1.4540804352e+09,1.4540804352e+09
2020-03-22 00:35:00,3.3034041832e+09,3.3034041832e+09,1.0320880660e+09,1.0320880660e+09
2020-03-22 00:40:00,3.1981143313e+09,3.1981143313e+09,1.6640166471e+09,1.6640166471e+09
2020-03-22 00:45:00,3.4058338866e+09,3.4058338866e+09,1.3531922865e+09,1.3531922865e+09
2020-03-22 00:50:00,3.0076057509e+09,3.0076057509e+09,1.5139438178e+09,1.5139438178e+09
2020-03-22 00:55:00,2.9554801824e+09,2.9554801824e+09,1.5776682768e+09,1.5776682768e+09
2020-03-22 01:00:00,2.7587219919e+09,2.7587219919e+09,1.0329510458e+09,1.0329510458e+09
2020-03-22 01:05:00,2.8625651465e+09,2.8625651465e+09,9.7487900175e+08,9.7487900175e+08
2020-03-22 01:10:00,3.2218824254e+09,3.2218824254e+09,1.0671215089e+09,1.0671215089e+09
2020-03-22 01:15:00,3.2539652050e+09,3.2539652050e+09,1.1803888496e+09,1.1803888496e+09
2020-03-22 01:20:00,3.5625416775e+09,3.5625416775e+09,1.9386370538e+09,1.9386370538e+09
2020-03-22 01:25:00,2.8099131088e+09,2.8099131088e+09,1.6652721832e+09,1.6652721832e+09
2020-03-22 01:30:00,2.7701411156e+09,2.7701411156e+09,1.5583227644e+09,1.5583227644e+09
2020-03-22 01:35:00,4.3998178947e+09,4.3998178947e+09,1.9971401044e+09,1.9971401044e+09
2020-03-22 01:40:00,3.1444967372e+09,3.1444967372e+09,2.3233031155e+09,2.3233031155e+09
2020-03-22 01:45:00,3.5878249895e+09,3.5878249895e+09,2.3472282584e+09,2.3472282584e+09
2020-03-22 01:50:00,3.4832223343e+09,3.4832223343e+09,2.4679638817e+09,2.4679638817e+09
2020-03-22 01:55:00,4.1747614095e+09,4.1747614095e+09,2.5508731134e+09,2.5508731134e+09
2020-03-22 02:00:00,3.0179628747e+09,3.0179628747e+09,2.0868593216e+09,2.0868593216e+09
2020-03-22 02:05:00,3.5416977748e+09,3.5416977748e+09,2.1042395343e+09,2.1042395343e+09
2020-03-22 02:10:00,2.6820938480e+09,2.6820938480e+09,1.7232122228e+09,1.7232122228e+09
2020-03-22 02:15:00,3.2560174358e+09,3.2560174358e+09,2.4453455529e+09,2.4453455529e+09
2020-03-22 02:20:00,3.7840254538e+09,3.7840254538e+09,2.0101281802e+09,2.0101281802e+09
2020-03-22 02:25:00,3.1716213631e+09,3.1716213631e+09,2.2888634303e+09,2.2888634303e+09
2020-03-22 02:30:00,2.7777408043e+09,2.7777408043e+09,2.8761980591e+09,2.8761980591e+09
2020-03-22 02:35:00,3.8937632058e+09,3.8937632058e+09,2.5341179687e+09,2.5341179687e+09
2020-03-22 02:40:00,3.7006080313e+09,3.7006080313e+09,3.0182656047e+09,3.0182656047e+09
2020-03-22 02:45:00,3.6779004638e+09,3.6779004638e+09,2.1928307054e+09,2.1928307054e+09
