DATE,GRGC,GRGC_peak,GCGR,GCGR_peak
2020-03-14 22:05:00,4.1438860636e+09,4.1438860636e+09,2.7657471457e+09,2.7657471457e+09
2020-03-14 22:10:00,3.0718389765e+09,3.0718389765e+09,3.1379421622e+09,3.1379421622e+09
2020-03-14 22:15:00,2.6910656478e+09,2.6910656478e+09,3.3625057889e+09,3.3625057889e+09
2020-03-14 22:20:00,4.1097463598e+09,4.1097463598e+09,3.1966060689e+09,3.1966060689e+09
2020-03-14 22:25:00,3.7166434546e+09,3.7166434546e+09,2.7633414411e+09,2.7633414411e+09
2020-03-14 22:30:00,3.0918584021e+09,3.0918584021e+09,2.7689395376e+09,2.7689395376e+09
2020-03-14 22:35:00,4.5647506218e+09,4.5647506218e+09,2.6204192528e+09,2.6204192528e+09
2020-03-14 22:40:00,3.4094058628e+09,3.4094058628e+09,2.6174172281e+09,2.6174172281e+09
2020-03-14 22:45:00,2.8837115419e+09,2.8837115419e+09,2.4133929275e+09,2.4133929275e+09
2020-03-14 22:50:00,3.4895413642e+09,3.4895413642e+09,2.5748778232e+09,2.5748778232e+09
2020-03-14 22:55:00,2.9480029807e+09,2.9480029807e+09,3.0314973118e+09,3.0314973118e+09
2020-03-14 23:00:00,3.7263249658e+09,3.7263249658e+09,2.6928226365e+09,2.6928226365e+09
2020-03-14 23:05:00,3.0829063033e+09,3.0829063033e+09,2.4882067557e+09,2.4882067557e+09
2020-03-14 23:10:00,3.5130563298e+09,3.5130563298e+09,2.3126052102e+09,2.3126052102e+09
2020-03-14 23:15:00,2.9578409751e+09,2.9578409751e+09,2.5623483297e+09,2.5623483297e+09
2020-03-14 23:20:00,3.3234523058e+09,3.3234523058e+09,2.3684896955e+09,2.3684896955e+09
2020-03-14 23:25:00,3.0283168108e+09,3.0283168108e+09,2.3584148446e+09,2.3584148446e+09
2020-03-14 23:30:00,2.2625927291e+09,2.2625927291e+09,2.2366265508e+09,2.2366265508e+09
2020-03-14 23:35:00,3.6843430976e+09,3.6843430976e+09,2.2533471710e+09,2.2533471710e+09
2020-03-14 23:40:00,2.4682089081e+09,2.4682089081e+09,2.4861821824e+09,2.4861821824e+09
2020-03-14 23:45:00,2.9160702358e+09,2.9160702358e+09,2.5876429059e+09,2.5876429059e+09
2020-03-14 23:50:00,3.0668916180e+09,3.0668916180e+09,2.3502334851e+09,2.3502334851e+09
2020-03-14 23:55:00,3.2485569787e+09,3.2485569787e+09,1.6719578182e+09,1.6719578182e+09
2020-03-15 00:00:00,2.7458900675e+09,2.7458900675e+09,2.1196233816e+09,2.1196233816e+09
2020-03-15 00:05:00,2.8160633386e+09,2.8160633386e+09,2.1659903165e+09,2.1659903165e+09
2020-03-15 00:10:00,2.7325835565e+09,2.7325835565e+09,1.9784943563e+09,1.9784943563e+09
2020-03-15 00:15:00,2.7353659322e+09,2.7353659322e+09,2.4254041591e+09,2.4254041591e+09
2020-03-15 00:20:00,3.2556089346e+09,3.2556089346e+09,1.9687349351e+09,1.9687349351e+09
2020-03-15 00:25:00,3.4461989032e+09,3.4461989032e+09,2.1329105253e+09,2.1329105253e+09
2020-03-15 00:30:00,3.0432705396e+09,3.0432705396e+09,1.8648774345e+09,1.8648774345e+09
2020-03-15 00:35:00,3.4400593264e+09,3.4400593264e+09,1.7667864338e+09,1.7667864338e+09
2020-03-15 00:40:00,2.4494385623e+09,2.4494385623e+09,1.6555184297e+09,1.6555184297e+09
2020-03-15 00:45:00,3.3285086447e+09,3.3285086447e+09,2.0791899201e+09,2.0791899201e+09
2020-03-15 00:50:00,2.5444419774e+09,2.5444419774e+09,2.1017796115e+09,2.1017796115e+09
2020-03-15 00:55:00,2.7367001045e+09,2.7367001045e+09,1.9121114347e+09,1.9121114347e+09
2020-03-15 01:00:00,2.7510516424e+09,2.7510516424e+09,1.7484663833e+09,1.7484663833e+09
2020-03-15 01:05:00,3.3051395993e+09,3.3051395993e+09,1.6892155316e+09,1.6892155316e+09
2020-03-15 01:10:00,2.6621323095e+09,2.6621323095e+09,2.3308720017e+09,2.3308720017e+09
2020-03-15 01:15:00,2.7085785636e+09,2.7085785636e+09,1.9786114985e+09,1.9786114985e+09
2020-03-15 01:20:00,2.8833171904e+09,2.8833171904e+09,1.9665519750e+09,1.9665519750e+09
2020-03-15 01:25:00,3.2436959946e+09,3.2436959946e+09,2.0756598961e+09,2.0756598961e+09
2020-03-15 01:30:00,2.7938701609e+09,2.7938701609e+09,2.2091319927e+09,2.2091319927e+09
2020-03-15 01:35:00,3.3682967434e+09,3.3682967434e+09,2.0701906298e+09,2.0701906298e+09
2020-03-15 01:40:00,2.7252460218e+09,2.7252460218e+09,1.9375063453e+09,1.9375063453e+09
2020-03-15 01:45:00,2.7203935592e+09,2.7203935592e+09,2.1376018303e+09,2.1376018303e+09
2020-03-15 01:50:00,3.4310238541e+09,3.4310238541e+09,2.0650393298e+09,2.0650393298e+09
