DATE,LTPL,LTPL_peak,PLLT,LTPL_peak
2020-03-14 22:05:00,8.8567247318e+08,8.8567247318e+08,7.4063726924e+08,7.4063726924e+08
2020-03-14 22:10:00,8.7030525399e+08,8.7030525399e+08,9.3000777816e+08,9.3000777816e+08
2020-03-14 22:15:00,8.6359527686e+08,8.6359527686e+08,1.3901814474e+09,1.3901814474e+09
2020-03-14 22:20:00,1.0514616636e+09,1.0514616636e+09,5.2434559560e+08,5.2434559560e+08
2020-03-14 22:25:00,9.6136269753e+08,9.6136269753e+08,5.2637589836e+08,5.2637589836e+08
2020-03-14 22:30:00,9.0703631627e+08,9.0703631627e+08,6.7468088023e+08,6.7468088023e+08
2020-03-14 22:35:00,8.6073279009e+08,8.6073279009e+08,4.8147128193e+08,4.8147128193e+08
2020-03-14 22:40:00,9.3002675177e+08,9.3002675177e+08,5.3218629780e+08,5.3218629780e+08
2020-03-14 22:45:00,9.4011572885e+08,9.4011572885e+08,4.3523309717e+08,4.3523309717e+08
2020-03-14 22:50:00,8.6752025426e+08,8.6752025426e+08,5.5968981225e+08,5.5968981225e+08
2020-03-14 22:55:00,8.7423702539e+08,8.7423702539e+08,4.0048397803e+08,4.0048397803e+08
2020-03-14 23:00:00,9.2830063147e+08,9.2830063147e+08,4.5647819352e+08,4.5647819352e+08
2020-03-14 23:05:00,8.6591535391e+08,8.6591535391e+08,4.0417854443e+08,4.0417854443e+08
2020-03-14 23:10:00,8.4047327723e+08,8.4047327723e+08,3.5355084764e+08,3.5355084764e+08
2020-03-14 23:15:00,8.3342942064e+08,8.3342942064e+08,5.4695095443e+08,5.4695095443e+08
2020-03-14 23:20:00,8.1544400790e+08,8.1544400790e+08,4.8814538418e+08,4.8814538418e+08
2020-03-14 23:25:00,7.5304749910e+08,7.5304749910e+08,3.6544762255e+08,3.6544762255e+08
2020-03-14 23:30:00,8.0273792249e+08,8.0273792249e+08,4.1284124526e+08,4.1284124526e+08
2020-03-14 23:35:00,7.0631200037e+08,7.0631200037e+08,4.2063924155e+08,4.2063924155e+08
2020-03-14 23:40:00,8.3119422515e+08,8.3119422515e+08,4.0807755118e+08,4.0807755118e+08
2020-03-14 23:45:00,6.9828396125e+08,6.9828396125e+08,3.7988224957e+08,3.7988224957e+08
2020-03-14 23:50:00,7.7179034567e+08,7.7179034567e+08,5.5470438120e+08,5.5470438120e+08
2020-03-14 23:55:00,7.0337833900e+08,7.0337833900e+08,4.3299067307e+08,4.3299067307e+08
2020-03-15 00:00:00,5.9328737796e+08,5.9328737796e+08,5.2366055891e+08,5.2366055891e+08
2020-03-15 00:05:00,5.9383674964e+08,5.9383674964e+08,3.5059753812e+08,3.5059753812e+08
2020-03-15 00:10:00,5.8553436457e+08,5.8553436457e+08,4.6614173389e+08,4.6614173389e+08
2020-03-15 00:15:00,6.5278831364e+08,6.5278831364e+08,5.2979759864e+08,5.2979759864e+08
2020-03-15 00:20:00,6.4508678289e+08,6.4508678289e+08,5.4154432532e+08,5.4154432532e+08
2020-03-15 00:25:00,5.4165611855e+08,5.4165611855e+08,5.9530741688e+08,5.9530741688e+08
2020-03-15 00:30:00,5.3320270114e+08,5.3320270114e+08,6.4096957441e+08,6.4096957441e+08
2020-03-15 00:35:00,4.8564513942e+08,4.8564513942e+08,6.2449886010e+08,6.2449886010e+08
2020-03-15 00:40:00,5.4378613047e+08,5.4378613047e+08,6.6299648316e+08,6.6299648316e+08
2020-03-15 00:45:00,5.7247648652e+08,5.7247648652e+08,6.2648630912e+08,6.2648630912e+08
2020-03-15 00:50:00,4.8823042964e+08,4.8823042964e+08,5.0056922146e+08,5.0056922146e+08
2020-03-15 00:55:00,5.7528232383e+08,5.7528232383e+08,5.9401466561e+08,5.9401466561e+08
2020-03-15 01:00:00,5.7890982069e+08,5.7890982069e+08,6.5919276863e+08,6.5919276863e+08
2020-03-15 01:05:00,4.8458724869e+08,4.8458724869e+08,3.7509545468e+08,3.7509545468e+08
2020-03-15 01:10:00,5.4368801288e+08,5.4368801288e+08,4.5692502955e+08,4.5692502955e+08
2020-03-15 01:15:00,5.4617455644e+08,5.4617455644e+08,4.0528986641e+08,4.0528986641e+08
2020-03-15 01:20:00,4.1132360546e+08,4.1132360546e+08,5.4040412286e+08,5.4040412286e+08
2020-03-15 01:25:00,4.8415843161e+08,4.8415843161e+08,4.2714777701e+08,4.2714777701e+08
2020-03-15 01:30:00,3.9512842883e+08,3.9512842883e+08,5.4209549790e+08,5.4209549790e+08
2020-03-15 01:35:00,4.9150990696e+08,4.9150990696e+08,3.3767891223e+08,3.3767891223e+08
2020-03-15 01:40:00,4.9263909304e+08,4.9263909304e+08,3.9785436080e+08,3.9785436080e+08
2020-03-15 01:45:00,3.5348083174e+08,3.5348083174e+08,6.1268552649e+08,6.1268552649e+08
2020-03-15 01:50:00,3.7320827106e+08,3.7320827106e+08,4.2215194803e+08,4.2215194803e+08
2020-03-15 01:55:00,3.6670868435e+08,3.6670868435e+08,4.0165354559e+08,4.0165354559e+08
2020-03-15 02:00:00,4.4373801307e+08,4.4373801307e+08,4.3050255670e+08,4.3050255670e+08
2020-03-15 02:05:00,3.4007202818e+08,3.4007202818e+08,3.5601166581e+08,3.5601166581e+08
2020-03-15 02:10:00,3.2118041699e+08,3.2118041699e+08,3.3333684189e+08,3.3333684189e+08
2020-03-15 02:15:00,3.3026683871e+08,3.3026683871e+08,5.3066663246e+08,5.3066663246e+08
2020-03-15 02:20:00,3.1591107136e+08,3.1591107136e+08,5.1575181911e+08,5.1575181911e+08
2020-03-15 02:25:00,3.2903585378e+08,3.2903585378e+08,3.0319796310e+08,3.0319796310e+08
2020-03-15 02:30:00,3.3722678548e+08,3.3722678548e+08,4.1022165987e+08,4.1022165987e+08
2020-03-15 02:35:00,3.3204617736e+08,3.3204617736e+08,2.7848557329e+08,2.7848557329e+08
2020-03-15 02:40:00,3.6255367221e+08,3.6255367221e+08,3.0848889234e+08,3.0848889234e+08
2020-03-15 02:45:00,3.3279040694e+08,3.3279040694e+08,3.6551294210e+08,3.6551294210e+08
2020-03-15 02:50:00,3.4415369498e+08,3.4415369498e+08,3.0204992210e+08,3.0204992210e+08
2020-03-15 02:55:00,4.0392302914e+08,4.0392302914e+08,3.2266663525e+08,3.2266663525e+08
2020-03-15 03:00:00,4.1665454924e+08,4.1665454924e+08,3.4989600607e+08,3.4989600607e+08
2020-03-15 03:05:00,3.3289142517e+08,3.3289142517e+08,5.2843002281e+08,5.2843002281e+08
2020-03-15 03:10:00,3.5035666483e+08,3.5035666483e+08,3.1908065228e+08,3.1908065228e+08
2020-03-15 03:15:00,5.0023526253e+08,5.0023526253e+08,2.2028294913e+08,2.2028294913e+08
2020-03-15 03:20:00,3.7767034141e+08,3.7767034141e+08,2.8262948955e+08,2.8262948955e+08
2020-03-15 03:25:00,3.7037406701e+08,3.7037406701e+08,4.0747528294e+08,4.0747528294e+08
2020-03-15 03:30:00,4.0058915959e+08,4.0058915959e+08,2.9633390424e+08,2.9633390424e+08
2020-03-15 03:35:00,4.1809012149e+08,4.1809012149e+08,3.5012569301e+08,3.5012569301e+08
2020-03-15 03:40:00,3.8749677192e+08,3.8749677192e+08,3.4850918239e+08,3.4850918239e+08
2020-03-15 03:45:00,3.5081903875e+08,3.5081903875e+08,3.5769924132e+08,3.5769924132e+08
2020-03-15 03:50:00,2.9826575930e+08,2.9826575930e+08,3.7854090221e+08,3.7854090221e+08
2020-03-15 03:55:00,3.1439232517e+08,3.1439232517e+08,3.7190199058e+08,3.7190199058e+08
2020-03-15 04:00:00,3.2331800537e+08,3.2331800537e+08,1.9899078887e+08,1.9899078887e+08
2020-03-15 04:05:00,3.9770141774e+08,3.9770141774e+08,3.2469090051e+08,3.2469090051e+08
2020-03-15 04:10:00,3.6144865535e+08,3.6144865535e+08,2.9047959771e+08,2.9047959771e+08
2020-03-15 04:15:00,3.5365261550e+08,3.5365261550e+08,5.4365946716e+08,5.4365946716e+08
2020-03-15 04:20:00,2.6240142691e+08,2.6240142691e+08,2.5831611940e+08,2.5831611940e+08
2020-03-15 04:25:00,2.2863196917e+08,2.2863196917e+08,1.9997900014e+08,1.9997900014e+08
2020-03-15 04:30:00,2.3560776428e+08,2.3560776428e+08,3.0201404426e+08,3.0201404426e+08
2020-03-15 04:35:00,1.9996471575e+08,1.9996471575e+08,3.0771753803e+08,3.0771753803e+08
2020-03-15 04:40:00,2.2038930765e+08,2.2038930765e+08,3.5346758200e+08,3.5346758200e+08
2020-03-15 04:45:00,2.4750241696e+08,2.4750241696e+08,2.7721197128e+08,2.7721197128e+08
2020-03-15 04:50:00,2.2252338947e+08,2.2252338947e+08,4.4404765378e+08,4.4404765378e+08
2020-03-15 04:55:00,2.3805665603e+08,2.3805665603e+08,3.2782397008e+08,3.2782397008e+08
2020-03-15 05:00:00,2.0312539110e+08,2.0312539110e+08,3.0381018280e+08,3.0381018280e+08
2020-03-15 05:05:00,2.1213021396e+08,2.1213021396e+08,2.6493114167e+08,2.6493114167e+08
2020-03-15 05:10:00,2.3104345043e+08,2.3104345043e+08,2.4373279079e+08,2.4373279079e+08
2020-03-15 05:15:00,2.3942082783e+08,2.3942082783e+08,2.2911913520e+08,2.2911913520e+08
2020-03-15 05:20:00,2.5159583778e+08,2.5159583778e+08,2.5497127433e+08,2.5497127433e+08
2020-03-15 05:25:00,2.8289965114e+08,2.8289965114e+08,2.0346068651e+08,2.0346068651e+08
2020-03-15 05:30:00,2.5846521096e+08,2.5846521096e+08,2.7137448336e+08,2.7137448336e+08
2020-03-15 05:35:00,2.1648833371e+08,2.1648833371e+08,2.6993700655e+08,2.6993700655e+08
2020-03-15 05:40:00,1.9934675335e+08,1.9934675335e+08,3.6897857350e+08,3.6897857350e+08
2020-03-15 05:45:00,2.1245913896e+08,2.1245913896e+08,7.1469870378e+08,7.1469870378e+08
2020-03-15 05:50:00,2.4340845330e+08,2.4340845330e+08,1.9885632900e+08,1.9885632900e+08
2020-03-15 05:55:00,2.2424092457e+08,2.2424092457e+08,2.5287696056e+08,2.5287696056e+08
2020-03-15 06:00:00,2.3963054901e+08,2.3963054901e+08,3.4073182733e+08,3.4073182733e+08
2020-03-15 06:05:00,2.6906673306e+08,2.6906673306e+08,5.2652770943e+08,5.2652770943e+08
2020-03-15 06:10:00,2.9603935068e+08,2.9603935068e+08,5.1453244505e+08,5.1453244505e+08
2020-03-15 06:15:00,2.9043208310e+08,2.9043208310e+08,2.3928161169e+08,2.3928161169e+08
2020-03-15 06:20:00,3.9290211884e+08,3.9290211884e+08,6.7291510976e+08,6.7291510976e+08
2020-03-15 06:25:00,2.9575586043e+08,2.9575586043e+08,2.7412343155e+08,2.7412343155e+08
2020-03-15 06:30:00,3.0122752960e+08,3.0122752960e+08,5.3463993386e+08,5.3463993386e+08
2020-03-15 06:35:00,3.1643829257e+08,3.1643829257e+08,5.0588961143e+08,5.0588961143e+08
2020-03-15 06:40:00,3.6376380726e+08,3.6376380726e+08,3.5209840836e+08,3.5209840836e+08
2020-03-15 06:45:00,3.4535517585e+08,3.4535517585e+08,3.8432934068e+08,3.8432934068e+08
2020-03-15 06:50:00,4.4193885107e+08,4.4193885107e+08,3.9690110487e+08,3.9690110487e+08
2020-03-15 06:55:00,4.1318372329e+08,4.1318372329e+08,5.2492198213e+08,5.2492198213e+08
2020-03-15 07:00:00,3.3494970341e+08,3.3494970341e+08,6.4191490005e+08,6.4191490005e+08
2020-03-15 07:05:00,5.5564885349e+08,5.5564885349e+08,5.6786224159e+08,5.6786224159e+08
2020-03-15 07:10:00,3.5472782589e+08,3.5472782589e+08,5.1192258521e+08,5.1192258521e+08
2020-03-15 07:15:00,3.9128648236e+08,3.9128648236e+08,5.1604224785e+08,5.1604224785e+08
2020-03-15 07:20:00,3.8418436342e+08,3.8418436342e+08,4.5513884000e+08,4.5513884000e+08
2020-03-15 07:25:00,4.4429513734e+08,4.4429513734e+08,5.6862995446e+08,5.6862995446e+08
2020-03-15 07:30:00,5.2635231265e+08,5.2635231265e+08,3.8593725672e+08,3.8593725672e+08
2020-03-15 07:35:00,5.6265655834e+08,5.6265655834e+08,3.2016316211e+08,3.2016316211e+08
2020-03-15 07:40:00,4.9879470255e+08,4.9879470255e+08,4.6121293065e+08,4.6121293065e+08
2020-03-15 07:45:00,5.6014287437e+08,5.6014287437e+08,2.6756047024e+08,2.6756047024e+08
2020-03-15 07:50:00,4.7560016427e+08,4.7560016427e+08,4.1418934786e+08,4.1418934786e+08
2020-03-15 07:55:00,6.0586078735e+08,6.0586078735e+08,2.7352748471e+08,2.7352748471e+08
2020-03-15 08:00:00,6.3006604323e+08,6.3006604323e+08,3.1221921620e+08,3.1221921620e+08
2020-03-15 08:05:00,6.8086757163e+08,6.8086757163e+08,2.6651911676e+08,2.6651911676e+08
2020-03-15 08:10:00,6.0627390194e+08,6.0627390194e+08,3.3787630329e+08,3.3787630329e+08
2020-03-15 08:15:00,5.2032520550e+08,5.2032520550e+08,4.9678132891e+08,4.9678132891e+08
2020-03-15 08:20:00,5.5635108066e+08,5.5635108066e+08,3.8079653130e+08,3.8079653130e+08
2020-03-15 08:25:00,5.6584611546e+08,5.6584611546e+08,3.8577473343e+08,3.8577473343e+08
2020-03-15 08:30:00,5.9242883209e+08,5.9242883209e+08,4.0596206034e+08,4.0596206034e+08
2020-03-15 08:35:00,6.1851094459e+08,6.1851094459e+08,4.0493119182e+08,4.0493119182e+08
2020-03-15 08:40:00,5.8409048670e+08,5.8409048670e+08,4.0896181106e+08,4.0896181106e+08
2020-03-15 08:45:00,5.7527133386e+08,5.7527133386e+08,4.2417854901e+08,4.2417854901e+08
2020-03-15 08:50:00,6.5106717657e+08,6.5106717657e+08,4.9646225103e+08,4.9646225103e+08
2020-03-15 08:55:00,6.4627472327e+08,6.4627472327e+08,4.7430979596e+08,4.7430979596e+08
2020-03-15 09:00:00,6.3030365105e+08,6.3030365105e+08,3.5289969314e+08,3.5289969314e+08
2020-03-15 09:05:00,6.1223408173e+08,6.1223408173e+08,5.3327548927e+08,5.3327548927e+08
2020-03-15 09:10:00,6.3692631789e+08,6.3692631789e+08,3.6784579947e+08,3.6784579947e+08
2020-03-15 09:15:00,6.6463219638e+08,6.6463219638e+08,3.3863464499e+08,3.3863464499e+08
2020-03-15 09:20:00,7.0568049044e+08,7.0568049044e+08,3.7038128015e+08,3.7038128015e+08
2020-03-15 09:25:00,6.7708820465e+08,6.7708820465e+08,4.6162657071e+08,4.6162657071e+08
2020-03-15 09:30:00,6.6357531913e+08,6.6357531913e+08,4.2405665798e+08,4.2405665798e+08
2020-03-15 09:35:00,6.1379108146e+08,6.1379108146e+08,3.0536811820e+08,3.0536811820e+08
2020-03-15 09:40:00,7.5163813574e+08,7.5163813574e+08,4.8066359822e+08,4.8066359822e+08
2020-03-15 09:45:00,6.7978452213e+08,6.7978452213e+08,4.5376970141e+08,4.5376970141e+08
2020-03-15 09:50:00,6.2989145630e+08,6.2989145630e+08,3.9149652910e+08,3.9149652910e+08
2020-03-15 09:55:00,7.0070668108e+08,7.0070668108e+08,4.6427967850e+08,4.6427967850e+08
2020-03-15 10:00:00,6.8983403981e+08,6.8983403981e+08,4.7253302586e+08,4.7253302586e+08
2020-03-15 10:05:00,7.5997550549e+08,7.5997550549e+08,4.0160794413e+08,4.0160794413e+08
2020-03-15 10:10:00,7.9336488348e+08,7.9336488348e+08,4.4902715573e+08,4.4902715573e+08
2020-03-15 10:15:00,8.0944641788e+08,8.0944641788e+08,3.2885483689e+08,3.2885483689e+08
2020-03-15 10:20:00,8.0982399066e+08,8.0982399066e+08,5.3179102691e+08,5.3179102691e+08
2020-03-15 10:25:00,8.1643770716e+08,8.1643770716e+08,4.0925140264e+08,4.0925140264e+08
2020-03-15 10:30:00,7.8598417956e+08,7.8598417956e+08,4.0571385287e+08,4.0571385287e+08
2020-03-15 10:35:00,8.2992792573e+08,8.2992792573e+08,5.3162202441e+08,5.3162202441e+08
2020-03-15 10:40:00,9.1407175822e+08,9.1407175822e+08,4.7451984476e+08,4.7451984476e+08
2020-03-15 10:45:00,9.9978894825e+08,9.9978894825e+08,6.0093780945e+08,6.0093780945e+08
2020-03-15 10:50:00,8.9707545188e+08,8.9707545188e+08,3.9009172968e+08,3.9009172968e+08
2020-03-15 10:55:00,9.0064784609e+08,9.0064784609e+08,4.5832237537e+08,4.5832237537e+08
2020-03-15 11:00:00,8.8882456710e+08,8.8882456710e+08,4.6176994871e+08,4.6176994871e+08
2020-03-15 11:05:00,8.4110891041e+08,8.4110891041e+08,5.7127663734e+08,5.7127663734e+08
2020-03-15 11:10:00,8.6913290593e+08,8.6913290593e+08,5.5669988191e+08,5.5669988191e+08
2020-03-15 11:15:00,8.9609428035e+08,8.9609428035e+08,6.5748060762e+08,6.5748060762e+08
2020-03-15 11:20:00,9.3365616445e+08,9.3365616445e+08,1.3952017518e+09,1.3952017518e+09
2020-03-15 11:25:00,1.0143336175e+09,1.0143336175e+09,1.4448863339e+09,1.4448863339e+09
2020-03-15 11:30:00,1.0489231394e+09,1.0489231394e+09,4.5110663816e+08,4.5110663816e+08
2020-03-15 11:35:00,1.1358558105e+09,1.1358558105e+09,6.3218648546e+08,6.3218648546e+08
2020-03-15 11:40:00,1.1086142138e+09,1.1086142138e+09,6.6296226266e+08,6.6296226266e+08
2020-03-15 11:45:00,9.9851415119e+08,9.9851415119e+08,7.9509649847e+08,7.9509649847e+08
2020-03-15 11:50:00,1.0224634237e+09,1.0224634237e+09,6.3970509840e+08,6.3970509840e+08
2020-03-15 11:55:00,1.0108175598e+09,1.0108175598e+09,6.1149097228e+08,6.1149097228e+08
2020-03-15 12:00:00,1.0357007118e+09,1.0357007118e+09,7.1322543787e+08,7.1322543787e+08
2020-03-15 12:05:00,9.2187704676e+08,9.2187704676e+08,6.2373711600e+08,6.2373711600e+08
2020-03-15 12:10:00,9.7417761410e+08,9.7417761410e+08,5.6517497090e+08,5.6517497090e+08
2020-03-15 12:15:00,1.0383579838e+09,1.0383579838e+09,5.9108011093e+08,5.9108011093e+08
