DATE,NLDE,NLDE_peak,DENL,DENL_peak
2020-03-21 22:05:00,3.4139480234e+10,3.4139480234e+10,3.3336107012e+10,3.3336107012e+10
2020-03-21 22:10:00,3.9815743099e+10,3.9815743099e+10,3.5731116053e+10,3.5731116053e+10
2020-03-21 22:15:00,3.3117953079e+10,3.3117953079e+10,3.1658350261e+10,3.1658350261e+10
2020-03-21 22:20:00,4.0041340193e+10,4.0041340193e+10,3.3800603023e+10,3.3800603023e+10
2020-03-21 22:25:00,4.1557096199e+10,4.1557096199e+10,3.6152292362e+10,3.6152292362e+10
2020-03-21 22:30:00,3.9926292413e+10,3.9926292413e+10,3.3213681720e+10,3.3213681720e+10
2020-03-21 22:35:00,4.2816883690e+10,4.2816883690e+10,3.4148833375e+10,3.4148833375e+10
2020-03-21 22:40:00,4.4154407652e+10,4.4154407652e+10,4.0204337331e+10,4.0204337331e+10
2020-03-21 22:45:00,3.6508715877e+10,3.6508715877e+10,3.3333152015e+10,3.3333152015e+10
2020-03-21 22:50:00,4.8547300682e+10,4.8547300682e+10,4.0897249697e+10,4.0897249697e+10
2020-03-21 22:55:00,6.0372615676e+10,6.0372615676e+10,7.0165995698e+10,7.0165995698e+10
2020-03-21 23:00:00,4.8856932311e+10,4.8856932311e+10,7.3587511057e+10,7.3587511057e+10
2020-03-21 23:05:00,3.9128181336e+10,3.9128181336e+10,6.9564563727e+10,6.9564563727e+10
2020-03-21 23:10:00,4.1104376567e+10,4.1104376567e+10,6.7594429004e+10,6.7594429004e+10
2020-03-21 23:15:00,3.8239339352e+10,3.8239339352e+10,6.4404912822e+10,6.4404912822e+10
2020-03-21 23:20:00,3.8072829775e+10,3.8072829775e+10,4.5634298502e+10,4.5634298502e+10
2020-03-21 23:25:00,3.8923836052e+10,3.8923836052e+10,2.9803127987e+10,2.9803127987e+10
2020-03-21 23:30:00,3.4469871089e+10,3.4469871089e+10,3.1629445810e+10,3.1629445810e+10
