DATE,HUHR,HUHR_peak,HRHU,HRHU_peak
2020-03-21 22:05:00,0,0,0,0
2020-03-21 22:10:00,0,0,0,0
2020-03-21 22:15:00,0,0,0,0
2020-03-21 22:20:00,0,0,0,0
2020-03-21 22:25:00,0,0,0,0
2020-03-21 22:30:00,0,0,0,0
2020-03-21 22:35:00,0,0,0,0
2020-03-21 22:40:00,0,0,0,0
2020-03-21 22:45:00,0,0,0,0
2020-03-21 22:50:00,0,0,0,0
2020-03-21 22:55:00,0,0,0,0
2020-03-21 23:00:00,0,0,0,0
2020-03-21 23:05:00,0,0,0,0
2020-03-21 23:10:00,0,0,0,0
2020-03-21 23:15:00,0,0,0,0
2020-03-21 23:20:00,0,0,0,0
2020-03-21 23:25:00,0,0,0,0
2020-03-21 23:30:00,0,0,0,0
2020-03-21 23:35:00,0,0,0,0
2020-03-21 23:40:00,0,0,0,0
2020-03-21 23:45:00,0,0,0,0
2020-03-21 23:50:00,0,0,0,0
2020-03-21 23:55:00,0,0,0,0
2020-03-22 00:00:00,0,0,0,0
2020-03-22 00:05:00,0,0,0,0
2020-03-22 00:10:00,0,0,0,0
2020-03-22 00:15:00,0,0,0,0
2020-03-22 00:20:00,0,0,0,0
2020-03-22 00:25:00,0,0,0,0
2020-03-22 00:30:00,0,0,0,0
2020-03-22 00:35:00,0,0,0,0
2020-03-22 00:40:00,0,0,0,0
2020-03-22 00:45:00,0,0,0,0
2020-03-22 00:50:00,0,0,0,0
2020-03-22 00:55:00,0,0,0,0
2020-03-22 01:00:00,0,0,0,0
2020-03-22 01:05:00,0,0,0,0
2020-03-22 01:10:00,0,0,0,0
2020-03-22 01:15:00,0,0,0,0
2020-03-22 01:20:00,0,0,0,0
2020-03-22 01:25:00,0,0,0,0
2020-03-22 01:30:00,0,0,0,0
2020-03-22 01:35:00,0,0,0,0
2020-03-22 01:40:00,0,0,0,0
2020-03-22 01:45:00,0,0,0,0
2020-03-22 01:50:00,0,0,0,0
2020-03-22 01:55:00,0,0,0,0
2020-03-22 02:00:00,0,0,0,0
2020-03-22 02:05:00,0,0,0,0
2020-03-22 02:10:00,0,0,0,0
2020-03-22 02:15:00,0,0,0,0
2020-03-22 02:20:00,0,0,0,0
2020-03-22 02:25:00,0,0,0,0
2020-03-22 02:30:00,0,0,0,0
2020-03-22 02:35:00,0,0,0,0
2020-03-22 02:40:00,0,0,0,0
2020-03-22 02:45:00,0,0,0,0
2020-03-22 02:50:00,0,0,0,0
2020-03-22 02:55:00,0,0,0,0
2020-03-22 03:00:00,0,0,0,0
2020-03-22 03:05:00,0,0,0,0
2020-03-22 03:10:00,0,0,0,0
2020-03-22 03:15:00,0,0,0,0
2020-03-22 03:20:00,0,0,0,0
2020-03-22 03:25:00,0,0,0,0
2020-03-22 03:30:00,0,0,0,0
2020-03-22 03:35:00,0,0,0,0
2020-03-22 03:40:00,0,0,0,0
2020-03-22 03:45:00,0,0,0,0
2020-03-22 03:50:00,0,0,0,0
2020-03-22 03:55:00,0,0,0,0
2020-03-22 04:00:00,0,0,0,0
2020-03-22 04:05:00,0,0,0,0
