DATE,CHIT,CHIT_peak,ITCH,CHIT_peak
2020-03-21 22:05:00,1.8887383220e+10,1.8887383220e+10,3.2591047561e+10,3.2591047561e+10
2020-03-21 22:10:00,2.2397208345e+10,2.2397208345e+10,3.3074419212e+10,3.3074419212e+10
2020-03-21 22:15:00,1.8564978863e+10,1.8564978863e+10,3.7451893068e+10,3.7451893068e+10
2020-03-21 22:20:00,1.8205069100e+10,1.8205069100e+10,3.4355065608e+10,3.4355065608e+10
2020-03-21 22:25:00,2.3636414365e+10,2.3636414365e+10,3.7436623998e+10,3.7436623998e+10
2020-03-21 22:30:00,1.8499355117e+10,1.8499355117e+10,3.2537949468e+10,3.2537949468e+10
2020-03-21 22:35:00,1.9267432331e+10,1.9267432331e+10,3.3647428528e+10,3.3647428528e+10
2020-03-21 22:40:00,1.7918105548e+10,1.7918105548e+10,3.2385646693e+10,3.2385646693e+10
2020-03-21 22:45:00,1.4499018843e+10,1.4499018843e+10,2.4920311580e+10,2.4920311580e+10
2020-03-21 22:50:00,1.7869925479e+10,1.7869925479e+10,2.3555360985e+10,2.3555360985e+10
2020-03-21 22:55:00,1.5074152693e+10,1.5074152693e+10,2.9871586902e+10,2.9871586902e+10
2020-03-21 23:00:00,1.4359401647e+10,1.4359401647e+10,2.5689787307e+10,2.5689787307e+10
2020-03-21 23:05:00,1.2085714615e+10,1.2085714615e+10,2.6543125063e+10,2.6543125063e+10
2020-03-21 23:10:00,1.6373558247e+10,1.6373558247e+10,2.6686334707e+10,2.6686334707e+10
2020-03-21 23:15:00,1.6652671544e+10,1.6652671544e+10,2.8725642749e+10,2.8725642749e+10
2020-03-21 23:20:00,1.5295442374e+10,1.5295442374e+10,3.3272235560e+10,3.3272235560e+10
2020-03-21 23:25:00,1.6589272708e+10,1.6589272708e+10,2.7347905904e+10,2.7347905904e+10
2020-03-21 23:30:00,1.6205939696e+10,1.6205939696e+10,2.7211761768e+10,2.7211761768e+10
2020-03-21 23:35:00,1.5945086165e+10,1.5945086165e+10,2.6806720730e+10,2.6806720730e+10
2020-03-21 23:40:00,2.3287161702e+10,2.3287161702e+10,2.8896353378e+10,2.8896353378e+10
