DATE,DEPL,DEPL_peak,PLDE,DEPL_peak
2020-03-14 22:05:00,2.5477884917e+09,2.5477884917e+09,5.1745245811e+09,5.1745245811e+09
2020-03-14 22:10:00,3.1264990792e+09,3.1264990792e+09,5.9694730627e+09,5.9694730627e+09
2020-03-14 22:15:00,3.0298141298e+09,3.0298141298e+09,5.0457418284e+09,5.0457418284e+09
2020-03-14 22:20:00,2.5613166590e+09,2.5613166590e+09,5.0662388152e+09,5.0662388152e+09
2020-03-14 22:25:00,2.0212709394e+09,2.0212709394e+09,4.8403729738e+09,4.8403729738e+09
2020-03-14 22:30:00,2.2980150135e+09,2.2980150135e+09,4.8842989698e+09,4.8842989698e+09
2020-03-14 22:35:00,1.6557365072e+09,1.6557365072e+09,5.0640073686e+09,5.0640073686e+09
2020-03-14 22:40:00,2.0248363558e+09,2.0248363558e+09,5.0086800633e+09,5.0086800633e+09
2020-03-14 22:45:00,1.5393901928e+09,1.5393901928e+09,5.6464813657e+09,5.6464813657e+09
2020-03-14 22:50:00,2.2730517533e+09,2.2730517533e+09,5.3081642980e+09,5.3081642980e+09
2020-03-14 22:55:00,1.3655582527e+09,1.3655582527e+09,5.1422416574e+09,5.1422416574e+09
2020-03-14 23:00:00,1.6343672940e+09,1.6343672940e+09,4.9108471527e+09,4.9108471527e+09
2020-03-14 23:05:00,1.4035027430e+09,1.4035027430e+09,5.2738413005e+09,5.2738413005e+09
2020-03-14 23:10:00,1.8299922317e+09,1.8299922317e+09,5.0836211557e+09,5.0836211557e+09
2020-03-14 23:15:00,1.4646294054e+09,1.4646294054e+09,5.0489004472e+09,5.0489004472e+09
2020-03-14 23:20:00,1.4338514406e+09,1.4338514406e+09,5.0978922563e+09,5.0978922563e+09
2020-03-14 23:25:00,1.2211427212e+09,1.2211427212e+09,4.6974712381e+09,4.6974712381e+09
2020-03-14 23:30:00,1.9120221610e+09,1.9120221610e+09,4.7592206088e+09,4.7592206088e+09
2020-03-14 23:35:00,2.9179307362e+09,2.9179307362e+09,4.9680085231e+09,4.9680085231e+09
2020-03-14 23:40:00,1.3168315656e+09,1.3168315656e+09,5.0978455141e+09,5.0978455141e+09
2020-03-14 23:45:00,1.8708700287e+09,1.8708700287e+09,4.5663439015e+09,4.5663439015e+09
2020-03-14 23:50:00,1.4581077105e+09,1.4581077105e+09,4.6583880867e+09,4.6583880867e+09
2020-03-14 23:55:00,1.4675016659e+09,1.4675016659e+09,3.6734914865e+09,3.6734914865e+09
2020-03-15 00:00:00,1.3558899147e+09,1.3558899147e+09,4.1537255074e+09,4.1537255074e+09
2020-03-15 00:05:00,2.2302299692e+09,2.2302299692e+09,4.0657573034e+09,4.0657573034e+09
2020-03-15 00:10:00,1.4004061734e+09,1.4004061734e+09,3.4556638601e+09,3.4556638601e+09
2020-03-15 00:15:00,2.4153299396e+09,2.4153299396e+09,4.0532913516e+09,4.0532913516e+09
2020-03-15 00:20:00,2.1869507321e+09,2.1869507321e+09,4.1358652187e+09,4.1358652187e+09
2020-03-15 00:25:00,1.5078081530e+09,1.5078081530e+09,3.5182947451e+09,3.5182947451e+09
2020-03-15 00:30:00,1.7855276337e+09,1.7855276337e+09,4.1051976997e+09,4.1051976997e+09
2020-03-15 00:35:00,1.5785834420e+09,1.5785834420e+09,3.4011413572e+09,3.4011413572e+09
2020-03-15 00:40:00,1.7737746378e+09,1.7737746378e+09,3.4413004946e+09,3.4413004946e+09
2020-03-15 00:45:00,1.6731490000e+09,1.6731490000e+09,3.1331697389e+09,3.1331697389e+09
2020-03-15 00:50:00,1.5306284666e+09,1.5306284666e+09,3.3492085839e+09,3.3492085839e+09
2020-03-15 00:55:00,2.1850815194e+09,2.1850815194e+09,3.3244969889e+09,3.3244969889e+09
2020-03-15 01:00:00,1.9302255572e+09,1.9302255572e+09,3.2165758632e+09,3.2165758632e+09
2020-03-15 01:05:00,1.2792483891e+09,1.2792483891e+09,2.5384043434e+09,2.5384043434e+09
2020-03-15 01:10:00,1.3161763068e+09,1.3161763068e+09,2.4062334133e+09,2.4062334133e+09
2020-03-15 01:15:00,1.4817645124e+09,1.4817645124e+09,2.9078395276e+09,2.9078395276e+09
2020-03-15 01:20:00,1.1977264392e+09,1.1977264392e+09,2.7124401502e+09,2.7124401502e+09
2020-03-15 01:25:00,1.2298814619e+09,1.2298814619e+09,2.6309310429e+09,2.6309310429e+09
2020-03-15 01:30:00,1.5486583398e+09,1.5486583398e+09,3.1093781894e+09,3.1093781894e+09
