DATE,DUEE,DUEE_peak,EEDU,DUEE_peak
2020-03-14 22:05:00,6.0157078124e+08,6.0157078124e+08,2.2019101112e+09,2.2019101112e+09
2020-03-14 22:10:00,4.7526739995e+08,4.7526739995e+08,2.3731632660e+09,2.3731632660e+09
2020-03-14 22:15:00,6.6449297902e+08,6.6449297902e+08,2.2040786148e+09,2.2040786148e+09
2020-03-14 22:20:00,5.8527733250e+08,5.8527733250e+08,2.1995766992e+09,2.1995766992e+09
2020-03-14 22:25:00,1.2531957897e+09,1.2531957897e+09,2.0556031854e+09,2.0556031854e+09
2020-03-14 22:30:00,1.2402016855e+09,1.2402016855e+09,1.9346553811e+09,1.9346553811e+09
2020-03-14 22:35:00,1.2704637003e+09,1.2704637003e+09,1.7963421688e+09,1.7963421688e+09
2020-03-14 22:40:00,1.5804630379e+09,1.5804630379e+09,1.7851686615e+09,1.7851686615e+09
2020-03-14 22:45:00,1.0014318536e+09,1.0014318536e+09,1.8600322297e+09,1.8600322297e+09
2020-03-14 22:50:00,6.8193618811e+08,6.8193618811e+08,1.7715312848e+09,1.7715312848e+09
2020-03-14 22:55:00,8.9371167592e+08,8.9371167592e+08,1.7872431432e+09,1.7872431432e+09
2020-03-14 23:00:00,9.0275359851e+08,9.0275359851e+08,1.8135455925e+09,1.8135455925e+09
2020-03-14 23:05:00,9.3122743188e+08,9.3122743188e+08,1.9460483871e+09,1.9460483871e+09
2020-03-14 23:10:00,7.9431986487e+08,7.9431986487e+08,1.8380815830e+09,1.8380815830e+09
2020-03-14 23:15:00,7.1168608395e+08,7.1168608395e+08,1.9045418824e+09,1.9045418824e+09
2020-03-14 23:20:00,8.5545008519e+08,8.5545008519e+08,1.6921477418e+09,1.6921477418e+09
2020-03-14 23:25:00,7.9256105388e+08,7.9256105388e+08,1.9685424286e+09,1.9685424286e+09
2020-03-14 23:30:00,7.7622647235e+08,7.7622647235e+08,1.8128149788e+09,1.8128149788e+09
2020-03-14 23:35:00,1.0622942338e+09,1.0622942338e+09,4.0359245640e+09,4.0359245640e+09
2020-03-14 23:40:00,8.1758360596e+08,8.1758360596e+08,2.0690449880e+09,2.0690449880e+09
2020-03-14 23:45:00,9.3201592644e+08,9.3201592644e+08,1.9096175588e+09,1.9096175588e+09
2020-03-14 23:50:00,1.0064125834e+09,1.0064125834e+09,2.0762362382e+09,2.0762362382e+09
2020-03-14 23:55:00,1.1139973472e+09,1.1139973472e+09,2.0858533962e+09,2.0858533962e+09
2020-03-15 00:00:00,9.8927480231e+08,9.8927480231e+08,5.5033318382e+09,5.5033318382e+09
2020-03-15 00:05:00,1.1886936629e+09,1.1886936629e+09,4.7991306964e+09,4.7991306964e+09
2020-03-15 00:10:00,1.0346264470e+09,1.0346264470e+09,6.6695972974e+09,6.6695972974e+09
2020-03-15 00:15:00,1.2110513396e+09,1.2110513396e+09,8.3997168005e+09,8.3997168005e+09
2020-03-15 00:20:00,1.4716976028e+09,1.4716976028e+09,9.9607790923e+09,9.9607790923e+09
2020-03-15 00:25:00,1.0742375918e+09,1.0742375918e+09,2.3623800859e+09,2.3623800859e+09
2020-03-15 00:30:00,1.1053192977e+09,1.1053192977e+09,1.4143443929e+09,1.4143443929e+09
2020-03-15 00:35:00,9.3622538634e+08,9.3622538634e+08,1.4167740543e+09,1.4167740543e+09
2020-03-15 00:40:00,1.2983703024e+09,1.2983703024e+09,1.4003257832e+09,1.4003257832e+09
2020-03-15 00:45:00,1.1270180027e+09,1.1270180027e+09,1.7470651731e+09,1.7470651731e+09
2020-03-15 00:50:00,7.6568937028e+08,7.6568937028e+08,1.6469478582e+09,1.6469478582e+09
2020-03-15 00:55:00,7.7705050239e+08,7.7705050239e+08,1.6806792728e+09,1.6806792728e+09
2020-03-15 01:00:00,1.0514093433e+09,1.0514093433e+09,1.6225688070e+09,1.6225688070e+09
2020-03-15 01:05:00,8.1121523863e+08,8.1121523863e+08,1.5934735668e+09,1.5934735668e+09
2020-03-15 01:10:00,8.4054118861e+08,8.4054118861e+08,1.4879866906e+09,1.4879866906e+09
2020-03-15 01:15:00,1.1734497432e+09,1.1734497432e+09,1.5138478021e+09,1.5138478021e+09
2020-03-15 01:20:00,8.9677310518e+08,8.9677310518e+08,1.5984848343e+09,1.5984848343e+09
