DATE,LVET,LVET_peak,ETLV,ETLV_peak
2020-03-14 22:05:00,3.3790712921e+07,3.3790712921e+07,1.1330313256e+08,1.1330313256e+08
2020-03-14 22:10:00,2.8967402919e+07,2.8967402919e+07,1.4517319272e+08,1.4517319272e+08
2020-03-14 22:15:00,3.1756372730e+07,3.1756372730e+07,1.3527784066e+08,1.3527784066e+08
2020-03-14 22:20:00,2.8417850807e+07,2.8417850807e+07,9.9217009639e+07,9.9217009639e+07
2020-03-14 22:25:00,1.1009380531e+08,1.1009380531e+08,1.0353386461e+08,1.0353386461e+08
2020-03-14 22:30:00,1.6822657365e+07,1.6822657365e+07,1.1097809641e+08,1.1097809641e+08
2020-03-14 22:35:00,2.2750565311e+07,2.2750565311e+07,1.1250675812e+08,1.1250675812e+08
2020-03-14 22:40:00,1.7231469786e+07,1.7231469786e+07,9.5271396757e+07,9.5271396757e+07
2020-03-14 22:45:00,1.8436086242e+07,1.8436086242e+07,1.1567488734e+08,1.1567488734e+08
2020-03-14 22:50:00,5.0473658224e+07,5.0473658224e+07,8.5649159023e+07,8.5649159023e+07
2020-03-14 22:55:00,7.7424220884e+07,7.7424220884e+07,8.6495900055e+07,8.6495900055e+07
2020-03-14 23:00:00,1.9244616597e+07,1.9244616597e+07,9.4476568568e+07,9.4476568568e+07
2020-03-14 23:05:00,1.7739652103e+07,1.7739652103e+07,8.5628226158e+07,8.5628226158e+07
2020-03-14 23:10:00,1.8025384930e+07,1.8025384930e+07,7.8657163397e+07,7.8657163397e+07
2020-03-14 23:15:00,1.7765735603e+07,1.7765735603e+07,1.2858963217e+08,1.2858963217e+08
2020-03-14 23:20:00,1.1943090529e+07,1.1943090529e+07,1.5553316558e+08,1.5553316558e+08
2020-03-14 23:25:00,1.5374953011e+07,1.5374953011e+07,8.6244743439e+07,8.6244743439e+07
2020-03-14 23:30:00,1.4912839702e+07,1.4912839702e+07,8.3107998398e+07,8.3107998398e+07
2020-03-14 23:35:00,1.4273951431e+08,1.4273951431e+08,8.7549674290e+07,8.7549674290e+07
2020-03-14 23:40:00,6.3556097568e+07,6.3556097568e+07,1.0667067654e+08,1.0667067654e+08
2020-03-14 23:45:00,3.0946472356e+07,3.0946472356e+07,1.8087977400e+08,1.8087977400e+08
2020-03-14 23:50:00,1.4434171806e+07,1.4434171806e+07,2.3860207489e+08,2.3860207489e+08
2020-03-14 23:55:00,1.0024722701e+08,1.0024722701e+08,8.4852940862e+07,8.4852940862e+07
2020-03-15 00:00:00,4.5930887569e+07,4.5930887569e+07,8.2609114274e+07,8.2609114274e+07
2020-03-15 00:05:00,2.2999942429e+07,2.2999942429e+07,8.0078916387e+07,8.0078916387e+07
2020-03-15 00:10:00,9.8015239498e+07,9.8015239498e+07,7.5017184611e+07,7.5017184611e+07
2020-03-15 00:15:00,1.3834295972e+07,1.3834295972e+07,1.0158259183e+08,1.0158259183e+08
2020-03-15 00:20:00,1.3086905679e+07,1.3086905679e+07,9.6819126503e+07,9.6819126503e+07
2020-03-15 00:25:00,1.3527439522e+07,1.3527439522e+07,9.5116357455e+07,9.5116357455e+07
2020-03-15 00:30:00,1.1239051100e+08,1.1239051100e+08,7.6904166297e+07,7.6904166297e+07
2020-03-15 00:35:00,2.7758458557e+07,2.7758458557e+07,8.2375029587e+07,8.2375029587e+07
2020-03-15 00:40:00,2.7936334930e+07,2.7936334930e+07,8.7517506458e+07,8.7517506458e+07
2020-03-15 00:45:00,2.3784401151e+07,2.3784401151e+07,9.4192795942e+07,9.4192795942e+07
2020-03-15 00:50:00,2.7925995909e+07,2.7925995909e+07,6.9465625271e+07,6.9465625271e+07
2020-03-15 00:55:00,3.0731092136e+07,3.0731092136e+07,7.3310115360e+07,7.3310115360e+07
2020-03-15 01:00:00,1.6731562522e+07,1.6731562522e+07,7.0141985337e+07,7.0141985337e+07
2020-03-15 01:05:00,1.4866928283e+07,1.4866928283e+07,6.6046689605e+07,6.6046689605e+07
2020-03-15 01:10:00,1.9224237915e+07,1.9224237915e+07,5.9976523596e+07,5.9976523596e+07
2020-03-15 01:15:00,1.6314969085e+07,1.6314969085e+07,1.0682394183e+08,1.0682394183e+08
2020-03-15 01:20:00,1.6108140463e+07,1.6108140463e+07,7.9199513426e+07,7.9199513426e+07
2020-03-15 01:25:00,2.0688103806e+07,2.0688103806e+07,8.4326439241e+07,8.4326439241e+07
2020-03-15 01:30:00,1.7639533244e+07,1.7639533244e+07,7.6243129504e+07,7.6243129504e+07
2020-03-15 01:35:00,1.0067503205e+08,1.0067503205e+08,7.2238963305e+07,7.2238963305e+07
2020-03-15 01:40:00,1.0215878077e+08,1.0215878077e+08,6.9341360582e+07,6.9341360582e+07
2020-03-15 01:45:00,1.3255075636e+07,1.3255075636e+07,9.7101323781e+07,9.7101323781e+07
2020-03-15 01:50:00,9.3834455002e+07,9.3834455002e+07,6.2034359054e+07,6.2034359054e+07
2020-03-15 01:55:00,1.5177960568e+07,1.5177960568e+07,8.2287259926e+07,8.2287259926e+07
2020-03-15 02:00:00,1.3299333564e+07,1.3299333564e+07,1.2203491715e+08,1.2203491715e+08
2020-03-15 02:05:00,1.8428566005e+07,1.8428566005e+07,5.6542460821e+07,5.6542460821e+07
2020-03-15 02:10:00,1.9313327869e+07,1.9313327869e+07,1.3149198058e+08,1.3149198058e+08
2020-03-15 02:15:00,1.0553475906e+07,1.0553475906e+07,7.8223685236e+07,7.8223685236e+07
2020-03-15 02:20:00,8.6818975202e+06,8.6818975202e+06,6.0996567722e+07,6.0996567722e+07
2020-03-15 02:25:00,1.5189749304e+07,1.5189749304e+07,5.6500543382e+07,5.6500543382e+07
2020-03-15 02:30:00,1.6162119096e+07,1.6162119096e+07,4.8139581489e+07,4.8139581489e+07
2020-03-15 02:35:00,1.6283494084e+07,1.6283494084e+07,4.5859333626e+07,4.5859333626e+07
2020-03-15 02:40:00,1.3792071053e+07,1.3792071053e+07,5.5320419999e+07,5.5320419999e+07
2020-03-15 02:45:00,1.6155912423e+07,1.6155912423e+07,7.0995290091e+07,7.0995290091e+07
2020-03-15 02:50:00,2.1246783146e+07,2.1246783146e+07,5.5303310518e+07,5.5303310518e+07
2020-03-15 02:55:00,2.9176480521e+07,2.9176480521e+07,1.2754739004e+08,1.2754739004e+08
2020-03-15 03:00:00,3.2638000562e+07,3.2638000562e+07,4.9460017006e+07,4.9460017006e+07
2020-03-15 03:05:00,4.6547678730e+07,4.6547678730e+07,5.9103136885e+07,5.9103136885e+07
2020-03-15 03:10:00,4.9085111466e+07,4.9085111466e+07,9.9608455098e+07,9.9608455098e+07
