DATE,IRUI,IRUI_peak,UIIR,IRUI_peak
2020-03-14 22:05:00,2.5644280089e+07,2.5644280089e+07,1.2601879688e+08,1.2601879688e+08
2020-03-14 22:10:00,2.9646468625e+07,2.9646468625e+07,1.2214106865e+08,1.2214106865e+08
2020-03-14 22:15:00,2.4238894168e+07,2.4238894168e+07,1.4053970741e+08,1.4053970741e+08
2020-03-14 22:20:00,2.1204075069e+07,2.1204075069e+07,1.1816669570e+08,1.1816669570e+08
2020-03-14 22:25:00,2.3606381373e+07,2.3606381373e+07,1.3014793763e+08,1.3014793763e+08
2020-03-14 22:30:00,2.1827452628e+07,2.1827452628e+07,1.1230000498e+08,1.1230000498e+08
2020-03-14 22:35:00,1.7262743205e+07,1.7262743205e+07,1.2736905576e+08,1.2736905576e+08
2020-03-14 22:40:00,7.0433883278e+07,7.0433883278e+07,1.3367966409e+08,1.3367966409e+08
2020-03-14 22:45:00,2.1810449275e+07,2.1810449275e+07,1.3852559801e+08,1.3852559801e+08
2020-03-14 22:50:00,2.0994554735e+07,2.0994554735e+07,1.0425169914e+08,1.0425169914e+08
2020-03-14 22:55:00,1.7083562544e+07,1.7083562544e+07,1.1385768692e+08,1.1385768692e+08
2020-03-14 23:00:00,1.8399239602e+07,1.8399239602e+07,1.0758874817e+08,1.0758874817e+08
2020-03-14 23:05:00,1.8924219826e+07,1.8924219826e+07,1.3405032010e+08,1.3405032010e+08
2020-03-14 23:10:00,1.7389327172e+07,1.7389327172e+07,1.1105616339e+08,1.1105616339e+08
2020-03-14 23:15:00,1.2545638093e+07,1.2545638093e+07,1.1336724374e+08,1.1336724374e+08
2020-03-14 23:20:00,9.7655114500e+06,9.7655114500e+06,1.1680595336e+08,1.1680595336e+08
2020-03-14 23:25:00,9.3032870545e+06,9.3032870545e+06,1.1095782202e+08,1.1095782202e+08
2020-03-14 23:30:00,1.0717802139e+07,1.0717802139e+07,1.3039233063e+08,1.3039233063e+08
2020-03-14 23:35:00,1.2298588720e+07,1.2298588720e+07,1.1683550713e+08,1.1683550713e+08
2020-03-14 23:40:00,1.4089780370e+07,1.4089780370e+07,1.3415421656e+08,1.3415421656e+08
2020-03-14 23:45:00,1.2475808079e+07,1.2475808079e+07,1.0408958396e+08,1.0408958396e+08
2020-03-14 23:50:00,1.2416746874e+07,1.2416746874e+07,9.4987470829e+07,9.4987470829e+07
2020-03-14 23:55:00,5.9781983368e+07,5.9781983368e+07,8.2198937728e+07,8.2198937728e+07
2020-03-15 00:00:00,1.6358978572e+07,1.6358978572e+07,1.0493796997e+08,1.0493796997e+08
2020-03-15 00:05:00,1.2312160395e+07,1.2312160395e+07,1.1368967070e+08,1.1368967070e+08
2020-03-15 00:10:00,1.1644384945e+07,1.1644384945e+07,9.4349342529e+07,9.4349342529e+07
2020-03-15 00:15:00,1.5675693915e+07,1.5675693915e+07,9.6181346227e+07,9.6181346227e+07
2020-03-15 00:20:00,1.3192943318e+07,1.3192943318e+07,8.2891845608e+07,8.2891845608e+07
2020-03-15 00:25:00,1.2099672798e+07,1.2099672798e+07,9.0241188340e+07,9.0241188340e+07
2020-03-15 00:30:00,1.0089585118e+07,1.0089585118e+07,7.1163810245e+07,7.1163810245e+07
2020-03-15 00:35:00,9.2406169429e+06,9.2406169429e+06,7.3197073524e+07,7.3197073524e+07
2020-03-15 00:40:00,5.5911597077e+07,5.5911597077e+07,7.0692986584e+07,7.0692986584e+07
2020-03-15 00:45:00,1.4948477745e+07,1.4948477745e+07,6.7188172123e+07,6.7188172123e+07
2020-03-15 00:50:00,1.4148034467e+07,1.4148034467e+07,7.4834664799e+07,7.4834664799e+07
2020-03-15 00:55:00,1.4723157563e+07,1.4723157563e+07,5.9322664171e+07,5.9322664171e+07
2020-03-15 01:00:00,1.3336644885e+07,1.3336644885e+07,5.9720065260e+07,5.9720065260e+07
2020-03-15 01:05:00,7.4638671018e+06,7.4638671018e+06,6.7837992046e+07,6.7837992046e+07
2020-03-15 01:10:00,5.5015751257e+06,5.5015751257e+06,8.7077514023e+07,8.7077514023e+07
2020-03-15 01:15:00,6.6087122402e+06,6.6087122402e+06,9.4493791745e+07,9.4493791745e+07
2020-03-15 01:20:00,1.0506502622e+07,1.0506502622e+07,5.9135657585e+07,5.9135657585e+07
2020-03-15 01:25:00,7.7003080771e+06,7.7003080771e+06,6.4629409165e+07,6.4629409165e+07
2020-03-15 01:30:00,8.7302088994e+06,8.7302088994e+06,6.0819043335e+07,6.0819043335e+07
2020-03-15 01:35:00,7.9401068763e+06,7.9401068763e+06,8.7405270594e+07,8.7405270594e+07
2020-03-15 01:40:00,7.5602414501e+06,7.5602414501e+06,6.6379369804e+07,6.6379369804e+07
2020-03-15 01:45:00,6.1396777209e+07,6.1396777209e+07,6.1966682628e+07,6.1966682628e+07
2020-03-15 01:50:00,9.3260436507e+06,9.3260436507e+06,6.1724361938e+07,6.1724361938e+07
2020-03-15 01:55:00,5.3839962600e+07,5.3839962600e+07,6.6380976246e+07,6.6380976246e+07
2020-03-15 02:00:00,2.0516378001e+07,2.0516378001e+07,7.3898401123e+07,7.3898401123e+07
2020-03-15 02:05:00,1.7079096738e+07,1.7079096738e+07,5.8032991687e+07,5.8032991687e+07
2020-03-15 02:10:00,1.6511116637e+07,1.6511116637e+07,5.5043753343e+07,5.5043753343e+07
2020-03-15 02:15:00,1.1848958268e+07,1.1848958268e+07,5.6198196155e+07,5.6198196155e+07
2020-03-15 02:20:00,7.7309881541e+06,7.7309881541e+06,6.8178139263e+07,6.8178139263e+07
2020-03-15 02:25:00,8.4445830047e+06,8.4445830047e+06,6.7666440881e+07,6.7666440881e+07
2020-03-15 02:30:00,8.1556950576e+06,8.1556950576e+06,7.0909199943e+07,7.0909199943e+07
2020-03-15 02:35:00,7.8669398267e+06,7.8669398267e+06,7.3208999640e+07,7.3208999640e+07
2020-03-15 02:40:00,6.2491860373e+06,6.2491860373e+06,8.1174871222e+07,8.1174871222e+07
2020-03-15 02:45:00,4.7992516678e+06,4.7992516678e+06,6.8044479818e+07,6.8044479818e+07
2020-03-15 02:50:00,5.4969231901e+06,5.4969231901e+06,7.6134899834e+07,7.6134899834e+07
2020-03-15 02:55:00,6.3633616071e+06,6.3633616071e+06,8.2199982630e+07,8.2199982630e+07
2020-03-15 03:00:00,5.7300705456e+06,5.7300705456e+06,6.9329429276e+07,6.9329429276e+07
2020-03-15 03:05:00,7.1362475334e+06,7.1362475334e+06,6.8136418033e+07,6.8136418033e+07
2020-03-15 03:10:00,4.4956528320e+06,4.4956528320e+06,5.7455906112e+07,5.7455906112e+07
2020-03-15 03:15:00,7.1338696537e+06,7.1338696537e+06,4.8800271787e+07,4.8800271787e+07
2020-03-15 03:20:00,8.4107772434e+06,8.4107772434e+06,4.6040571655e+07,4.6040571655e+07
2020-03-15 03:25:00,6.8171728997e+06,6.8171728997e+06,5.2644821146e+07,5.2644821146e+07
2020-03-15 03:30:00,5.2071975859e+07,5.2071975859e+07,6.0156910237e+07,6.0156910237e+07
2020-03-15 03:35:00,8.7991780492e+06,8.7991780492e+06,6.0797711126e+07,6.0797711126e+07
2020-03-15 03:40:00,5.4753347645e+06,5.4753347645e+06,5.2930278911e+07,5.2930278911e+07
2020-03-15 03:45:00,5.7314094700e+06,5.7314094700e+06,5.1896768672e+07,5.1896768672e+07
2020-03-15 03:50:00,6.0702582613e+06,6.0702582613e+06,5.5284325948e+07,5.5284325948e+07
2020-03-15 03:55:00,6.2043635463e+06,6.2043635463e+06,6.7228543268e+07,6.7228543268e+07
2020-03-15 04:00:00,9.1847108273e+06,9.1847108273e+06,7.7450895291e+07,7.7450895291e+07
2020-03-15 04:05:00,1.0996323791e+07,1.0996323791e+07,1.1626140111e+08,1.1626140111e+08
2020-03-15 04:10:00,1.0631354849e+07,1.0631354849e+07,6.4793286091e+07,6.4793286091e+07
2020-03-15 04:15:00,8.9008339479e+06,8.9008339479e+06,5.0391335412e+07,5.0391335412e+07
2020-03-15 04:20:00,1.0025227585e+07,1.0025227585e+07,7.0802639299e+07,7.0802639299e+07
2020-03-15 04:25:00,1.1188305409e+07,1.1188305409e+07,5.6492487730e+07,5.6492487730e+07
2020-03-15 04:30:00,1.1233341421e+07,1.1233341421e+07,7.4548455102e+07,7.4548455102e+07
2020-03-15 04:35:00,9.9234097767e+06,9.9234097767e+06,5.4928528923e+07,5.4928528923e+07
2020-03-15 04:40:00,4.6792059843e+07,4.6792059843e+07,5.8354327847e+07,5.8354327847e+07
2020-03-15 04:45:00,1.7981020192e+08,1.7981020192e+08,5.1963909435e+07,5.1963909435e+07
2020-03-15 04:50:00,7.5208159391e+08,7.5208159391e+08,7.5416174831e+07,7.5416174831e+07
2020-03-15 04:55:00,5.5092063588e+08,5.5092063588e+08,5.4313852543e+07,5.4313852543e+07
2020-03-15 05:00:00,9.8696816154e+08,9.8696816154e+08,6.4639208704e+07,6.4639208704e+07
2020-03-15 05:05:00,7.2217058282e+08,7.2217058282e+08,1.0042378476e+08,1.0042378476e+08
2020-03-15 05:10:00,7.4160631860e+08,7.4160631860e+08,7.5586964769e+07,7.5586964769e+07
2020-03-15 05:15:00,7.9950345388e+08,7.9950345388e+08,5.8136964336e+07,5.8136964336e+07
2020-03-15 05:20:00,1.0070115221e+09,1.0070115221e+09,6.5523449031e+07,6.5523449031e+07
2020-03-15 05:25:00,8.4994672865e+08,8.4994672865e+08,6.4550778204e+07,6.4550778204e+07
2020-03-15 05:30:00,9.6511677226e+08,9.6511677226e+08,7.0576789030e+07,7.0576789030e+07
2020-03-15 05:35:00,9.7614964594e+08,9.7614964594e+08,7.3360233764e+07,7.3360233764e+07
2020-03-15 05:40:00,1.0761072287e+09,1.0761072287e+09,6.1075375174e+07,6.1075375174e+07
2020-03-15 05:45:00,8.6330618241e+08,8.6330618241e+08,7.2700725388e+07,7.2700725388e+07
2020-03-15 05:50:00,7.1752242577e+08,7.1752242577e+08,6.6777434193e+07,6.6777434193e+07
2020-03-15 05:55:00,8.0282292148e+08,8.0282292148e+08,7.4819670106e+07,7.4819670106e+07
2020-03-15 06:00:00,7.7447746872e+08,7.7447746872e+08,7.3286763522e+07,7.3286763522e+07
2020-03-15 06:05:00,6.6020825466e+08,6.6020825466e+08,9.1630079220e+07,9.1630079220e+07
2020-03-15 06:10:00,5.1540381443e+07,5.1540381443e+07,7.6227161002e+07,7.6227161002e+07
2020-03-15 06:15:00,9.0881563526e+06,9.0881563526e+06,6.7793071301e+07,6.7793071301e+07
2020-03-15 06:20:00,6.9841754283e+06,6.9841754283e+06,7.9864312148e+07,7.9864312148e+07
2020-03-15 06:25:00,8.9199668111e+06,8.9199668111e+06,7.9058894813e+07,7.9058894813e+07
2020-03-15 06:30:00,9.7030571237e+06,9.7030571237e+06,5.7011577785e+07,5.7011577785e+07
2020-03-15 06:35:00,1.0102367324e+07,1.0102367324e+07,7.8313086855e+07,7.8313086855e+07
2020-03-15 06:40:00,5.0781463013e+07,5.0781463013e+07,6.9190115878e+07,6.9190115878e+07
2020-03-15 06:45:00,1.2417698348e+07,1.2417698348e+07,6.5489736297e+07,6.5489736297e+07
2020-03-15 06:50:00,8.8538950027e+06,8.8538950027e+06,6.5058534087e+07,6.5058534087e+07
2020-03-15 06:55:00,6.3074155448e+06,6.3074155448e+06,7.4687592777e+07,7.4687592777e+07
2020-03-15 07:00:00,9.6509420388e+06,9.6509420388e+06,6.6107616793e+07,6.6107616793e+07
2020-03-15 07:05:00,9.7676873656e+06,9.7676873656e+06,9.3267876535e+07,9.3267876535e+07
2020-03-15 07:10:00,1.1282485852e+07,1.1282485852e+07,9.6576254947e+07,9.6576254947e+07
2020-03-15 07:15:00,1.5260799428e+07,1.5260799428e+07,8.5437960174e+07,8.5437960174e+07
2020-03-15 07:20:00,1.1502617632e+07,1.1502617632e+07,7.9875937081e+07,7.9875937081e+07
2020-03-15 07:25:00,1.4257482469e+07,1.4257482469e+07,8.9979656457e+07,8.9979656457e+07
2020-03-15 07:30:00,1.5092300315e+07,1.5092300315e+07,8.1695818738e+07,8.1695818738e+07
2020-03-15 07:35:00,1.1601779545e+07,1.1601779545e+07,9.3857502082e+07,9.3857502082e+07
2020-03-15 07:40:00,1.1738385658e+07,1.1738385658e+07,9.5388135201e+07,9.5388135201e+07
2020-03-15 07:45:00,1.1705731231e+07,1.1705731231e+07,7.7862240325e+07,7.7862240325e+07
2020-03-15 07:50:00,1.2320998191e+07,1.2320998191e+07,9.4292888728e+07,9.4292888728e+07
2020-03-15 07:55:00,6.4033166702e+07,6.4033166702e+07,9.0262059311e+07,9.0262059311e+07
2020-03-15 08:00:00,1.5731010564e+07,1.5731010564e+07,8.1860165344e+07,8.1860165344e+07
2020-03-15 08:05:00,1.4266084518e+07,1.4266084518e+07,9.1964393747e+07,9.1964393747e+07
2020-03-15 08:10:00,1.5493801645e+07,1.5493801645e+07,9.7636813626e+07,9.7636813626e+07
2020-03-15 08:15:00,1.5353285729e+07,1.5353285729e+07,1.0135331392e+08,1.0135331392e+08
2020-03-15 08:20:00,5.7185925103e+07,5.7185925103e+07,9.0920027561e+07,9.0920027561e+07
2020-03-15 08:25:00,1.6535893068e+07,1.6535893068e+07,8.3877341645e+07,8.3877341645e+07
2020-03-15 08:30:00,1.2567477099e+07,1.2567477099e+07,8.3885179950e+07,8.3885179950e+07
