DATE,ESFR,ESFR_peak,FRES,ESFR_peak
2020-03-14 22:05:00,1.3783283752e+09,1.3783283752e+09,3.3670052560e+08,3.3670052560e+08
2020-03-14 22:10:00,1.3604836939e+09,1.3604836939e+09,2.3244672748e+08,2.3244672748e+08
2020-03-14 22:15:00,5.7060469072e+09,5.7060469072e+09,4.3498051128e+08,4.3498051128e+08
2020-03-14 22:20:00,6.6419689289e+09,6.6419689289e+09,2.3030324497e+08,2.3030324497e+08
2020-03-14 22:25:00,6.0909103187e+09,6.0909103187e+09,3.3127066713e+09,3.3127066713e+09
2020-03-14 22:30:00,6.7089798200e+09,6.7089798200e+09,5.4465464768e+09,5.4465464768e+09
2020-03-14 22:35:00,7.2118136757e+09,7.2118136757e+09,6.3584056395e+08,6.3584056395e+08
2020-03-14 22:40:00,7.8619363152e+09,7.8619363152e+09,1.7214640254e+09,1.7214640254e+09
2020-03-14 22:45:00,7.4936930520e+09,7.4936930520e+09,6.2885030091e+09,6.2885030091e+09
2020-03-14 22:50:00,8.9186853813e+09,8.9186853813e+09,4.7951098507e+08,4.7951098507e+08
2020-03-14 22:55:00,9.2146560067e+09,9.2146560067e+09,3.5436717550e+08,3.5436717550e+08
2020-03-14 23:00:00,8.1812604320e+09,8.1812604320e+09,2.6671136275e+08,2.6671136275e+08
2020-03-14 23:05:00,8.7019372232e+09,8.7019372232e+09,2.6228710850e+08,2.6228710850e+08
2020-03-14 23:10:00,8.2651905503e+09,8.2651905503e+09,3.3217012524e+08,3.3217012524e+08
2020-03-14 23:15:00,4.9360565558e+09,4.9360565558e+09,3.6060082125e+09,3.6060082125e+09
2020-03-14 23:20:00,1.4427960327e+09,1.4427960327e+09,7.6894971136e+09,7.6894971136e+09
2020-03-14 23:25:00,8.5083696822e+08,8.5083696822e+08,8.6760374409e+08,8.6760374409e+08
2020-03-14 23:30:00,1.2575336242e+09,1.2575336242e+09,1.6624132222e+08,1.6624132222e+08
2020-03-14 23:35:00,1.1933498233e+09,1.1933498233e+09,7.5607991397e+08,7.5607991397e+08
2020-03-14 23:40:00,8.9076448066e+08,8.9076448066e+08,7.1120426792e+08,7.1120426792e+08
2020-03-14 23:45:00,1.0332331005e+09,1.0332331005e+09,3.6735660571e+09,3.6735660571e+09
2020-03-14 23:50:00,6.8151357772e+08,6.8151357772e+08,4.1086670972e+09,4.1086670972e+09
2020-03-14 23:55:00,1.0601589293e+09,1.0601589293e+09,5.7893920546e+08,5.7893920546e+08
2020-03-15 00:00:00,1.1510422252e+09,1.1510422252e+09,7.1836752572e+08,7.1836752572e+08
2020-03-15 00:05:00,1.1702981588e+09,1.1702981588e+09,4.0182483913e+09,4.0182483913e+09
2020-03-15 00:10:00,2.3314688999e+09,2.3314688999e+09,2.1871726439e+08,2.1871726439e+08
2020-03-15 00:15:00,2.2238499461e+09,2.2238499461e+09,4.1940758695e+08,4.1940758695e+08
2020-03-15 00:20:00,1.7306041836e+09,1.7306041836e+09,2.6937462856e+08,2.6937462856e+08
2020-03-15 00:25:00,1.6783818472e+09,1.6783818472e+09,3.8325214967e+08,3.8325214967e+08
2020-03-15 00:30:00,2.6376713096e+09,2.6376713096e+09,3.1740654836e+08,3.1740654836e+08
2020-03-15 00:35:00,2.3381944157e+09,2.3381944157e+09,5.7812614783e+09,5.7812614783e+09
2020-03-15 00:40:00,2.3662639330e+09,2.3662639330e+09,6.8745135238e+08,6.8745135238e+08
2020-03-15 00:45:00,1.9851873848e+09,1.9851873848e+09,8.8905421009e+07,8.8905421009e+07
2020-03-15 00:50:00,2.2619195926e+09,2.2619195926e+09,1.5187278780e+09,1.5187278780e+09
2020-03-15 00:55:00,2.4939694318e+09,2.4939694318e+09,9.7841644961e+08,9.7841644961e+08
2020-03-15 01:00:00,2.2661200455e+09,2.2661200455e+09,4.0104343242e+08,4.0104343242e+08
2020-03-15 01:05:00,2.0682506510e+09,2.0682506510e+09,4.0830810267e+09,4.0830810267e+09
2020-03-15 01:10:00,1.7908014304e+09,1.7908014304e+09,2.4418693328e+09,2.4418693328e+09
2020-03-15 01:15:00,2.1968150381e+09,2.1968150381e+09,1.1052180301e+08,1.1052180301e+08
2020-03-15 01:20:00,2.3734712654e+09,2.3734712654e+09,8.1431724999e+07,8.1431724999e+07
2020-03-15 01:25:00,2.9803559954e+09,2.9803559954e+09,2.2431669942e+08,2.2431669942e+08
