"Title:","mx2.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | lis-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-21 22:05:00"
"End Date:","2020-03-23 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47865"
"Host ID:","163"
"Nth Percentile:","3153274694.72","|95:bits:0:current:2|"
"Nth Percentile:","1401076910.88","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-22 02:15:00","2.1401395979e+09","2.1401395979e+09","9.5828526013e+08","9.5828526013e+08"
"2020-03-22 02:20:00","2.1138133832e+09","2.1138133832e+09","9.3798031992e+08","9.3798031992e+08"
"2020-03-22 02:25:00","1.9688935525e+09","1.9688935525e+09","1.0809372612e+09","1.0809372612e+09"
"2020-03-22 02:30:00","2.2199786392e+09","2.2199786392e+09","9.1782088653e+08","9.1782088653e+08"
"2020-03-22 02:35:00","2.0417323785e+09","2.0417323785e+09","9.7752506191e+08","9.7752506191e+08"
"2020-03-22 02:40:00","2.4374046005e+09","2.4374046005e+09","8.9578036568e+08","8.9578036568e+08"
"2020-03-22 02:45:00","1.8927959168e+09","1.8927959168e+09","9.7265635242e+08","9.7265635242e+08"
"2020-03-22 02:50:00","1.9580587841e+09","1.9580587841e+09","9.6551382437e+08","9.6551382437e+08"
"2020-03-22 02:55:00","2.3944482191e+09","2.3944482191e+09","1.0664144040e+09","1.0664144040e+09"
"2020-03-22 03:00:00","2.4471251446e+09","2.4471251446e+09","1.3510282169e+09","1.3510282169e+09"
"2020-03-22 03:05:00","1.9186571418e+09","1.9186571418e+09","9.5290094327e+08","9.5290094327e+08"
"2020-03-22 03:10:00","4.7230687335e+09","4.7230687335e+09","1.1626570417e+09","1.1626570417e+09"
"2020-03-22 03:15:00","2.2813916473e+09","2.2813916473e+09","1.1415315612e+09","1.1415315612e+09"
"2020-03-22 03:20:00","2.2768403731e+09","2.2768403731e+09","1.3416016421e+09","1.3416016421e+09"
"2020-03-22 03:25:00","1.9534171973e+09","1.9534171973e+09","9.7829919055e+08","9.7829919055e+08"
"2020-03-22 03:30:00","1.6640608595e+09","1.6640608595e+09","1.1528566585e+09","1.1528566585e+09"
"2020-03-22 03:35:00","1.5784878191e+09","1.5784878191e+09","1.2529404562e+09","1.2529404562e+09"
"2020-03-22 03:40:00","1.6393989533e+09","1.6393989533e+09","1.2481506541e+09","1.2481506541e+09"
"2020-03-22 03:45:00","1.5980238191e+09","1.5980238191e+09","9.4937171909e+08","9.4937171909e+08"
"2020-03-22 03:50:00","1.5635756612e+09","1.5635756612e+09","1.1559010116e+09","1.1559010116e+09"
"2020-03-22 03:55:00","2.1721683210e+09","2.1721683210e+09","1.0334865742e+09","1.0334865742e+09"
"2020-03-22 04:00:00","2.7167102144e+09","2.7167102144e+09","8.9079164810e+08","8.9079164810e+08"
"2020-03-22 04:05:00","2.6307335554e+09","2.6307335554e+09","9.7414853518e+08","9.7414853518e+08"
"2020-03-22 04:10:00","2.4164489711e+09","2.4164489711e+09","8.4848268625e+08","8.4848268625e+08"
"2020-03-22 04:15:00","2.2325888799e+09","2.2325888799e+09","9.9148175692e+08","9.9148175692e+08"
"2020-03-22 04:20:00","1.7522775422e+09","1.7522775422e+09","9.7453548707e+08","9.7453548707e+08"
"2020-03-22 04:25:00","1.8862352996e+09","1.8862352996e+09","1.0309051327e+09","1.0309051327e+09"
"2020-03-22 04:30:00","1.9308767024e+09","1.9308767024e+09","1.1334214313e+09","1.1334214313e+09"
"2020-03-22 04:35:00","1.8558273649e+09","1.8558273649e+09","9.5015655588e+08","9.5015655588e+08"
"2020-03-22 04:40:00","1.6300906455e+09","1.6300906455e+09","7.0025302177e+08","7.0025302177e+08"
"2020-03-22 04:45:00","1.6382228614e+09","1.6382228614e+09","7.1044384998e+08","7.1044384998e+08"
"2020-03-22 04:50:00","1.5457893182e+09","1.5457893182e+09","7.2623756046e+08","7.2623756046e+08"
"2020-03-22 04:55:00","1.5839326888e+09","1.5839326888e+09","8.1298675435e+08","8.1298675435e+08"
"2020-03-22 05:00:00","1.5042478245e+09","1.5042478245e+09","7.9337858737e+08","7.9337858737e+08"
"2020-03-22 05:05:00","1.4477045777e+09","1.4477045777e+09","6.5461279713e+08","6.5461279713e+08"
"2020-03-22 05:10:00","1.3318693462e+09","1.3318693462e+09","5.9050672330e+08","5.9050672330e+08"
"2020-03-22 05:15:00","1.3029633683e+09","1.3029633683e+09","9.4497880949e+08","9.4497880949e+08"
"2020-03-22 05:20:00","1.1598965688e+09","1.1598965688e+09","9.6491004863e+08","9.6491004863e+08"
"2020-03-22 05:25:00","1.1185492268e+09","1.1185492268e+09","8.7497388361e+08","8.7497388361e+08"
"2020-03-22 05:30:00","1.6328892956e+09","1.6328892956e+09","9.3587337929e+08","9.3587337929e+08"
"2020-03-22 05:35:00","1.6221915649e+09","1.6221915649e+09","8.5167809557e+08","8.5167809557e+08"
"2020-03-22 05:40:00","1.3811125199e+09","1.3811125199e+09","7.6709178341e+08","7.6709178341e+08"
"2020-03-22 05:45:00","1.5928241638e+09","1.5928241638e+09","7.7555725143e+08","7.7555725143e+08"
"2020-03-22 05:50:00","1.4288139306e+09","1.4288139306e+09","8.6362514161e+08","8.6362514161e+08"
"2020-03-22 05:55:00","1.8640969511e+09","1.8640969511e+09","5.0947076632e+08","5.0947076632e+08"
"2020-03-22 06:00:00","1.4142400000e+09","1.4142400000e+09","6.6715845983e+08","6.6715845983e+08"
"2020-03-22 06:05:00","1.1991914596e+09","1.1991914596e+09","1.0566744548e+09","1.0566744548e+09"
"2020-03-22 06:10:00","1.3705532063e+09","1.3705532063e+09","9.4483166508e+08","9.4483166508e+08"
"2020-03-22 06:15:00","1.4607769540e+09","1.4607769540e+09","1.0008532918e+09","1.0008532918e+09"
"2020-03-22 06:20:00","9.5634628300e+08","9.5634628300e+08","1.1104726967e+09","1.1104726967e+09"
"2020-03-22 06:25:00","1.0458206228e+09","1.0458206228e+09","1.0164387121e+09","1.0164387121e+09"
"2020-03-22 06:30:00","1.0621202106e+09","1.0621202106e+09","8.6766177858e+08","8.6766177858e+08"
"2020-03-22 06:35:00","9.4053711268e+08","9.4053711268e+08","8.6318830314e+08","8.6318830314e+08"
"2020-03-22 06:40:00","1.4193469567e+09","1.4193469567e+09","9.0397915599e+08","9.0397915599e+08"
"2020-03-22 06:45:00","1.0116311703e+09","1.0116311703e+09","9.5342797195e+08","9.5342797195e+08"
"2020-03-22 06:50:00","6.9707206074e+08","6.9707206074e+08","9.3896979834e+08","9.3896979834e+08"
"2020-03-22 06:55:00","6.9943931356e+08","6.9943931356e+08","7.7555911840e+08","7.7555911840e+08"
"2020-03-22 07:00:00","8.8911375975e+08","8.8911375975e+08","4.7553351427e+08","4.7553351427e+08"
"2020-03-22 07:05:00","8.7133976363e+08","8.7133976363e+08","5.5864561173e+08","5.5864561173e+08"
"2020-03-22 07:10:00","7.7677459729e+08","7.7677459729e+08","5.5897509154e+08","5.5897509154e+08"
"2020-03-22 07:15:00","7.3471181860e+08","7.3471181860e+08","8.6416821563e+08","8.6416821563e+08"
"2020-03-22 07:20:00","8.1739886437e+08","8.1739886437e+08","1.0499499874e+09","1.0499499874e+09"
"2020-03-22 07:25:00","7.6602458585e+08","7.6602458585e+08","1.1647262155e+09","1.1647262155e+09"
"2020-03-22 07:30:00","1.1365704548e+09","1.1365704548e+09","1.3442780749e+09","1.3442780749e+09"
"2020-03-22 07:35:00","9.8029698240e+08","9.8029698240e+08","1.1037498317e+09","1.1037498317e+09"
"2020-03-22 07:40:00","1.3776799103e+09","1.3776799103e+09","1.2875215126e+09","1.2875215126e+09"
"2020-03-22 07:45:00","1.0805893351e+09","1.0805893351e+09","1.1000426965e+09","1.1000426965e+09"
"2020-03-22 07:50:00","1.2023972195e+09","1.2023972195e+09","1.1311445282e+09","1.1311445282e+09"
"2020-03-22 07:55:00","8.8647280608e+08","8.8647280608e+08","1.1445681153e+09","1.1445681153e+09"
"2020-03-22 08:00:00","7.9347513706e+08","7.9347513706e+08","8.8916134842e+08","8.8916134842e+08"
"2020-03-22 08:05:00","6.3837455823e+08","6.3837455823e+08","7.6831206103e+08","7.6831206103e+08"
"2020-03-22 08:10:00","7.9134135384e+08","7.9134135384e+08","7.5094554957e+08","7.5094554957e+08"
"2020-03-22 08:15:00","9.2271785488e+08","9.2271785488e+08","6.3051672711e+08","6.3051672711e+08"
"2020-03-22 08:20:00","1.1869924795e+09","1.1869924795e+09","8.4605017710e+08","8.4605017710e+08"
"2020-03-22 08:25:00","8.3745682366e+08","8.3745682366e+08","8.0924223447e+08","8.0924223447e+08"
"2020-03-22 08:30:00","8.5813527995e+08","8.5813527995e+08","1.1652117268e+09","1.1652117268e+09"
"2020-03-22 08:35:00","8.4115050120e+08","8.4115050120e+08","1.1771937015e+09","1.1771937015e+09"
"2020-03-22 08:40:00","1.2543643299e+09","1.2543643299e+09","1.2065600649e+09","1.2065600649e+09"
"2020-03-22 08:45:00","1.2215493163e+09","1.2215493163e+09","1.1447662097e+09","1.1447662097e+09"
"2020-03-22 08:50:00","1.2636605324e+09","1.2636605324e+09","1.0942796547e+09","1.0942796547e+09"
"2020-03-22 08:55:00","9.5808943919e+08","9.5808943919e+08","1.0855662245e+09","1.0855662245e+09"
"2020-03-22 09:00:00","1.0326903229e+09","1.0326903229e+09","1.0084861326e+09","1.0084861326e+09"
"2020-03-22 09:05:00","1.3085696736e+09","1.3085696736e+09","1.1341622687e+09","1.1341622687e+09"
"2020-03-22 09:10:00","7.5672731818e+08","7.5672731818e+08","6.9885463447e+08","6.9885463447e+08"
"2020-03-22 09:15:00","8.1953368266e+08","8.1953368266e+08","7.1990481427e+08","7.1990481427e+08"
"2020-03-22 09:20:00","7.2432135410e+08","7.2432135410e+08","6.8502657720e+08","6.8502657720e+08"
"2020-03-22 09:25:00","5.9579957668e+08","5.9579957668e+08","6.6684925905e+08","6.6684925905e+08"
"2020-03-22 09:30:00","1.0531625496e+09","1.0531625496e+09","1.3166414503e+09","1.3166414503e+09"
"2020-03-22 09:35:00","9.9868973656e+08","9.9868973656e+08","1.8291804927e+09","1.8291804927e+09"
"2020-03-22 09:40:00","7.4831861451e+08","7.4831861451e+08","1.6554141255e+09","1.6554141255e+09"
"2020-03-22 09:45:00","8.2973273468e+08","8.2973273468e+08","1.3719272925e+09","1.3719272925e+09"
"2020-03-22 09:50:00","6.1543929947e+08","6.1543929947e+08","1.3119118657e+09","1.3119118657e+09"
"2020-03-22 09:55:00","7.8890265143e+08","7.8890265143e+08","1.2869756008e+09","1.2869756008e+09"
"2020-03-22 10:00:00","9.0220116336e+08","9.0220116336e+08","1.0760034065e+09","1.0760034065e+09"
"2020-03-22 10:05:00","7.3401685417e+08","7.3401685417e+08","6.7819179922e+08","6.7819179922e+08"
"2020-03-22 10:10:00","1.0016328153e+09","1.0016328153e+09","1.0351572387e+09","1.0351572387e+09"
"2020-03-22 10:15:00","1.0789686187e+09","1.0789686187e+09","7.7822188581e+08","7.7822188581e+08"
"2020-03-22 10:20:00","9.2237616507e+08","9.2237616507e+08","6.8882103976e+08","6.8882103976e+08"
"2020-03-22 10:25:00","1.1751234801e+09","1.1751234801e+09","1.0701546716e+09","1.0701546716e+09"
"2020-03-22 10:30:00","1.1276751952e+09","1.1276751952e+09","1.2876762258e+09","1.2876762258e+09"
"2020-03-22 10:35:00","1.4356535609e+09","1.4356535609e+09","8.0024087006e+08","8.0024087006e+08"
"2020-03-22 10:40:00","1.4166304844e+09","1.4166304844e+09","8.8370183153e+08","8.8370183153e+08"
"2020-03-22 10:45:00","1.5469934564e+09","1.5469934564e+09","9.9264534107e+08","9.9264534107e+08"
"2020-03-22 10:50:00","1.3750266518e+09","1.3750266518e+09","9.1832903910e+08","9.1832903910e+08"
"2020-03-22 10:55:00","1.8793981474e+09","1.8793981474e+09","1.2782896294e+09","1.2782896294e+09"
"2020-03-22 11:00:00","1.3866601627e+09","1.3866601627e+09","1.3028665166e+09","1.3028665166e+09"
"2020-03-22 11:05:00","1.7766539601e+09","1.7766539601e+09","1.4079097225e+09","1.4079097225e+09"
"2020-03-22 11:10:00","2.0914874273e+09","2.0914874273e+09","1.4608400970e+09","1.4608400970e+09"
"2020-03-22 11:15:00","1.9665378355e+09","1.9665378355e+09","8.3013036840e+08","8.3013036840e+08"
"2020-03-22 11:20:00","2.3687272352e+09","2.3687272352e+09","9.5448983960e+08","9.5448983960e+08"
"2020-03-22 11:25:00","1.7024647920e+09","1.7024647920e+09","1.1887038167e+09","1.1887038167e+09"
"2020-03-22 11:30:00","1.6850961941e+09","1.6850961941e+09","1.3052507633e+09","1.3052507633e+09"
"2020-03-22 11:35:00","1.6421186179e+09","1.6421186179e+09","1.4675404048e+09","1.4675404048e+09"
"2020-03-22 11:40:00","1.7500649603e+09","1.7500649603e+09","1.3320171718e+09","1.3320171718e+09"
"2020-03-22 11:45:00","1.7790119038e+09","1.7790119038e+09","1.0225514982e+09","1.0225514982e+09"
"2020-03-22 11:50:00","2.2458359385e+09","2.2458359385e+09","1.1056380457e+09","1.1056380457e+09"
"2020-03-22 11:55:00","2.2344319480e+09","2.2344319480e+09","1.4218065254e+09","1.4218065254e+09"
"2020-03-22 12:00:00","2.1663311961e+09","2.1663311961e+09","1.2214819118e+09","1.2214819118e+09"
"2020-03-22 12:05:00","2.1968225916e+09","2.1968225916e+09","1.3110662232e+09","1.3110662232e+09"
"2020-03-22 12:10:00","2.1888505574e+09","2.1888505574e+09","1.2554375273e+09","1.2554375273e+09"
"2020-03-22 12:15:00","2.3031653076e+09","2.3031653076e+09","1.1315637402e+09","1.1315637402e+09"
"2020-03-22 12:20:00","2.3968737543e+09","2.3968737543e+09","1.1752711527e+09","1.1752711527e+09"
"2020-03-22 12:25:00","2.7424418580e+09","2.7424418580e+09","1.1088246372e+09","1.1088246372e+09"
"2020-03-22 12:30:00","2.6586527706e+09","2.6586527706e+09","1.0529612170e+09","1.0529612170e+09"
"2020-03-22 12:35:00","2.9024850867e+09","2.9024850867e+09","1.0694292639e+09","1.0694292639e+09"
"2020-03-22 12:40:00","3.3511674758e+09","3.3511674758e+09","1.0148416249e+09","1.0148416249e+09"
"2020-03-22 12:45:00","2.9236973051e+09","2.9236973051e+09","1.0022624014e+09","1.0022624014e+09"
"2020-03-22 12:50:00","2.7643504786e+09","2.7643504786e+09","1.0272102358e+09","1.0272102358e+09"
"2020-03-22 12:55:00","2.6481154101e+09","2.6481154101e+09","1.0918889029e+09","1.0918889029e+09"
"2020-03-22 13:00:00","2.8542615552e+09","2.8542615552e+09","1.0860670484e+09","1.0860670484e+09"
"2020-03-22 13:05:00","2.5965832308e+09","2.5965832308e+09","9.7678727535e+08","9.7678727535e+08"
"2020-03-22 13:10:00","2.6570829912e+09","2.6570829912e+09","1.1308532057e+09","1.1308532057e+09"
"2020-03-22 13:15:00","3.0294728595e+09","3.0294728595e+09","1.1133862623e+09","1.1133862623e+09"
"2020-03-22 13:20:00","2.9736591282e+09","2.9736591282e+09","1.0585629823e+09","1.0585629823e+09"
"2020-03-22 13:25:00","2.5746012158e+09","2.5746012158e+09","7.3502018020e+08","7.3502018020e+08"
"2020-03-22 13:30:00","2.5797221643e+09","2.5797221643e+09","7.8557029847e+08","7.8557029847e+08"
"2020-03-22 13:35:00","2.5315700052e+09","2.5315700052e+09","9.5487894912e+08","9.5487894912e+08"
"2020-03-22 13:40:00","2.6594894542e+09","2.6594894542e+09","1.0065481945e+09","1.0065481945e+09"
"2020-03-22 13:45:00","2.9654013907e+09","2.9654013907e+09","9.3808538067e+08","9.3808538067e+08"
"2020-03-22 13:50:00","2.5809354324e+09","2.5809354324e+09","1.1645422498e+09","1.1645422498e+09"
"2020-03-22 13:55:00","2.5934943010e+09","2.5934943010e+09","1.3895949876e+09","1.3895949876e+09"
"2020-03-22 14:00:00","2.7644347146e+09","2.7644347146e+09","1.2228313468e+09","1.2228313468e+09"
"2020-03-22 14:05:00","2.9659004640e+09","2.9659004640e+09","7.8934584204e+08","7.8934584204e+08"
"2020-03-22 14:10:00","2.9303231068e+09","2.9303231068e+09","9.6443811852e+08","9.6443811852e+08"
"2020-03-22 14:15:00","2.8853793011e+09","2.8853793011e+09","9.9629646117e+08","9.9629646117e+08"
"2020-03-22 14:20:00","3.0577906417e+09","3.0577906417e+09","9.3258759277e+08","9.3258759277e+08"
"2020-03-22 14:25:00","2.7742865273e+09","2.7742865273e+09","8.6500881246e+08","8.6500881246e+08"
"2020-03-22 14:30:00","2.7555715986e+09","2.7555715986e+09","8.1708209256e+08","8.1708209256e+08"
"2020-03-22 14:35:00","2.6958013530e+09","2.6958013530e+09","8.6534663162e+08","8.6534663162e+08"
"2020-03-22 14:40:00","2.9481894797e+09","2.9481894797e+09","8.9143241884e+08","8.9143241884e+08"
"2020-03-22 14:45:00","2.7879966667e+09","2.7879966667e+09","7.8505981850e+08","7.8505981850e+08"
"2020-03-22 14:50:00","2.5228053439e+09","2.5228053439e+09","7.5720751782e+08","7.5720751782e+08"
"2020-03-22 14:55:00","2.5638395324e+09","2.5638395324e+09","7.9375210915e+08","7.9375210915e+08"
"2020-03-22 15:00:00","2.4920129314e+09","2.4920129314e+09","9.1163443048e+08","9.1163443048e+08"
"2020-03-22 15:05:00","2.6666667450e+09","2.6666667450e+09","8.7269509390e+08","8.7269509390e+08"
"2020-03-22 15:10:00","3.1111337990e+09","3.1111337990e+09","9.0671477592e+08","9.0671477592e+08"
"2020-03-22 15:15:00","2.9053921462e+09","2.9053921462e+09","9.8802176222e+08","9.8802176222e+08"
"2020-03-22 15:20:00","2.8065150283e+09","2.8065150283e+09","1.0542435414e+09","1.0542435414e+09"
"2020-03-22 15:25:00","2.4022762873e+09","2.4022762873e+09","9.3728703883e+08","9.3728703883e+08"
"2020-03-22 15:30:00","2.3867159970e+09","2.3867159970e+09","1.0064400914e+09","1.0064400914e+09"
"2020-03-22 15:35:00","2.4230862289e+09","2.4230862289e+09","1.0269933835e+09","1.0269933835e+09"
"2020-03-22 15:40:00","2.6181761107e+09","2.6181761107e+09","9.8987386225e+08","9.8987386225e+08"
"2020-03-22 15:45:00","2.7413173923e+09","2.7413173923e+09","1.3417452759e+09","1.3417452759e+09"
"2020-03-22 15:50:00","2.3971710512e+09","2.3971710512e+09","1.2493379906e+09","1.2493379906e+09"
"2020-03-22 15:55:00","2.3280047685e+09","2.3280047685e+09","1.2737687046e+09","1.2737687046e+09"
"2020-03-22 16:00:00","2.5712142884e+09","2.5712142884e+09","1.2960938063e+09","1.2960938063e+09"
"2020-03-22 16:05:00","2.2251563664e+09","2.2251563664e+09","1.2288078460e+09","1.2288078460e+09"
"2020-03-22 16:10:00","2.9879096155e+09","2.9879096155e+09","1.0499447544e+09","1.0499447544e+09"
"2020-03-22 16:15:00","2.6724200238e+09","2.6724200238e+09","1.1477096740e+09","1.1477096740e+09"
"2020-03-22 16:20:00","2.7025943173e+09","2.7025943173e+09","1.0248143792e+09","1.0248143792e+09"
"2020-03-22 16:25:00","3.0142131219e+09","3.0142131219e+09","9.8719463660e+08","9.8719463660e+08"
"2020-03-22 16:30:00","3.3456453418e+09","3.3456453418e+09","1.1010710761e+09","1.1010710761e+09"
"2020-03-22 16:35:00","2.5870327658e+09","2.5870327658e+09","1.0802909308e+09","1.0802909308e+09"
"2020-03-22 16:40:00","2.7299121508e+09","2.7299121508e+09","9.4948312773e+08","9.4948312773e+08"
"2020-03-22 16:45:00","3.2910811308e+09","3.2910811308e+09","9.5367283335e+08","9.5367283335e+08"
"2020-03-22 16:50:00","2.7618125523e+09","2.7618125523e+09","9.8337970625e+08","9.8337970625e+08"
"2020-03-22 16:55:00","2.4960637222e+09","2.4960637222e+09","9.0676116956e+08","9.0676116956e+08"
"2020-03-22 17:00:00","2.9018591394e+09","2.9018591394e+09","9.0610342501e+08","9.0610342501e+08"
"2020-03-22 17:05:00","2.6328700668e+09","2.6328700668e+09","8.6829589681e+08","8.6829589681e+08"
"2020-03-22 17:10:00","2.8951149607e+09","2.8951149607e+09","9.1236885835e+08","9.1236885835e+08"
"2020-03-22 17:15:00","2.9499670012e+09","2.9499670012e+09","1.0070407290e+09","1.0070407290e+09"
"2020-03-22 17:20:00","2.4365124600e+09","2.4365124600e+09","8.7573198577e+08","8.7573198577e+08"
"2020-03-22 17:25:00","2.1399114457e+09","2.1399114457e+09","1.1165136613e+09","1.1165136613e+09"
"2020-03-22 17:30:00","2.1701744875e+09","2.1701744875e+09","9.2720886144e+08","9.2720886144e+08"
"2020-03-22 17:35:00","1.8201718402e+09","1.8201718402e+09","9.2606314703e+08","9.2606314703e+08"
"2020-03-22 17:40:00","2.3448171190e+09","2.3448171190e+09","1.1222288816e+09","1.1222288816e+09"
"2020-03-22 17:45:00","2.0263971689e+09","2.0263971689e+09","1.0453988422e+09","1.0453988422e+09"
"2020-03-22 17:50:00","1.9314555576e+09","1.9314555576e+09","9.3961939114e+08","9.3961939114e+08"
"2020-03-22 17:55:00","1.9911939116e+09","1.9911939116e+09","1.1393695335e+09","1.1393695335e+09"
"2020-03-22 18:00:00","3.3271522052e+09","3.3271522052e+09","1.0232097985e+09","1.0232097985e+09"
"2020-03-22 18:05:00","3.4726197634e+09","3.4726197634e+09","9.5450291867e+08","9.5450291867e+08"
"2020-03-22 18:10:00","2.0032265057e+09","2.0032265057e+09","8.6816067779e+08","8.6816067779e+08"
"2020-03-22 18:15:00","2.6204805345e+09","2.6204805345e+09","9.2878580391e+08","9.2878580391e+08"
"2020-03-22 18:20:00","2.3786802198e+09","2.3786802198e+09","9.4616259767e+08","9.4616259767e+08"
"2020-03-22 18:25:00","2.3734309499e+09","2.3734309499e+09","9.1563365719e+08","9.1563365719e+08"
