"Title:","mx1.gen.ch - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-PAR | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-23 22:05:00"
"End Date:","2020-03-25 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48177"
"Host ID:","164"
"Nth Percentile:","41897260417.6","|95:bits:0:current:2|"
"Nth Percentile:","65302099100","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-23 23:20:00","3.3302974234e+10","3.3302974234e+10","3.0900822036e+10","3.0900822036e+10"
"2020-03-23 23:25:00","3.2846618151e+10","3.2846618151e+10","2.7012164918e+10","2.7012164918e+10"
"2020-03-23 23:30:00","3.8485358890e+10","3.8485358890e+10","2.6737845466e+10","2.6737845466e+10"
"2020-03-23 23:35:00","2.9309841302e+10","2.9309841302e+10","2.8974860451e+10","2.8974860451e+10"
"2020-03-23 23:40:00","3.0054918646e+10","3.0054918646e+10","3.1339614785e+10","3.1339614785e+10"
"2020-03-23 23:45:00","3.3388787809e+10","3.3388787809e+10","3.2536514987e+10","3.2536514987e+10"
"2020-03-23 23:50:00","3.2826778290e+10","3.2826778290e+10","3.2590138403e+10","3.2590138403e+10"
"2020-03-23 23:55:00","3.2033718497e+10","3.2033718497e+10","2.8985137179e+10","2.8985137179e+10"
"2020-03-24 00:00:00","3.3326528063e+10","3.3326528063e+10","3.0714837012e+10","3.0714837012e+10"
"2020-03-24 00:05:00","3.5781546625e+10","3.5781546625e+10","2.8339250046e+10","2.8339250046e+10"
"2020-03-24 00:10:00","3.3345470293e+10","3.3345470293e+10","2.3072463384e+10","2.3072463384e+10"
"2020-03-24 00:15:00","3.6321469119e+10","3.6321469119e+10","2.9088055936e+10","2.9088055936e+10"
"2020-03-24 00:20:00","3.8884160693e+10","3.8884160693e+10","2.9812065109e+10","2.9812065109e+10"
"2020-03-24 00:25:00","3.4258201032e+10","3.4258201032e+10","2.4564765987e+10","2.4564765987e+10"
"2020-03-24 00:30:00","3.2077541311e+10","3.2077541311e+10","2.1200676660e+10","2.1200676660e+10"
"2020-03-24 00:35:00","3.1522533435e+10","3.1522533435e+10","1.8808263404e+10","1.8808263404e+10"
"2020-03-24 00:40:00","1.9277056149e+10","1.9277056149e+10","1.2485479495e+10","1.2485479495e+10"
"2020-03-24 00:45:00","4.3655935362e+10","4.3655935362e+10","2.4997615106e+10","2.4997615106e+10"
"2020-03-24 00:50:00","5.1514342594e+10","5.1514342594e+10","2.3326917919e+10","2.3326917919e+10"
"2020-03-24 00:55:00","4.1897260417e+10","4.1897260417e+10","2.6435247553e+10","2.6435247553e+10"
"2020-03-24 01:00:00","4.0438163034e+10","4.0438163034e+10","2.7070400077e+10","2.7070400077e+10"
"2020-03-24 01:05:00","3.5928603795e+10","3.5928603795e+10","2.3662749095e+10","2.3662749095e+10"
"2020-03-24 01:10:00","3.6553241167e+10","3.6553241167e+10","2.5147176871e+10","2.5147176871e+10"
"2020-03-24 01:15:00","3.5611839224e+10","3.5611839224e+10","2.3966673315e+10","2.3966673315e+10"
"2020-03-24 01:20:00","3.7271528258e+10","3.7271528258e+10","2.8797879708e+10","2.8797879708e+10"
"2020-03-24 01:25:00","3.5212868997e+10","3.5212868997e+10","2.9664805530e+10","2.9664805530e+10"
"2020-03-24 01:30:00","3.8223843740e+10","3.8223843740e+10","2.5197839950e+10","2.5197839950e+10"
"2020-03-24 01:35:00","3.3687586798e+10","3.3687586798e+10","3.5427646048e+10","3.5427646048e+10"
"2020-03-24 01:40:00","3.2378374756e+10","3.2378374756e+10","3.8569834488e+10","3.8569834488e+10"
"2020-03-24 01:45:00","3.3339946794e+10","3.3339946794e+10","3.4746073970e+10","3.4746073970e+10"
"2020-03-24 01:50:00","3.5314530091e+10","3.5314530091e+10","3.8064363723e+10","3.8064363723e+10"
"2020-03-24 01:55:00","3.5406371681e+10","3.5406371681e+10","3.4190813778e+10","3.4190813778e+10"
"2020-03-24 02:00:00","3.2343894653e+10","3.2343894653e+10","3.1529019492e+10","3.1529019492e+10"
"2020-03-24 02:05:00","2.0522615617e+10","2.0522615617e+10","2.5231661522e+10","2.5231661522e+10"
"2020-03-24 02:10:00","3.2150342925e+10","3.2150342925e+10","2.9045959935e+10","2.9045959935e+10"
"2020-03-24 02:15:00","3.5848163791e+10","3.5848163791e+10","2.8915019597e+10","2.8915019597e+10"
"2020-03-24 02:20:00","4.1675608917e+10","4.1675608917e+10","3.3190593850e+10","3.3190593850e+10"
"2020-03-24 02:25:00","3.6133216470e+10","3.6133216470e+10","2.2263476283e+10","2.2263476283e+10"
"2020-03-24 02:30:00","2.7429908733e+10","2.7429908733e+10","2.7489155971e+10","2.7489155971e+10"
"2020-03-24 02:35:00","3.3339797613e+10","3.3339797613e+10","3.8061926706e+10","3.8061926706e+10"
"2020-03-24 02:40:00","3.4833255682e+10","3.4833255682e+10","4.1043723377e+10","4.1043723377e+10"
"2020-03-24 02:45:00","3.1882324804e+10","3.1882324804e+10","2.7653016084e+10","2.7653016084e+10"
"2020-03-24 02:50:00","3.4371199825e+10","3.4371199825e+10","3.1334046525e+10","3.1334046525e+10"
"2020-03-24 02:55:00","4.5656900403e+10","4.5656900403e+10","3.9450183864e+10","3.9450183864e+10"
"2020-03-24 03:00:00","3.2963881645e+10","3.2963881645e+10","4.4791055751e+10","4.4791055751e+10"
"2020-03-24 03:05:00","3.8775450403e+10","3.8775450403e+10","3.3624546521e+10","3.3624546521e+10"
"2020-03-24 03:10:00","3.7465961739e+10","3.7465961739e+10","2.7136773440e+10","2.7136773440e+10"
"2020-03-24 03:15:00","3.3129425590e+10","3.3129425590e+10","2.5397870772e+10","2.5397870772e+10"
"2020-03-24 03:20:00","3.2492945139e+10","3.2492945139e+10","2.6277167710e+10","2.6277167710e+10"
"2020-03-24 03:25:00","3.2028819046e+10","3.2028819046e+10","3.0077250890e+10","3.0077250890e+10"
"2020-03-24 03:30:00","4.7791437083e+10","4.7791437083e+10","3.1923151254e+10","3.1923151254e+10"
"2020-03-24 03:35:00","3.9305712743e+10","3.9305712743e+10","2.9895640984e+10","2.9895640984e+10"
"2020-03-24 03:40:00","3.4038867810e+10","3.4038867810e+10","3.8081763774e+10","3.8081763774e+10"
"2020-03-24 03:45:00","3.2981719339e+10","3.2981719339e+10","4.6480287830e+10","4.6480287830e+10"
"2020-03-24 03:50:00","2.7576905972e+10","2.7576905972e+10","4.3599841187e+10","4.3599841187e+10"
"2020-03-24 03:55:00","2.4558120871e+10","2.4558120871e+10","4.1543664115e+10","4.1543664115e+10"
"2020-03-24 04:00:00","2.5568286613e+10","2.5568286613e+10","3.2522741132e+10","3.2522741132e+10"
"2020-03-24 04:05:00","2.9206552782e+10","2.9206552782e+10","3.1608690764e+10","3.1608690764e+10"
"2020-03-24 04:10:00","2.6646847327e+10","2.6646847327e+10","2.6796260434e+10","2.6796260434e+10"
"2020-03-24 04:15:00","2.7018532044e+10","2.7018532044e+10","3.6751891393e+10","3.6751891393e+10"
"2020-03-24 04:20:00","3.2054893442e+10","3.2054893442e+10","3.6730330617e+10","3.6730330617e+10"
"2020-03-24 04:25:00","2.8650110205e+10","2.8650110205e+10","3.3642027493e+10","3.3642027493e+10"
"2020-03-24 04:30:00","2.9831315316e+10","2.9831315316e+10","3.7355916547e+10","3.7355916547e+10"
"2020-03-24 04:35:00","4.6011558626e+10","4.6011558626e+10","2.7622093438e+10","2.7622093438e+10"
"2020-03-24 04:40:00","4.0493264819e+10","4.0493264819e+10","3.8702431031e+10","3.8702431031e+10"
"2020-03-24 04:45:00","5.1399030088e+10","5.1399030088e+10","3.3145464399e+10","3.3145464399e+10"
"2020-03-24 04:50:00","5.4105860060e+10","5.4105860060e+10","3.0563012873e+10","3.0563012873e+10"
"2020-03-24 04:55:00","5.3251071036e+10","5.3251071036e+10","3.5285372348e+10","3.5285372348e+10"
"2020-03-24 05:00:00","5.4324813401e+10","5.4324813401e+10","4.7050048565e+10","4.7050048565e+10"
"2020-03-24 05:05:00","4.5491882316e+10","4.5491882316e+10","3.5222986995e+10","3.5222986995e+10"
"2020-03-24 05:10:00","3.6822793378e+10","3.6822793378e+10","2.7570072217e+10","2.7570072217e+10"
"2020-03-24 05:15:00","3.3172355604e+10","3.3172355604e+10","3.9911890597e+10","3.9911890597e+10"
"2020-03-24 05:20:00","3.4072253712e+10","3.4072253712e+10","2.9168521467e+10","2.9168521467e+10"
"2020-03-24 05:25:00","3.3342382148e+10","3.3342382148e+10","2.2361575034e+10","2.2361575034e+10"
"2020-03-24 05:30:00","3.0206768253e+10","3.0206768253e+10","2.7190781421e+10","2.7190781421e+10"
"2020-03-24 05:35:00","2.4858637120e+10","2.4858637120e+10","3.9441532979e+10","3.9441532979e+10"
"2020-03-24 05:40:00","3.4445558069e+10","3.4445558069e+10","4.6814581248e+10","4.6814581248e+10"
"2020-03-24 05:45:00","3.5328688333e+10","3.5328688333e+10","4.8513036878e+10","4.8513036878e+10"
"2020-03-24 05:50:00","2.7257463578e+10","2.7257463578e+10","4.5254834227e+10","4.5254834227e+10"
"2020-03-24 05:55:00","3.1044397069e+10","3.1044397069e+10","4.8003600158e+10","4.8003600158e+10"
"2020-03-24 06:00:00","3.1557934157e+10","3.1557934157e+10","4.3783489224e+10","4.3783489224e+10"
"2020-03-24 06:05:00","3.2477384064e+10","3.2477384064e+10","4.0078019150e+10","4.0078019150e+10"
"2020-03-24 06:10:00","3.2556403970e+10","3.2556403970e+10","3.3866083006e+10","3.3866083006e+10"
"2020-03-24 06:15:00","2.9662936751e+10","2.9662936751e+10","2.7947260167e+10","2.7947260167e+10"
"2020-03-24 06:20:00","2.4702316642e+10","2.4702316642e+10","3.1741481873e+10","3.1741481873e+10"
"2020-03-24 06:25:00","2.8042233358e+10","2.8042233358e+10","3.0460869367e+10","3.0460869367e+10"
"2020-03-24 06:30:00","2.8903621351e+10","2.8903621351e+10","2.0534508959e+10","2.0534508959e+10"
"2020-03-24 06:35:00","2.4550485224e+10","2.4550485224e+10","3.2083756822e+10","3.2083756822e+10"
"2020-03-24 06:40:00","3.6012233038e+10","3.6012233038e+10","3.2767385672e+10","3.2767385672e+10"
"2020-03-24 06:45:00","3.9183875381e+10","3.9183875381e+10","3.5267887045e+10","3.5267887045e+10"
"2020-03-24 06:50:00","3.8657374487e+10","3.8657374487e+10","4.6935082375e+10","4.6935082375e+10"
"2020-03-24 06:55:00","4.2595503380e+10","4.2595503380e+10","5.1725974170e+10","5.1725974170e+10"
"2020-03-24 07:00:00","4.1023699748e+10","4.1023699748e+10","4.9246899796e+10","4.9246899796e+10"
"2020-03-24 07:05:00","3.1368234895e+10","3.1368234895e+10","4.6821937861e+10","4.6821937861e+10"
"2020-03-24 07:10:00","3.5781597256e+10","3.5781597256e+10","4.6514764270e+10","4.6514764270e+10"
"2020-03-24 07:15:00","2.5945740091e+10","2.5945740091e+10","4.7442066136e+10","4.7442066136e+10"
"2020-03-24 07:20:00","3.0879911754e+10","3.0879911754e+10","3.6269825437e+10","3.6269825437e+10"
"2020-03-24 07:25:00","2.7372508884e+10","2.7372508884e+10","3.3754058590e+10","3.3754058590e+10"
"2020-03-24 07:30:00","2.4999820455e+10","2.4999820455e+10","4.4052869577e+10","4.4052869577e+10"
"2020-03-24 07:35:00","2.5614156214e+10","2.5614156214e+10","3.7095625603e+10","3.7095625603e+10"
"2020-03-24 07:40:00","2.7218436371e+10","2.7218436371e+10","4.9655195052e+10","4.9655195052e+10"
"2020-03-24 07:45:00","2.8379923619e+10","2.8379923619e+10","6.2359268629e+10","6.2359268629e+10"
"2020-03-24 07:50:00","2.6774658164e+10","2.6774658164e+10","5.4872915667e+10","5.4872915667e+10"
"2020-03-24 07:55:00","2.4204998496e+10","2.4204998496e+10","4.8680644542e+10","4.8680644542e+10"
"2020-03-24 08:00:00","2.0646387594e+10","2.0646387594e+10","3.6606202922e+10","3.6606202922e+10"
"2020-03-24 08:05:00","2.2233937041e+10","2.2233937041e+10","3.6176590346e+10","3.6176590346e+10"
"2020-03-24 08:10:00","2.2318785221e+10","2.2318785221e+10","4.2074325856e+10","4.2074325856e+10"
"2020-03-24 08:15:00","2.4048096903e+10","2.4048096903e+10","3.7981266428e+10","3.7981266428e+10"
"2020-03-24 08:20:00","2.1226396463e+10","2.1226396463e+10","3.8503825105e+10","3.8503825105e+10"
"2020-03-24 08:25:00","1.9600859688e+10","1.9600859688e+10","3.2271259233e+10","3.2271259233e+10"
"2020-03-24 08:30:00","2.4080540084e+10","2.4080540084e+10","3.4772113292e+10","3.4772113292e+10"
"2020-03-24 08:35:00","2.1659604560e+10","2.1659604560e+10","3.3963458288e+10","3.3963458288e+10"
"2020-03-24 08:40:00","2.3088504659e+10","2.3088504659e+10","3.9024577181e+10","3.9024577181e+10"
"2020-03-24 08:45:00","2.2881027200e+10","2.2881027200e+10","3.7500605939e+10","3.7500605939e+10"
"2020-03-24 08:50:00","2.5136839184e+10","2.5136839184e+10","4.5543979936e+10","4.5543979936e+10"
"2020-03-24 08:55:00","2.9223148472e+10","2.9223148472e+10","3.8348929290e+10","3.8348929290e+10"
"2020-03-24 09:00:00","3.0213098541e+10","3.0213098541e+10","3.4875387161e+10","3.4875387161e+10"
"2020-03-24 09:05:00","2.9283699849e+10","2.9283699849e+10","3.6311296677e+10","3.6311296677e+10"
"2020-03-24 09:10:00","2.6791255158e+10","2.6791255158e+10","3.5211668736e+10","3.5211668736e+10"
"2020-03-24 09:15:00","2.7278792326e+10","2.7278792326e+10","3.7919255022e+10","3.7919255022e+10"
"2020-03-24 09:20:00","2.8364637794e+10","2.8364637794e+10","3.2161819074e+10","3.2161819074e+10"
"2020-03-24 09:25:00","2.9805325154e+10","2.9805325154e+10","3.1292472789e+10","3.1292472789e+10"
"2020-03-24 09:30:00","2.3350968661e+10","2.3350968661e+10","3.1009969881e+10","3.1009969881e+10"
"2020-03-24 09:35:00","2.7109058116e+10","2.7109058116e+10","3.1325630215e+10","3.1325630215e+10"
"2020-03-24 09:40:00","2.8091659777e+10","2.8091659777e+10","3.6681529789e+10","3.6681529789e+10"
"2020-03-24 09:45:00","2.9563230529e+10","2.9563230529e+10","3.9843229602e+10","3.9843229602e+10"
"2020-03-24 09:50:00","2.7889303792e+10","2.7889303792e+10","3.8121097973e+10","3.8121097973e+10"
"2020-03-24 09:55:00","2.6668852127e+10","2.6668852127e+10","3.0872797680e+10","3.0872797680e+10"
"2020-03-24 10:00:00","2.9237147178e+10","2.9237147178e+10","2.9126930557e+10","2.9126930557e+10"
"2020-03-24 10:05:00","2.8981837410e+10","2.8981837410e+10","3.4620294160e+10","3.4620294160e+10"
"2020-03-24 10:10:00","2.3223305844e+10","2.3223305844e+10","2.8766298196e+10","2.8766298196e+10"
"2020-03-24 10:15:00","2.7532523737e+10","2.7532523737e+10","2.9136412898e+10","2.9136412898e+10"
"2020-03-24 10:20:00","2.3252041832e+10","2.3252041832e+10","3.3088117756e+10","3.3088117756e+10"
"2020-03-24 10:25:00","3.0591632903e+10","3.0591632903e+10","4.2385425290e+10","4.2385425290e+10"
"2020-03-24 10:30:00","2.5329796740e+10","2.5329796740e+10","3.2963844354e+10","3.2963844354e+10"
"2020-03-24 10:35:00","2.4514887749e+10","2.4514887749e+10","3.7483546406e+10","3.7483546406e+10"
"2020-03-24 10:40:00","2.5346543296e+10","2.5346543296e+10","3.0786147627e+10","3.0786147627e+10"
"2020-03-24 10:45:00","2.4090667131e+10","2.4090667131e+10","2.6299683229e+10","2.6299683229e+10"
"2020-03-24 10:50:00","2.6418676030e+10","2.6418676030e+10","3.0626062971e+10","3.0626062971e+10"
"2020-03-24 10:55:00","2.5062581857e+10","2.5062581857e+10","3.3583241133e+10","3.3583241133e+10"
"2020-03-24 11:00:00","2.6358446439e+10","2.6358446439e+10","2.9627404121e+10","2.9627404121e+10"
"2020-03-24 11:05:00","2.6886915772e+10","2.6886915772e+10","2.6564037207e+10","2.6564037207e+10"
"2020-03-24 11:10:00","3.0283279682e+10","3.0283279682e+10","2.7675809900e+10","2.7675809900e+10"
"2020-03-24 11:15:00","3.0098418489e+10","3.0098418489e+10","2.4829078933e+10","2.4829078933e+10"
"2020-03-24 11:20:00","2.7115634933e+10","2.7115634933e+10","2.2935938808e+10","2.2935938808e+10"
"2020-03-24 11:25:00","3.0511172862e+10","3.0511172862e+10","2.6477968343e+10","2.6477968343e+10"
"2020-03-24 11:30:00","3.2455221074e+10","3.2455221074e+10","2.5185378025e+10","2.5185378025e+10"
"2020-03-24 11:35:00","2.5763421328e+10","2.5763421328e+10","2.9304358925e+10","2.9304358925e+10"
"2020-03-24 11:40:00","2.5982441706e+10","2.5982441706e+10","2.9603002666e+10","2.9603002666e+10"
"2020-03-24 11:45:00","2.8669312444e+10","2.8669312444e+10","3.6053088003e+10","3.6053088003e+10"
"2020-03-24 11:50:00","3.3561481380e+10","3.3561481380e+10","3.8894659486e+10","3.8894659486e+10"
"2020-03-24 11:55:00","3.2873840508e+10","3.2873840508e+10","3.9810400002e+10","3.9810400002e+10"
"2020-03-24 12:00:00","3.0051289805e+10","3.0051289805e+10","4.0741014477e+10","4.0741014477e+10"
"2020-03-24 12:05:00","3.0539969923e+10","3.0539969923e+10","4.1623060105e+10","4.1623060105e+10"
"2020-03-24 12:10:00","2.6416670007e+10","2.6416670007e+10","3.9670084945e+10","3.9670084945e+10"
"2020-03-24 12:15:00","2.4897256781e+10","2.4897256781e+10","3.2783022573e+10","3.2783022573e+10"
"2020-03-24 12:20:00","2.9711798022e+10","2.9711798022e+10","3.8685278432e+10","3.8685278432e+10"
"2020-03-24 12:25:00","2.9478772045e+10","2.9478772045e+10","3.7562739445e+10","3.7562739445e+10"
"2020-03-24 12:30:00","2.6236855424e+10","2.6236855424e+10","3.6794945452e+10","3.6794945452e+10"
"2020-03-24 12:35:00","2.7350953677e+10","2.7350953677e+10","3.9528548142e+10","3.9528548142e+10"
"2020-03-24 12:40:00","2.8640182750e+10","2.8640182750e+10","3.7517469155e+10","3.7517469155e+10"
"2020-03-24 12:45:00","2.9964347834e+10","2.9964347834e+10","4.3967244534e+10","4.3967244534e+10"
"2020-03-24 12:50:00","2.7524966927e+10","2.7524966927e+10","4.5163747410e+10","4.5163747410e+10"
"2020-03-24 12:55:00","2.5993818321e+10","2.5993818321e+10","3.6019725966e+10","3.6019725966e+10"
"2020-03-24 13:00:00","2.6959529951e+10","2.6959529951e+10","2.6983707871e+10","2.6983707871e+10"
"2020-03-24 13:05:00","3.0163856788e+10","3.0163856788e+10","3.4820401665e+10","3.4820401665e+10"
"2020-03-24 13:10:00","2.6609133984e+10","2.6609133984e+10","3.0383176381e+10","3.0383176381e+10"
"2020-03-24 13:15:00","2.5583847500e+10","2.5583847500e+10","2.7673293593e+10","2.7673293593e+10"
"2020-03-24 13:20:00","3.5428229159e+10","3.5428229159e+10","2.9250319533e+10","2.9250319533e+10"
"2020-03-24 13:25:00","3.8235562303e+10","3.8235562303e+10","3.0101418661e+10","3.0101418661e+10"
"2020-03-24 13:30:00","5.5428223290e+10","5.5428223290e+10","3.0786292732e+10","3.0786292732e+10"
"2020-03-24 13:35:00","5.1671342225e+10","5.1671342225e+10","3.5238325177e+10","3.5238325177e+10"
"2020-03-24 13:40:00","4.2020527390e+10","4.2020527390e+10","3.9636579842e+10","3.9636579842e+10"
"2020-03-24 13:45:00","3.8289696731e+10","3.8289696731e+10","5.2470844603e+10","5.2470844603e+10"
"2020-03-24 13:50:00","3.3521021687e+10","3.3521021687e+10","3.8529348253e+10","3.8529348253e+10"
"2020-03-24 13:55:00","3.0687835438e+10","3.0687835438e+10","3.4096311256e+10","3.4096311256e+10"
"2020-03-24 14:00:00","2.7509532087e+10","2.7509532087e+10","2.9130195316e+10","2.9130195316e+10"
"2020-03-24 14:05:00","2.5584117916e+10","2.5584117916e+10","3.7146820465e+10","3.7146820465e+10"
"2020-03-24 14:10:00","2.6281604619e+10","2.6281604619e+10","3.3507303671e+10","3.3507303671e+10"
"2020-03-24 14:15:00","2.7006809237e+10","2.7006809237e+10","3.4742901839e+10","3.4742901839e+10"
"2020-03-24 14:20:00","2.3648321846e+10","2.3648321846e+10","3.8894475041e+10","3.8894475041e+10"
"2020-03-24 14:25:00","2.3956201275e+10","2.3956201275e+10","3.5814974245e+10","3.5814974245e+10"
"2020-03-24 14:30:00","2.1246537055e+10","2.1246537055e+10","3.7356677228e+10","3.7356677228e+10"
"2020-03-24 14:35:00","2.4113422654e+10","2.4113422654e+10","4.6948155095e+10","4.6948155095e+10"
"2020-03-24 14:40:00","2.6417854295e+10","2.6417854295e+10","4.8012264213e+10","4.8012264213e+10"
"2020-03-24 14:45:00","2.3884213997e+10","2.3884213997e+10","4.1886896075e+10","4.1886896075e+10"
"2020-03-24 14:50:00","2.8734532045e+10","2.8734532045e+10","4.0440433951e+10","4.0440433951e+10"
"2020-03-24 14:55:00","2.7158489658e+10","2.7158489658e+10","3.8452456400e+10","3.8452456400e+10"
"2020-03-24 15:00:00","2.7183550036e+10","2.7183550036e+10","3.8143186642e+10","3.8143186642e+10"
"2020-03-24 15:05:00","2.1975841783e+10","2.1975841783e+10","4.0548575455e+10","4.0548575455e+10"
"2020-03-24 15:10:00","2.3426203165e+10","2.3426203165e+10","4.4871507882e+10","4.4871507882e+10"
"2020-03-24 15:15:00","2.7569948355e+10","2.7569948355e+10","4.5138461341e+10","4.5138461341e+10"
"2020-03-24 15:20:00","2.5526504829e+10","2.5526504829e+10","4.6124966819e+10","4.6124966819e+10"
"2020-03-24 15:25:00","2.2413718560e+10","2.2413718560e+10","4.3451799043e+10","4.3451799043e+10"
"2020-03-24 15:30:00","2.0279759792e+10","2.0279759792e+10","3.4245949720e+10","3.4245949720e+10"
"2020-03-24 15:35:00","2.6630332723e+10","2.6630332723e+10","5.5852705886e+10","5.5852705886e+10"
"2020-03-24 15:40:00","2.6423417604e+10","2.6423417604e+10","8.6338500747e+10","8.6338500747e+10"
"2020-03-24 15:45:00","2.6430462304e+10","2.6430462304e+10","8.8999728647e+10","8.8999728647e+10"
"2020-03-24 15:50:00","2.6180831094e+10","2.6180831094e+10","3.7749136258e+10","3.7749136258e+10"
"2020-03-24 15:55:00","3.2472280776e+10","3.2472280776e+10","3.4312635987e+10","3.4312635987e+10"
"2020-03-24 16:00:00","3.7044481853e+10","3.7044481853e+10","3.6038800034e+10","3.6038800034e+10"
"2020-03-24 16:05:00","3.3563841127e+10","3.3563841127e+10","2.9692879222e+10","2.9692879222e+10"
"2020-03-24 16:10:00","2.9136983841e+10","2.9136983841e+10","4.5161111712e+10","4.5161111712e+10"
"2020-03-24 16:15:00","2.9683048880e+10","2.9683048880e+10","7.0873359622e+10","7.0873359622e+10"
"2020-03-24 16:20:00","2.9781194836e+10","2.9781194836e+10","3.8596721931e+10","3.8596721931e+10"
"2020-03-24 16:25:00","2.5471354126e+10","2.5471354126e+10","3.3469258531e+10","3.3469258531e+10"
"2020-03-24 16:30:00","3.3018416290e+10","3.3018416290e+10","3.3179195759e+10","3.3179195759e+10"
"2020-03-24 16:35:00","3.3371789361e+10","3.3371789361e+10","3.9507611993e+10","3.9507611993e+10"
"2020-03-24 16:40:00","3.2082280340e+10","3.2082280340e+10","3.8064296149e+10","3.8064296149e+10"
"2020-03-24 16:45:00","3.1647361999e+10","3.1647361999e+10","4.1059465801e+10","4.1059465801e+10"
"2020-03-24 16:50:00","3.6651568463e+10","3.6651568463e+10","4.0210239287e+10","4.0210239287e+10"
"2020-03-24 16:55:00","3.5253836399e+10","3.5253836399e+10","4.3452433950e+10","4.3452433950e+10"
"2020-03-24 17:00:00","2.9913487509e+10","2.9913487509e+10","5.3485457451e+10","5.3485457451e+10"
"2020-03-24 17:05:00","3.9917509331e+10","3.9917509331e+10","4.0874721549e+10","4.0874721549e+10"
"2020-03-24 17:10:00","3.7750105915e+10","3.7750105915e+10","3.1021932440e+10","3.1021932440e+10"
"2020-03-24 17:15:00","3.0863559945e+10","3.0863559945e+10","3.7912215997e+10","3.7912215997e+10"
"2020-03-24 17:20:00","3.4639694293e+10","3.4639694293e+10","3.9542526955e+10","3.9542526955e+10"
"2020-03-24 17:25:00","3.0431988134e+10","3.0431988134e+10","3.5283574133e+10","3.5283574133e+10"
"2020-03-24 17:30:00","2.4214889638e+10","2.4214889638e+10","3.4951074584e+10","3.4951074584e+10"
"2020-03-24 17:35:00","3.1374021219e+10","3.1374021219e+10","3.5338097418e+10","3.5338097418e+10"
"2020-03-24 17:40:00","2.8066477154e+10","2.8066477154e+10","4.0440982682e+10","4.0440982682e+10"
"2020-03-24 17:45:00","2.9636211386e+10","2.9636211386e+10","4.1417344110e+10","4.1417344110e+10"
"2020-03-24 17:50:00","3.6528264270e+10","3.6528264270e+10","7.0673015244e+10","7.0673015244e+10"
"2020-03-24 17:55:00","3.4755308562e+10","3.4755308562e+10","1.0483054109e+11","1.0483054109e+11"
"2020-03-24 18:00:00","3.1955425308e+10","3.1955425308e+10","6.1117892822e+10","6.1117892822e+10"
"2020-03-24 18:05:00","3.2047409275e+10","3.2047409275e+10","3.8644018741e+10","3.8644018741e+10"
"2020-03-24 18:10:00","3.2463363818e+10","3.2463363818e+10","3.6235749190e+10","3.6235749190e+10"
"2020-03-24 18:15:00","3.7142654658e+10","3.7142654658e+10","3.0493323265e+10","3.0493323265e+10"
"2020-03-24 18:20:00","3.8514044090e+10","3.8514044090e+10","2.8509089455e+10","2.8509089455e+10"
"2020-03-24 18:25:00","3.1227012239e+10","3.1227012239e+10","2.7623119334e+10","2.7623119334e+10"
